CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3751-3752,3801-3802,3901-3902,4100,4200,4300,4400,4700,5100,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7281-7299,7438,7439,7630-7699,8011,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,8096,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9730,9740,9770,"9775, 9780",9790,9791,"9793, 9795",LocalRevAO,StateRevAO,StateRevSE
01612590114454,434610.78,0.0,118694.37,0.0,0.0,0.0,0.0,31005.0,0.0,47062.07,0.0,15610.48,8935.3,8354.37,5688.48,0.0,0.0,0.0,0.0,0.0,9440.41,22912.73,0.0,0.0,0.0,275.0,1625.0,5688.48,164442.17,175996.31,45259.64,1844.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773655.0,-30524.0,0.0,0.0,0.0,0.0,0.0,106367.0,0.0,0.0,0.0,39547.0,0.0,0.0,0.0,0.0,105966.35,0.0,0.0,0.0,0.0,0.0,490499.65,0.0,24000.0,0.0,0.0,258236.16,0.0,118022.89,0.0,123723.0,0.0,0.0,24000.0,0.0,0.0,0.0,0.0,0.0,96483.95,33506.0,-71076.0,65812.28,300642.03,0.0
01612590114868,293066.65,0.0,14906.25,0.0,0.0,0.0,26749.98,30151.53,0.0,0.0,0.0,26632.4,31785.78,6673.73,5306.5,0.0,0.0,0.0,0.0,0.0,7657.82,5409.74,0.0,0.0,0.0,0.0,1401.0,2672.5,129833.72,315294.44,48722.88,6913.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514547.0,-14832.0,0.0,0.0,0.0,0.0,0.0,57635.0,12686.0,0.0,0.0,33057.0,0.0,0.0,0.0,0.0,141831.76,0.0,0.0,0.0,0.0,319995.2,0.0,0.0,1900.0,14000.0,186457.39,346510.57,0.0,0.0,11500.0,267192.0,0.0,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,37081.78,86783.0,-92366.0,165000.0,229650.45,0.0
01612590115014,980206.0,0.0,186776.0,46346.0,0.0,0.0,61500.0,31625.0,0.0,0.0,0.0,97798.0,121213.0,8016.0,26042.0,0.0,0.0,0.0,40294.0,1945.0,4598.0,77681.0,7183.0,86756.0,0.0,75.0,0.0,13059.0,91427.0,105625.0,181285.0,18881.0,0.0,0.0,0.0,0.0,0.0,1418.0,0.0,0.0,0.0,114184.0,0.0,0.0,0.0,0.0,0.0,1171470.0,-8208.0,0.0,0.0,0.0,0.0,0.0,166906.0,0.0,0.0,67666.0,102495.0,0.0,0.0,0.0,0.0,81998.0,0.0,0.0,0.0,0.0,26746.0,659209.0,0.0,0.0,61300.0,4689.0,340016.0,0.0,450000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43926.0,68577.89,-34532.89,603257.0,210228.0,0.0
01612590115238,437774.58,59000.0,163834.37,0.0,42808.61,13125.0,83542.79,43612.57,0.0,22150.13,0.0,54206.34,111520.97,9370.21,9687.0,0.0,0.0,0.0,8529.64,2859.07,3144.8,33996.14,13819.0,50932.49,0.0,12569.26,8276.86,9543.47,2217.86,269881.05,225555.65,12987.24,0.0,0.0,0.0,0.0,0.0,0.0,75659.0,28066.31,0.0,0.0,0.0,68081.0,0.0,0.0,0.0,955654.0,-9318.0,0.0,0.0,0.0,0.0,0.0,110407.0,6577.0,0.0,32762.75,86177.0,0.0,0.0,0.0,0.0,147315.36,0.0,1469.83,2200.0,0.0,525638.11,0.0,0.0,8507.0,0.0,0.0,374274.29,0.0,595764.0,0.0,80000.0,0.0,0.0,8507.0,0.0,0.0,299.25,0.0,0.0,-373714.24,-40066.0,20231.0,42286.5,307132.17,0.0
01612590115386,210417.0,27107.0,19957.0,0.0,18935.0,0.0,68233.0,37585.0,29489.0,0.0,0.0,31373.0,32150.0,7475.0,6293.0,0.0,0.0,0.0,0.0,0.0,3912.0,11834.0,0.0,4128.0,5350.0,11135.0,2234.0,3239.0,6439.0,121442.0,40841.0,14893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435327.0,-20478.0,0.0,0.0,0.0,0.0,0.0,48574.0,0.0,0.0,0.0,1234.0,0.0,0.0,0.0,0.0,9515.0,0.0,0.0,0.0,0.0,137308.0,0.0,0.0,0.0,0.0,21610.0,5202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163231.0,174349.0,-1.0,92946.0,145741.0,0.0
01612590116137,49704.19,0.0,0.0,0.0,0.0,0.0,42000.0,24000.0,73645.0,0.0,0.0,14485.22,13462.73,189.35,1969.24,0.0,0.0,0.0,0.0,11028.42,0.0,23134.19,0.0,246.45,0.0,202.14,25553.0,0.0,25587.13,82519.52,50829.54,1045.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318975.0,-5500.0,0.0,0.0,0.0,0.0,0.0,35930.0,51223.0,0.0,0.0,18971.0,0.0,0.0,0.0,0.0,209424.67,0.0,0.0,0.0,0.0,57831.08,0.0,0.0,0.0,1500.0,81367.14,58844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291278.89,165094.0,31063.0,109363.06,5761.45,0.0
01612590118224,702926.8,58157.49,125141.89,0.0,95217.91,36022.47,9.42,135583.4,107139.3,72197.99,26406.6,40554.42,175423.49,3864.41,16993.0,0.0,0.0,0.0,10377.19,0.0,50054.22,100708.77,0.0,90753.5,0.0,11265.22,10466.56,3847.0,62107.12,151489.14,338883.82,33651.81,0.0,0.0,0.0,0.0,0.0,78530.85,0.0,0.0,0.0,0.0,93092.88,0.0,0.0,0.0,0.0,1205248.0,2238.0,0.0,0.0,0.0,0.0,0.0,158430.0,0.0,77022.23,82417.24,448723.0,0.0,0.0,0.0,0.0,-527249.49,0.0,0.0,0.0,0.0,741783.2,0.0,0.0,0.0,0.0,289158.79,543630.89,0.0,0.0,0.0,-32.81,0.0,0.0,0.0,0.0,0.0,418321.81,0.0,0.0,-458227.39,-82200.83,16939.83,146063.81,536079.81,0.0
01612590120188,573283.34,12750.0,103000.06,0.0,42715.02,29139.54,0.0,81873.37,53969.09,53758.14,12060.97,23161.64,101683.06,2557.23,11532.0,0.0,0.0,0.0,8110.88,0.0,57039.25,103475.32,0.0,99061.74,0.0,9701.26,2631.67,2806.0,167908.75,98476.42,170028.17,27005.99,0.0,0.0,0.0,0.0,0.0,31835.78,0.0,0.0,0.0,0.0,269853.8,0.0,0.0,0.0,0.0,925313.0,0.0,0.0,0.0,0.0,0.0,0.0,127607.0,0.0,87167.22,0.0,380933.21,0.0,0.0,0.0,0.0,-314383.89,0.0,0.0,0.0,0.0,589285.65,0.0,0.0,0.0,0.0,169356.98,584066.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135411.52,0.0,0.0,-275224.47,0.0,0.0,218818.37,185257.74,84509.0
01612590120626,68048.0,0.0,8432.0,0.0,9881.0,0.0,6504.0,5566.0,0.0,0.0,0.0,7309.0,8153.0,1724.0,1627.0,0.0,0.0,0.0,0.0,0.0,4488.0,2568.0,0.0,7758.0,10620.0,3528.0,253.0,792.0,3710.0,12472.0,34680.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94394.0,0.0,0.0,0.0,0.0,0.0,0.0,13033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17204.0,0.0,0.0,0.0,0.0,36855.0,0.0,0.0,0.0,0.0,0.0,43837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10222.0,0.0,0.0,4692.0,96826.0,0.0
01612590130518,550572.0,0.0,68226.0,0.0,79946.0,0.0,52623.0,45034.0,0.0,0.0,0.0,59133.0,65967.0,13949.0,13166.0,0.0,0.0,0.0,0.0,0.0,36312.0,6622.0,0.0,62768.0,85918.0,28538.0,2043.0,7204.0,40328.0,90595.0,313055.0,4939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790358.0,-48376.0,0.0,0.0,0.0,0.0,0.0,109448.0,0.0,0.0,0.0,84179.0,0.0,0.0,0.0,0.0,20022.0,0.0,0.0,0.0,0.0,410682.0,0.0,0.0,0.0,5090.0,583352.0,435252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583894.0,520275.8,-0.8,127055.0,627893.0,0.0
