CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3801-3802,3901-3902,4100,4200,4300,4400,4700,5200,5300,5400,5500,5600,5800,5900,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7438,7439,7630-7699,8011,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9730,9740,9770,"9775, 9780",9790,9791,"9793, 9795",LocalRevAO,StateRevAO,StateRevSE
61796076118368,235377.59,0.0,0.0,0.0,0.0,0.0,91078.29,500.0,0.0,0.0,0.0,0.0,28453.91,0.0,17067.1,0.0,0.0,39347.94,0.0,10682.87,10126.68,80.0,0.0,490.0,560.76,7224.55,5060.32,65453.67,106885.94,2047.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.99,0.0,274233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22030.56,0.0,0.0,0.0,128469.27,0.0,0.0,0.0,0.0,0.0,37913.48,0.0,0.0,6824.98,34065.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207273.35,213619.59,-1992.5,0.0,20775.01,0.0
61945090930198,163247.43,0.0,0.0,0.0,34020.04,0.0,0.0,5023.13,0.0,13528.57,4068.34,5774.6,0.0,630.12,12835.23,0.0,0.0,11250.2,0.0,2758.14,6403.65,780.42,3119.07,290.0,366.01,11861.04,12782.87,20545.5,38708.59,5907.99,5073.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15264.9,63111.74,4109.0,0.0,182619.0,1292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20670.37,0.0,1801.71,0.0,0.0,800.0,0.0,25659.67,24079.29,0.0,2260.0,0.0,0.0,20924.31,4109.0,0.0,0.0,0.0,0.0,0.0,2260.0,0.0,30000.0,8275.83,0.0,0.0,9701.9,45348.87,0.0,47883.09,12003.08,18424.0
62166101030642,519973.76,0.0,118402.18,0.0,243601.18,0.0,0.0,101013.32,0.0,0.0,0.0,75198.77,92598.02,0.0,0.0,26460.04,0.0,52303.52,68890.53,3232.52,15777.21,35609.8,39189.93,6084.61,0.0,16230.91,30236.43,85177.2,131595.63,12353.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20917.87,63663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20144.37,0.0,0.0,0.0,0.0,0.0,20144.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.61934e-10,0.0,0.0,291711.99,103830.84,0.0
62166101030667,350006.56,62498.0,56100.0,2330.14,12525.12,20276.45,38836.22,18439.99,28644.49,0.0,0.0,35172.27,81938.32,13927.57,21638.41,24473.39,0.0,0.0,39525.4,794.99,32715.41,0.0,23470.46,14308.84,3390.06,21797.75,21491.02,83496.0,26391.58,23461.9,250.0,0.0,0.0,0.0,0.0,0.0,9545.0,0.0,40187.69,0.0,62500.0,0.0,818339.0,13474.02,0.0,0.0,0.0,177.84,0.0,0.0,88202.31,0.0,18249.8,40943.08,0.0,0.0,0.0,0.0,96380.24,0.0,0.0,0.0,0.0,150911.51,0.0,0.0,0.0,9335.0,0.0,30806.26,62563.39,0.0,72488.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90768.63,-4702.71,0.0,0.0,3533.03,0.0
62166101030733,78000.0,55116.0,0.0,0.0,0.0,47364.0,0.0,0.0,0.0,11700.0,4292.0,0.0,18557.0,0.0,7118.0,0.0,0.0,36318.0,2716.0,0.0,0.0,0.0,0.0,0.0,396.0,3342.0,39819.0,18841.0,670.0,0.0,1392.0,0.0,0.0,0.0,0.0,13557.0,0.0,0.0,0.0,50438.0,0.0,0.0,414599.0,0.0,0.0,0.0,0.0,0.0,87490.0,0.0,34484.0,0.0,0.0,0.0,0.0,0.0,9303.0,0.0,1513.0,0.0,0.0,0.0,0.0,24877.0,0.0,0.0,0.0,147860.0,0.0,34047.0,0.0,121945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27561.0,13326.0,-162505.0,18999.0,10804.0,0.0
62166101030840,448691.7,116365.59,139339.99,0.0,9978.62,33019.43,0.0,21997.0,0.0,0.0,0.0,59569.26,65338.16,10668.68,26828.71,0.0,0.0,4830.0,14101.26,6514.03,83241.07,9989.17,28759.81,8960.45,769.56,12553.11,59885.73,252965.23,118397.97,24920.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,1228319.0,3328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74084.0,0.0,0.0,0.0,0.0,873.6,0.0,0.0,0.0,0.0,281187.26,0.0,0.0,0.0,0.0,0.0,113758.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168302.78,38287.0,0.0,2927.11,72774.65,0.0
62166106118095,128815.7,0.0,79045.95,2546.08,19473.3,0.0,0.0,24726.56,0.0,0.0,0.0,19309.6,8063.1,2679.32,9343.86,0.0,0.0,50.9,1665.95,1985.66,5871.35,0.0,47336.25,0.0,141.29,3796.08,5640.17,5578.73,149554.14,5258.73,35680.0,0.0,1733.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,414825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46488.1,62095.0,0.0,0.0,0.0,0.0,2678.4,0.0,0.0,0.0,0.0,0.0,149209.04,0.0,0.0,0.0,0.0,88654.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54394.85,8838.07,0.0,0.0,1.45519e-11,5076.28,0.0,379.42,36389.21,0.0
62174101030774,417026.84,57735.5,153326.08,0.0,0.0,26261.08,0.0,31644.05,0.0,0.0,0.0,52905.28,75193.13,10118.25,24313.13,0.0,0.0,2425.0,15201.24,13240.29,84066.75,9170.45,10608.97,12851.43,2199.36,12553.08,17559.41,67899.69,31350.28,22344.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960075.0,-2240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192560.0,50000.0,0.0,0.0,0.0,7013.52,0.0,0.0,0.0,0.0,303093.49,0.0,0.0,44796.96,0.0,0.0,20299.83,0.0,0.0,0.0,50000.0,0.0,0.0,44796.96,0.0,0.0,0.0,0.0,0.0,239807.18,266352.0,-223941.0,3267.08,19430.51,0.0
62174101030857,336168.78,0.0,207554.87,0.0,72340.0,0.0,93749.3,150200.04,48894.43,0.0,0.0,73316.35,44686.3,17611.29,44861.64,0.0,0.0,0.0,0.0,0.0,63939.98,13490.34,43897.35,7704.32,0.0,18395.25,3525.96,78213.71,135707.01,17788.09,0.0,0.0,0.0,0.0,7756.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559897.0,-239497.0,0.0,0.0,0.0,38997.5,0.0,87453.0,0.0,16987.6,0.0,0.0,0.0,1616.29,0.0,-3040.54,0.0,0.0,0.0,0.0,931388.55,0.0,0.0,0.0,31940.36,63923.47,1028245.24,237127.0,0.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-489544.11,8296.0,189749.74,224052.0,76278.19,0.0
62174101030865,438045.0,92350.0,38594.0,0.0,67619.0,122799.0,131966.0,114303.0,65490.0,81944.0,0.0,0.0,93520.0,1285.0,58914.0,0.0,0.0,0.0,4213.0,414.0,20761.0,0.0,2906.0,2997.0,1125.0,2588.0,19885.0,294073.0,105734.0,13990.0,0.0,6596.0,7097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,854109.0,0.0,0.0,0.0,0.0,0.0,0.0,8979.0,0.0,0.0,5266.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,108406.0,0.0,0.0,123060.0,151048.0,148742.0,219609.0,49856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35585.0,736758.0,0.0,2461.0,22430.0,0.0
