Ccode,Dcode,SchoolID,ObjectCode,restricted,unrestricted,total,
01,10017,0118489,"8091, 8097",0,0,0,
01,10017,0118489,8092,0,0,0,
01,10017,0118489,8096,0,0,0,
01,10017,0118489,"8110, 8260-8299",106674.39,176860,283534.39,
01,10017,0118489,"8181, 8182",61384,0,61384,
01,10017,0118489,8220,115593.15,0,115593.15,
01,10017,0118489,8290,151127,0,151127,
01,10017,0118489,8930-8979,0,0,0,
01,10017,0118489,8980-8999,46005.3,-46005.3,0,
01,10017,0118489,9110,0,0,0,
01,10017,0118489,9111,0,0,0,
01,10017,0118489,9120,-226419.76,-255579.71,-481999.47,
01,10017,0118489,9130,0,0,0,
01,10017,0118489,9135,0,0,0,
01,10017,0118489,9140,0,0,0,
01,10017,0118489,9150,0,0,0,
01,10017,0118489,9200,193066.25,957332.89,1150399.14,
01,10017,0118489,9290,0,289250,289250,
01,10017,0118489,9320,0,0,0,
01,10017,0118489,9330,0,25753.74,25753.74,
01,10017,0118489,9340,0,11000,11000,
01,10017,0118489,9400-9499,82601.35,197813.15,280414.5,
01,10017,0118489,9500,38004.58,560474.89,598479.47,
01,10017,0118489,9590,0,0,0,
01,10017,0118489,9640,0,0,0,
01,10017,0118489,9650,0,0,0,
01,10017,0118489,9660-9669,0,0,0,
01,10017,0118489,9711,0,0,0,
01,10017,0118489,9712,0,0,0,
01,10017,0118489,9713,0,0,0,
01,10017,0118489,9719,0,0,0,
01,10017,0118489,9740,0,0,0,
01,10017,0118489,9750,0,0,0,
01,10017,0118489,9760,0,0,0,
01,10017,0118489,9780,0,0,0,
01,10017,0118489,9789,0,0,0,
01,10017,0118489,9790A,0,665095.18,665095.18,
01,10017,0118489,9790M,0,0,0,
01,10017,0118489,9791,217203,245600,462803,
01,10017,0118489,"9793, 9795",-146525.9,146525.9,0,
01,10017,0118489,9796,0,0,0,
01,10017,0118489,9797,11240.08,0,11240.08,
01,10017,0118489,LocalRevAO,103411.7,210157.46,313569.16,
01,10017,0118489,StateRevAO,61206.93,429584.91,490791.84,
01,10017,0118489,StateRevSE,233632.15,0,233632.15,
01,10017,0123968,1100,52134.32,273414.93,325549.25,
01,10017,0123968,1200,398.63,177.37,576,
01,10017,0123968,1300,90405.84,51316.09,141721.93,
01,10017,0123968,1900,6392.2,31176.82,37569.02,
01,10017,0123968,2100,64181.5,59934.98,124116.48,
01,10017,0123968,2200,0,0,0,
01,10017,0123968,2300,0,0,0,
01,10017,0123968,2400,640.8,38888.18,39528.98,
01,10017,0123968,2900,2274.89,73033.51,75308.4,
01,10017,0123968,3101-3102,9224.28,31463.8,40688.08,
01,10017,0123968,3201-3202,0,0,0,
01,10017,0123968,3301-3302,7367.7,18436.28,25803.98,
01,10017,0123968,3401-3402,29193.24,29809.01,59002.25,
01,10017,0123968,3501-3502,2200.71,7083.66,9284.37,
01,10017,0123968,3601-3602,4143.5,8281.79,12425.29,
01,10017,0123968,3701-3702,0,140,140,
01,10017,0123968,3751-3752,0,0,0,
01,10017,0123968,3801-3802,0,0,0,
01,10017,0123968,3901-3902,0,0,0,
01,10017,0123968,4100,7902.23,0,7902.23,
01,10017,0123968,4200,2066.83,2698.84,4765.67,
01,10017,0123968,4300,12413.55,11575.72,23989.27,
01,10017,0123968,4400,11586.32,912.59,12498.91,
01,10017,0123968,4700,0,4163.54,4163.54,
01,10017,0123968,5100,0,0,0,
01,10017,0123968,5200,32.87,2453.16,2486.03,
01,10017,0123968,5300,1000,1141,2141,
01,10017,0123968,5400,0,17471.1,17471.1,
01,10017,0123968,5500,495,69170.52,69665.52,
01,10017,0123968,5600,3495.55,62834.15,66329.7,
01,10017,0123968,5800,120421.74,128683.07,249104.81,
01,10017,0123968,5900,560.41,4996.04,5556.45,
01,10017,0123968,6100-6170,0,0,0,
01,10017,0123968,6200,0,0,0,
01,10017,0123968,6300,0,0,0,
01,10017,0123968,6400,0,0,0,
01,10017,0123968,6500,0,0,0,
01,10017,0123968,6900,0,0,0,
01,10017,0123968,7110-7143,0,0,0,
01,10017,0123968,7211-7213,0,0,0,
01,10017,0123968,7221-7223AO,0,0,0,
01,10017,0123968,7221-7223SE,0,0,0,
01,10017,0123968,7281-7299,0,0,0,
01,10017,0123968,7438,0,0,0,
01,10017,0123968,7439,0,0,0,
01,10017,0123968,7630-7699,0,0,0,
01,10017,0123968,8011,0,0,0,
01,10017,0123968,8012,0,131343,131343,
01,10017,0123968,8015,0,276964,276964,
01,10017,0123968,8019,0,0,0,
01,10017,0123968,8020-8039,0,0,0,
01,10017,0123968,8040-8079,0,0,0,
01,10017,0123968,8080-8089,0,0,0,
01,10017,0123968,"8091, 8097",0,0,0,
01,10017,0123968,8092,0,0,0,
01,10017,0123968,8096,0,205759,205759,
01,10017,0123968,"8110, 8260-8299",238805.11,0,238805.11,
01,10017,0123968,"8181, 8182",11593,0,11593,
01,10017,0123968,8220,0,0,0,
01,10017,0123968,8290,0,0,0,
01,10017,0123968,8930-8979,0,0,0,
01,10017,0123968,8980-8999,500,-500,0,
01,10017,0123968,9110,0,0,0,
01,10017,0123968,9111,0,0,0,
01,10017,0123968,9120,0,114351.25,114351.25,
01,10017,0123968,9130,0,0,0,
01,10017,0123968,9135,0,0,0,
01,10017,0123968,9140,0,0,0,
01,10017,0123968,9150,0,0,0,
01,10017,0123968,9200,0,419654.71,419654.71,
01,10017,0123968,9290,0,0,0,
01,10017,0123968,9320,0,0,0,
01,10017,0123968,9330,0,0,0,
01,10017,0123968,9340,0,0,0,
01,10017,0123968,9400-9499,0,0,0,
01,10017,0123968,9500,0,57602.65,57602.65,
01,10017,0123968,9590,0,0,0,
01,10017,0123968,9640,0,0,0,
01,10017,0123968,9650,0,0,0,
01,10017,0123968,9660-9669,0,372500,372500,
01,10017,0123968,9711,0,0,0,
01,10017,0123968,9712,0,0,0,
01,10017,0123968,9713,0,0,0,
01,10017,0123968,9719,0,0,0,
01,10017,0123968,9740,0,0,0,
01,10017,0123968,9750,0,0,0,
01,10017,0123968,9760,0,0,0,
01,10017,0123968,9780,0,0,0,
01,10017,0123968,9789,0,0,0,
01,10017,0123968,9790A,0,103903.31,103903.31,
01,10017,0123968,9790M,0,0,0,
01,10017,0123968,9791,0,16006.2,16006.2,
01,10017,0123968,"9793, 9795",0,0.01,0.01,
01,10017,0123968,9796,0,0,0,
01,10017,0123968,9797,0,0,0,
01,10017,0123968,LocalRevAO,0,250785.31,250785.31,
01,10017,0123968,StateRevAO,0,152801.94,152801.94,
01,10017,0123968,StateRevSE,177634,0,177634,
01,10017,0124172,1100,34806.16,339644.16,374450.32,
01,10017,0124172,1200,0,40,40,
01,10017,0124172,1300,0,0,0,
01,10017,0124172,1900,0,0,0,
01,10017,0124172,2100,17961.05,40601.75,58562.8,
01,10017,0124172,2200,0,0,0,
01,10017,0124172,2300,1049.97,115150.02,116199.99,
01,10017,0124172,2400,0,0,0,
01,10017,0124172,2900,0,11256.33,11256.33,
01,10017,0124172,3101-3102,3021.88,30893.63,33915.51,
01,10017,0124172,3201-3202,0,0,0,
01,10017,0124172,3301-3302,1814.55,15759.81,17574.36,
01,10017,0124172,3401-3402,5091.76,47234.9,52326.66,
01,10017,0124172,3501-3502,433.34,3894.2,4327.54,
01,10017,0124172,3601-3602,1196.42,11487.5,12683.92,
01,10017,0124172,3701-3702,0,0,0,
01,10017,0124172,3751-3752,0,0,0,
01,10017,0124172,3801-3802,0,0,0,
01,10017,0124172,3901-3902,180.28,881.72,1062,
