CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3751-3752,3901-3902,4100,4200,4300,4400,4700,5100,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7281-7299,7438,7439,7630-7699,8011,8012,8019,"8091, 8097",8096,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9740,9750,9760,9780,9789,9790A,9790M,9791,"9793, 9795",9796,9797,LocalRevAO,StateRevAO,StateRevSE
01612000120931,1454871.83,128432.0,188500.1,39806.94,151972.02,28668.75,74243.92,135667.63,8444.61,188244.77,0.0,54436.2,201490.9,20566.13,14301.46,0.0,0.0,7206.19,45318.4,2516.0,267499.14,62799.73,41678.97,0.0,17756.41,10487.02,42452.64,333411.81,267749.61,1369145.15,49894.97,0.0,0.0,0.0,0.0,0.0,57902.04,0.0,0.0,0.0,0.0,0.0,21855.38,0.0,0.0,1327525.0,661917.0,3006.0,0.0,1416736.0,18939.0,50871.0,10711.28,0.0,0.0,0.0,0.0,0.0,-86158.74,0.0,0.0,0.0,0.0,473.73,1228121.34,0.0,17202.5,653768.5,1240343.41,0.0,0.0,0.0,178938.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1414940.93,0.0,3625078.13,-2409388.13,0.0,50729.0,1463218.89,325519.48,258857.0
01612590100065,634812.0,112169.0,261457.0,0.0,495749.0,0.0,52338.0,95114.0,115737.0,108205.0,0.0,72681.0,394260.0,883.0,18637.0,0.0,0.0,0.0,22037.0,2556.0,106325.0,5096.0,147557.0,0.0,4433.0,11325.0,32961.0,81027.0,250346.0,377772.0,21420.0,0.0,0.0,0.0,0.0,0.0,36832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013520.0,501859.0,17676.0,0.0,650184.0,1420.0,36539.0,73680.0,83060.0,0.0,0.0,0.0,0.0,5258.0,1000.0,0.0,0.0,0.0,581610.0,0.0,0.0,2687.0,0.0,968108.0,0.0,115865.0,0.0,7961821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8455239.0,0.0,3876285.0,-39701.0,12669755.0,0.0,112904.0,491438.0,151628.0
01612590100123,269230.0,0.0,130000.0,0.0,9740.0,54295.0,0.0,79145.0,45110.0,0.0,0.0,44308.0,10748.0,8994.0,17863.0,0.0,0.0,0.0,1.0,37.0,45970.0,0.0,0.0,5180.0,776.0,1033.0,2031.0,38315.0,348510.0,302070.0,3656.0,0.0,0.0,0.0,0.0,0.0,15858.0,0.0,0.0,0.0,0.0,0.0,9481.0,0.0,0.0,575185.0,138929.0,0.0,0.0,214173.0,110042.0,0.0,0.0,59292.0,0.0,0.0,0.0,0.0,3801.0,0.0,0.0,0.0,0.0,142028.0,0.0,0.0,0.0,31500.0,218538.0,0.0,38933.0,11732.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123617.0,0.0,242315.51,-6951.51,0.0,138108.0,37508.0,333583.0,0.0
01612590106906,590980.11,0.0,412774.79,0.0,0.0,60727.65,18015.4,198530.0,0.0,103861.45,27087.86,33536.46,242946.41,12746.15,11322.82,0.0,0.0,0.0,281.84,745.36,94299.32,131323.22,8752.08,0.0,29713.49,50078.32,20296.5,68325.6,148085.58,159036.77,13486.25,0.0,0.0,0.0,0.0,0.0,1174.79,0.0,0.0,0.0,0.0,239976.0,0.0,0.0,0.0,1555571.0,395661.0,15079.0,0.0,532925.0,141519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472682.13,0.0,0.0,0.0,0.0,0.0,366921.74,0.0,33063.0,0.0,41715.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843860.49,0.0,495152.87,-1.87,0.0,0.0,28525.45,357533.26,0.0
01612590108944,891255.82,0.0,497066.08,32815.72,0.0,0.0,0.0,0.0,224020.58,0.0,0.0,23875.89,197181.46,11435.3,22633.49,131157.87,0.0,0.0,11434.29,0.0,216799.18,95503.98,156415.91,0.0,14577.0,4247.28,10580.21,51523.63,260453.42,1014203.23,12932.13,0.0,0.0,0.0,0.0,0.0,1982.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,1595577.0,393665.0,61.23,0.0,510013.0,0.0,32828.0,125490.55,333784.0,0.0,0.0,0.0,0.0,1322331.34,0.0,0.0,0.0,0.0,799646.52,0.0,0.0,20536.6,0.0,76910.36,0.0,0.0,74500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001970.49,0.0,1928289.52,-9885.52,0.0,0.0,439178.14,380710.64,154355.0
01612590109819,1891071.55,102549.92,245063.21,0.0,236533.04,181302.6,0.0,133415.79,190643.35,221664.01,100235.86,99523.43,396085.61,10431.57,14268.99,0.0,0.0,33204.52,0.0,48120.17,201711.19,73135.25,198449.89,0.0,30365.19,0.0,13054.37,82484.84,172594.51,170883.56,-4857.46,0.0,0.0,0.0,0.0,0.0,55171.16,0.0,0.0,0.0,0.0,755830.85,0.0,0.0,0.0,2690926.0,683660.0,34144.0,0.0,1052564.0,190427.68,70918.0,201520.38,195953.0,0.0,0.0,0.0,0.0,2274061.73,0.0,0.0,0.0,0.0,768698.89,0.0,0.0,10818.75,0.0,237686.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2604944.42,0.0,2388950.19,0.81,88673.96,210948.05,200421.95,608532.27,239485.12
01612590111476,2401981.0,0.0,202481.0,0.0,0.0,336541.0,67055.0,46000.0,0.0,236965.0,52729.0,87451.0,413139.0,26110.0,41704.0,0.0,0.0,0.0,65968.0,33954.0,105598.0,170293.0,12586.0,0.0,20461.0,5689.0,0.0,96496.0,225436.0,2139282.0,61064.0,0.0,0.0,0.0,0.0,0.0,867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3916253.0,952723.0,0.0,0.0,1472069.0,75164.0,93848.0,0.0,311509.0,0.0,0.0,0.0,0.0,2505066.0,0.0,0.0,0.0,0.0,924052.0,0.0,0.0,55240.0,0.0,640031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2845050.0,0.0,3641879.0,-2108822.0,0.0,0.0,96265.0,833513.0,410499.0
01612590111856,729877.84,300.0,70989.08,0.0,132334.11,0.0,170197.87,103095.17,0.0,0.0,51421.03,90513.58,141291.83,14405.74,17811.79,0.0,0.0,0.0,31725.05,33311.07,59939.24,7794.5,0.0,0.0,19407.78,2036.67,24430.09,89857.55,80266.17,436921.24,13199.53,0.0,0.0,0.0,0.0,0.0,28450.0,0.0,0.0,0.0,198891.0,0.0,0.0,0.0,0.0,1370493.0,352849.0,12682.0,0.0,441385.0,2399.0,0.0,0.0,55657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213692.32,263825.62,0.0,7649.79,2.66,15839.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474988.97,0.0,619518.45,-76187.45,0.0,0.0,39178.67,205482.23,0.0
01612590114363,1547857.57,0.0,69743.44,37200.3,608421.6,0.0,362213.43,179735.25,6250.0,0.0,109713.82,212034.84,116207.03,34100.22,17812.75,0.0,0.0,0.0,38958.51,5052.38,107748.11,19241.32,0.0,0.0,27806.02,1033.33,24488.9,189624.18,82957.47,399154.43,30455.33,0.0,0.0,0.0,0.0,0.0,235532.4,0.0,0.0,0.0,563814.0,0.0,274972.57,0.0,0.0,3131504.0,845618.0,38299.0,0.0,1249473.0,43551.0,0.0,0.0,189822.0,0.0,0.0,0.0,0.0,1587710.01,0.0,0.0,0.0,0.0,25509.6,676042.51,0.0,6816.2,21418.09,684894.02,0.0,0.0,0.0,5987405.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3686774.35,0.0,2984888.17,-107168.17,0.0,0.0,104032.24,508884.31,0.0
01612590114454,447536.88,0.0,137666.77,0.0,69568.29,50738.97,24924.47,17492.62,0.0,53486.24,0.0,25259.21,14457.79,10579.6,9339.86,0.0,0.0,0.0,5775.17,1509.07,47453.55,3881.41,36527.86,0.0,17254.22,4259.41,17751.0,48348.08,268124.82,424930.82,17959.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982080.0,296085.0,10889.0,0.0,439831.0,1640.0,0.0,16405.65,53195.0,0.0,0.0,0.0,0.0,1367789.06,0.0,0.0,0.0,0.0,153670.23,181333.8,0.0,51208.81,0.0,152130.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1601871.72,0.0,1059582.0,32264.0,0.0,0.0,87880.58,376845.14,0.0
