,school_name,state_name_public_school_latest_available_year,full-time_equivalent_fte_teachers_public_school_2012-13,full-time_equivalent_fte_teachers_public_school_2011-12,full-time_equivalent_fte_teachers_public_school_2010-11,pupil/teacher_ratio_public_school_2012-13,pupil/teacher_ratio_public_school_2011-12,pupil/teacher_ratio_public_school_2010-11,school_id_-_nces_assigned_public_school_latest_available_year
131,ALAMEDA COUNTY SPECIAL EDUCATION,California,,,,,,,69105108672
132,ALAMEDA ELEMENTARY,California,32,29.6,,19.84,21.01,,61146001260
133,ALAMEDA HIGH,California,78.8,78.8,,22.73,23.52,,60177000041
134,ALAMEDA SCIENCE AND TECHNOLOGY INSTITUTE,California,6.05,7,,26.94,24.29,,60177010547
135,ALAMITOS INTERMEDIATE,California,27.84,28.87,,31,30.1,,61488001822
136,ALAMO ELEMENTARY,California,23,22.7,,27.22,25.55,,64059006697
137,ALAMO ELEMENTARY,California,23,23,,22.78,22.22,,63441005582
138,ALAMO ELEMENTARY,California,13.54,15.07,,23.93,21.43,,63513005942
139,ALAMOS ELEMENTARY,California,27.5,31.5,,26.33,22,,60002811039
140,ALAMOSA PARK ELEMENTARY,California,22,25,,26.32,25.48,,64119009204
141,ALBA,California,15,16,,1.73,2.25,,63432007682
142,ALBANY CHILDREN'S CENTER,California,1,,,20,,,60186013188
143,ALBANY HIGH,California,55.52,55.1,,20.93,21.78,,60186000059
144,ALBANY MIDDLE,California,43.5,45,,20.46,20,,60186000060
145,ALBANY PARK ELEMENTARY,California,30.5,31.5,,22.1,19.84,,61089007275
146,ALBERT A. MICHELSON ELEMENTARY,California,11.5,11,,19.48,21.09,,64068006715
147,ALBERT BAXTER ELEMENTARY,California,16.5,17,,30.36,30.71,,60444005836
148,ALBERT EINSTEIN ACAD FOR LTRS ARTS AND SCIS - VEN,California,,,,,,,69104713266
149,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,California,11.92,13.35,,26.76,22.47,,63432011766
