,school_name,state_name_public_school_latest_available_year,full-time_equivalent_fte_teachers_public_school_2012-13,full-time_equivalent_fte_teachers_public_school_2011-12,full-time_equivalent_fte_teachers_public_school_2010-11,pupil/teacher_ratio_public_school_2012-13,pupil/teacher_ratio_public_school_2011-12,pupil/teacher_ratio_public_school_2010-11,school_id_-_nces_assigned_public_school_latest_available_year
5228,LAUREL ELEMENTARY,California,23,18.51,,18.35,21.61,,62271003127
5229,LAUREL ELEMENTARY,California,13,14,,27.38,26.57,,60588000530
5230,LAUREL ELEMENTARY,California,31.07,33.1,,24.33,23.63,,61185001317
5231,LAUREL HIGH (CONTINUATION),California,5.01,6.2,,12.18,14.35,,62259007748
5232,LAUREL RUFF CENTER,California,9.5,10.4,,11.05,10.19,,63462007853
5233,LAUREL STREET ELEMENTARY,California,18,17,,29.61,29.24,,60962000987
5234,LAUREL TREE CHARTER,California,6,7,,18.33,15.14,,60303012960
5235,LAUREL WOOD ELEMENTARY,California,19,20,,28.63,27.45,,63393010045
5236,LAURELGLEN ELEMENTARY,California,24.17,23.05,,23.58,23.12,,60639009337
5237,LAURELWOOD ELEMENTARY,California,15.5,17.07,,24.13,22.03,,61314001497
5238,LAURELWOOD ELEMENTARY,California,22.8,23.4,,27.59,26.92,,63543006042
5239,LAVERNE ELEMENTARY PREPARATORY ACADEMY,California,18,17,,21.22,19.29,,60001412333
5240,LAWLESS ELEMENTARY,California,25.5,24.4,,23.29,25.74,,61455007720
5241,LAWNDALE HIGH,California,98.28,90.74,,25.94,23.82,,60792007515
5242,LAWRENCE COOK MIDDLE,California,20.1,21.3,,22.79,19.25,,63583006124
5243,LAWRENCE E. JONES MIDDLE,California,42.6,38.5,,21.67,24.39,,60994005461
5244,LAWRENCE ELEMENTARY,California,20.97,19,,24.56,25.26,,62223002653
5245,LAWRENCE T. MAGEE ELEMENTARY,California,18,20,,27.06,26.65,,61218001373
5246,LAWTON ALTERNATIVE ELEMENTARY,California,26.32,28.1,,22.99,21.71,,63441005639
5247,LAYTONVILLE COMMUNITY DAY,California,,1,,,9,,64258008215
5248,LAYTONVILLE CONTINUATION HIGH,California,0.6,0.6,,3.33,5,,64258000666
5249,LAYTONVILLE ELEMENTARY,California,11,11.5,,22,19.48,,64258007899
5250,LAYTONVILLE HIGH,California,9.34,8.93,,14.35,14,,64258007900
5251,LAZEAR CHARTER ACADEMY,California,,,,,,,69105104288
5252,LAZEAR ELEMENTARY,California,,9,,,27.67,,62805004288
5253,LE GRAND ELEMENTARY,California,18,18,,23.39,23,,62124002547
5254,LE GRAND HIGH,California,25.5,21.4,,18.47,22.34,,62127002548
5255,LEADERSHIP HIGH,California,13.4,14.32,,17.99,18.16,,63441007354
5256,LEADERSHIP IN ENTERTAINMENT AND MEDIA ARTS (LEMA),California,16.5,,,19.82,,,62271013117
5257,LEADERSHIP PREPARATORY HIGH,California,,13.32,,,13.81,,62805010723
5258,LEADERSHIP PUBLIC SCHOOLS - HAYWARD,California,20.6,22,,22.09,20.27,,61674010737
5259,LEADERSHIP PUBLIC SCHOOLS - SAN JOSE,California,18.8,17,,19.47,21.35,,69103511441
5260,LEADERSHIP PUBLIC SCHOOLS: RICHMOND,California,21.8,23.8,,21.7,18.78,,63255011225
5261,LEAL (FRANK C.) ELEMENTARY,California,29.5,27.5,,25.05,26.07,,60162000021
5262,LEAPWOOD AVENUE ELEMENTARY,California,15.5,15,,19.94,20.27,,62271003130
5263,LEARNING CHOICE ACADEMY,California,34.6,34.1,,23.18,21.73,,63432011139
5264,LEARNING COMMUNITY CHARTER,California,28,28.2,,13.64,15.28,,69100205704
5265,LEARNING FOR LIFE CHARTER,California,6,6,,16.83,21.67,,62553010560
5266,LEARNING POST HIGH (ALTERNATIVE),California,4.4,2.9,,26.59,33.45,,64251007369
5267,LEARNING TREE PRESCHOOL,California,,,,,,,61551013306
5268,LEARNING WITHOUT LIMITS,California,17,17,,22.35,21.94,,62805012054
5269,LEARNING WORKS,California,14,10,,27.29,34.7,,62994012366
5270,LEATAATA FLOYD ELEMENTARY,California,10,11,,29.9,26.82,,63384005252
5271,LECONTE ELEMENTARY,California,16,16.7,,21.06,19.16,,60474000445
5272,LEDESMA (RITA) ELEMENTARY,California,17.5,19,,29.14,26.95,,62781008358
5273,LEE ELEMENTARY,California,20.6,20.6,,20.05,20.44,,63432005498
5274,LEE ELEMENTARY,California,32,34,,30.16,28.76,,62250002734
5275,LEE MATHSON MIDDLE,California,29.92,30.68,,19.72,22.07,,60231000110
5276,LEE MIDDLE,California,35.29,33.77,,19.07,19.16,,64308007005
5277,LEE RICHMOND ELEMENTARY,California,22,19.5,,20.09,20.15,,61647002082
5278,LEE V. POLLARD HIGH,California,28.05,28,,29.09,29.46,,60985000853
5279,LEE VINING COMMUNITY DAY,California,,,,,,,61187012192
5280,LEE VINING ELEMENTARY,California,6,6,,15.17,14.83,,61187001327
5281,LEE VINING HIGH,California,5.51,5.5,,11.62,10.91,,61187001328
5282,LEFFINGWELL ELEMENTARY,California,24.16,26.77,,23.39,19.72,,61185007696
5283,LEFFINGWELL HIGH (CONTINUATION),California,1.43,1.83,,8.39,6.01,,60004907413
5284,LEGACY CHARTER HIGH,California,,,,,,,62271012228
5285,LEGGETT VALLEY ELEMENTARY,California,4.82,4.05,,12.45,18.02,,60966509671
5286,LEGGETT VALLEY HIGH,California,2.95,3.27,,4.75,3.98,,60966509665
5287,LEGORE ELEMENTARY,California,20,21,,28.6,27.76,,61209001351
5288,LEHIGH ELEMENTARY,California,36.2,35,,19.59,20.34,,62847004402
5289,LEIGH HIGH,California,64.69,63.05,,25.26,25.68,,60723008122
5290,LELAND HIGH,California,71.25,75.6,,25.19,23.8,,63459005725
5291,LELAND PLUS (CONTINUATION),California,2,2.14,,17,16.82,,63459002794
5292,LELAND STREET ELEMENTARY,California,27,23.5,,24.33,25.36,,62271003131
5293,LEMAY STREET ELEMENTARY,California,17,16,,23.24,24.38,,62271003132
5294,LEMON AVENUE ELEMENTARY,California,19,20.25,,31.21,31.26,,62025002435
5295,LEMON CREST ELEMENTARY,California,28,24,,23.14,21.92,,62079010310
5296,LEMON GROVE ACADEMY FOR THE SCIENCES AND HUMANITIE,California,52,19,,23.87,27.58,,62133002549
5297,LEMONWOOD ELEMENTARY,California,30,35.5,,29.43,25.27,,62922004509
5298,LEMOORE ELEMENTARY,California,24,24,,24.79,25.75,,62136002557
5299,LEMOORE HIGH,California,83.66,83.38,,22.97,22.45,,62140002561
5300,LEMOORE MIDDLE COLLEGE HIGH,California,13.05,12.05,,18.62,18.67,,62140011607
5301,LEMOORE UNIVERSITY ELEMENTARY CHARTER,California,11,11.4,,21.73,20.96,,62136011285
5302,LENICIA B. WEEMES ELEMENTARY,California,34.5,37.92,,24.52,23.97,,62271003446
5303,LENNOX MATHEMATICS SCIENCE AND TECHNOLOGY ACADEMY,California,25.7,24.53,,22.33,23.03,,62142011328
5304,LENNOX MIDDLE,California,79.01,82.39,,20.86,20.4,,62142009147
5305,LENWOOD ELEMENTARY,California,16.5,17.15,,24.06,22.51,,60402000363
5306,LEO B. HART ELEMENTARY,California,23.25,18.88,,24.56,28.76,,60639009339
5307,LEO CARRILLO ELEMENTARY,California,23,26,,26.35,25.69,,61488009371
5308,LEO G. PAULY ELEMENTARY,California,34.4,31.71,,21.6,22.08,,60363000314
5309,LEO POLITI ELEMENTARY,California,32,32,,22.28,21.75,,62271010242
5310,LEO R. CROCE ELEMENTARY,California,26.5,25.5,,22.79,23.92,,62211000052
5311,LEON H. OLLIVIER MIDDLE,California,40,44,,24.63,17.39,,61605003105
5312,LEONA H. COX COMMUNITY ELEMENTARY,California,25,21,,21.24,24,,63822006446
5313,LEONA JACKSON,California,23.5,26.9,,30.17,28.14,,62985010906
5314,LEONA VALLEY ELEMENTARY,California,5,6,,26.4,28.67,,64212006891
5315,LEONARD G. WESTHOFF ELEMENTARY,California,22,25,,26.77,26.04,,64128009653
5316,LEONARDO DA VINCI,California,27,24.42,,28.07,27.6,,63384010040
5317,LEONARDO DA VINCI HEALTH SCIENCES CHARTER,California,12,11,,20.25,25.18,,60861012425
5318,LEONARDO DAVINCI HIGH,California,,,,,,,61062011542
5319,LEONORA FILLMORE ELEMENTARY,California,33.31,34.75,,19.39,19.25,,62241002680
5320,LEONTINE GRACEY ELEMENTARY,California,23,23,,24.57,24.61,,62460008900
5321,LEROY ANDERSON ELEMENTARY,California,24,22.8,,22.5,22.76,,62577003860
5322,LEROY F. GREENE MIDDLE,California,,,,,,,60003601091
5323,LEROY GREENE ACADEMY,California,9.5,,,21.26,,,60003613189
5324,LEROY L. DOIG INTERMEDIATE,California,27.97,30.52,,30.35,29.26,,61488001836
5325,LEROY NICHOLS ELEMENTARY,California,13.97,15.3,,25.34,23.79,,62223002654
5326,LETHA RANEY INTERMEDIATE,California,39.5,48,,21.22,23.88,,60985001063
5327,LEUZINGER HIGH,California,63.17,71.19,,24.13,21.76,,60792000759
5328,LEVI H. DICKEY ELEMENTARY,California,20,22,,28.85,28.32,,60846007677
5329,LEWIS ELEMENTARY,California,30.5,29,,25.77,26.48,,61146010237
5330,LEWIS H. BRITTON MIDDLE,California,27.31,26.51,,25.12,25.01,,62583003871
5331,LEWIS MIDDLE,California,45.42,45.06,,23.38,24.66,,63432005499
5332,LEWIS OPPORTUNITY,California,3.7,4.2,,8.38,6.43,,63583011807
5333,LEWISTON ELEMENTARY,California,3,3.1,,18,19.35,,62148002569
5334,LEXINGTON AVENUE PRIMARY CENTER,California,10,9.01,,22,24.53,,62271011619
5335,LEXINGTON ELEMENTARY,California,31.5,34,,22.48,20.26,,63132004849
5336,LEXINGTON ELEMENTARY,California,7.36,8.13,,19.97,21.03,,62283003491
5337,LEXINGTON ELEMENTARY,California,30,30,,25.5,25.43,,60681000618
5338,LEXINGTON JUNIOR HIGH,California,43.51,43.48,,28.82,28.2,,60263000179
5339,LIBBY ELEMENTARY,California,22.75,22.75,,24.31,21.54,,62825004363
5340,LIBERTY BOULEVARD ELEMENTARY,California,25,28.5,,24.36,24.04,,62271003135
5341,LIBERTY CHARTER,California,,15,,,16.4,,61623012282
5342,LIBERTY ELEMENTARY,California,13,12,,24.85,23.58,,62157002571
5343,LIBERTY ELEMENTARY,California,8.8,7.8,,18.86,19.87,,62154002570
5344,LIBERTY ELEMENTARY,California,30,28,,24.67,25.68,,60558011437
5345,LIBERTY ELEMENTARY,California,35,35,,20.94,20.29,,60861011125
5346,LIBERTY ELEMENTARY,California,28.17,31.37,,27.83,27.77,,63315005147
5347,LIBERTY ELEMENTARY,California,28,28,,31.32,30.25,,64104009005
5348,LIBERTY ELEMENTARY,California,24.05,25.83,,28.69,28.22,,60846011326
5349,LIBERTY ELEMENTARY,California,21,21,,27.76,25.67,,60903010203
5350,LIBERTY ELEMENTARY,California,25.01,25,,27.91,27.24,,61949010495
5351,LIBERTY HIGH,California,67.05,69.41,,26.92,25.95,,61954007994
5352,LIBERTY HIGH,California,27,26.67,,22.44,21.3,,60006810542
5353,LIBERTY HIGH,California,98.35,95.59,,22.59,22.29,,62160002573
5354,LIBERTY HIGH,California,7,7,,8.71,11.71,,60462000425
5355,LIBERTY HIGH,California,7.7,6.5,,17.27,14.92,,62223002655
5356,LIBERTY HIGH (ALTERNATIVE),California,14.85,16.1,,22.49,23.42,,63459006645
5357,LIBERTY HIGH (CONTINUATION),California,7.53,8,,15.27,15.63,,60004807405
5358,LIBERTY MIDDLE,California,28.8,28.8,,21.63,23.33,,62136003169
5359,LIBERTY PRIMARY,California,2.1,1,,15.71,40,,62154012693
5360,LIBERTY RANCH HIGH,California,48.31,43.13,,25.17,26.55,,61482012403
5361,LICHEN K-8,California,22.62,24.2,,28.29,25.83,,63462005793
5362,LICK (JAMES) MIDDLE,California,36.65,36.3,,15.31,15.26,,63441005629
5363,LIETZ ELEMENTARY,California,25.4,24.4,,19.88,20.25,,64032006674
5364,LIFE ACADEMY,California,19.6,13.81,,17.24,19.33,,62805008676
5365,LIFE LEARNING ACADEMY CHARTER,California,4.2,7.2,,11.67,6.53,,63441007721
5366,LIFE SOURCE INTERNATIONAL CHARTER,California,13,7,,21.46,19.43,,62088012650
5367,LIFELINE EDUCATION CHARTER,California,13.5,12.23,,27.85,27.39,,60132312119
5368,LIGGETT STREET ELEMENTARY,California,33,32.5,,23.79,23.51,,62271003136
5369,LIGHTHOUSE COMMUNITY CHARTER,California,20,19,,24.6,25.74,,62805010408
5370,LIGHTHOUSE COMMUNITY CHARTER HIGH,California,10.4,9.7,,21.44,22.06,,62805010726
5371,LIGHTHOUSE COMMUNITY DAY,California,1.4,2,,12.14,7,,61407008163
5372,LILAC,California,25.84,27.48,,23.03,20.74,,60006911158
5373,LILIENTHAL (CLAIRE) ELEMENTARY,California,31.16,29.25,,22.14,23.35,,63441007841
5374,LILLIAN LARSEN ELEMENTARY,California,20.12,20.92,,17.3,17.5,,63501005927
5375,LILLIAN STREET ELEMENTARY,California,25,32,,24.32,24,,62271003137
5376,LIME STREET ELEMENTARY,California,29,30,,27.86,27.97,,60001409082
5377,LIMERICK AVENUE ELEMENTARY,California,36,37.5,,23.83,24.75,,62271003138
5378,LINCOLN (ABRAHAM) (ALTERNATIVE),California,9.1,8.9,,26.81,18.54,,62409009399
5379,LINCOLN (ABRAHAM) ELEMENTARY,California,30.74,30.21,,24.07,23.83,,60261000157
5380,LINCOLN (ABRAHAM) HIGH,California,92.01,95.66,,21.85,21.14,,63441005581
5381,LINCOLN ACRES,California,29.6,31,,21.69,21.65,,62667004047
5382,LINCOLN ALTERNATIVE ELEMENTARY,California,37,39,,27.54,27.64,,60985001058
5383,LINCOLN COMMUNITY DAY,California,1.34,1.13,,6.72,7.96,,60006811680
5384,LINCOLN CROSSING ELEMENTARY,California,27.15,26.8,,25.34,23.51,,64214011847
5385,LINCOLN ELEMENTARY,California,14,16.5,,27,26.12,,61203001337
5386,LINCOLN ELEMENTARY,California,23,22,,25.91,25.82,,60003204957
5387,LINCOLN ELEMENTARY,California,24,23.5,,29.13,28.3,,60903000913
5388,LINCOLN ELEMENTARY,California,24,24.5,,19.96,20.41,,61455001748
5389,LINCOLN ELEMENTARY,California,27,26.5,,17.59,18.57,,61647002080
5390,LINCOLN ELEMENTARY,California,21,21.74,,17.9,17.34,,63525005975
5391,LINCOLN ELEMENTARY,California,22.27,24.25,,21.64,19.55,,61980002380
5392,LINCOLN ELEMENTARY,California,14.5,13,,27.24,27.62,,61970002370
5393,LINCOLN ELEMENTARY,California,15,16,,18.07,16.31,,60962000988
5394,LINCOLN ELEMENTARY,California,24.5,25,,31.35,30.8,,62088009560
5395,LINCOLN ELEMENTARY,California,38,37.8,,29.97,29.68,,62250002735
5396,LINCOLN ELEMENTARY,California,26,28,,29.69,28.93,,62334003282
5397,LINCOLN ELEMENTARY,California,12,14,,24.5,22,,63684006260
5398,LINCOLN ELEMENTARY,California,11.1,11.1,,27.75,27.03,,64098009004
5399,LINCOLN ELEMENTARY,California,19,21.5,,25.11,22.47,,63132004850
5400,LINCOLN ELEMENTARY,California,17.62,15.87,,24.29,24.26,,63942006563
5401,LINCOLN ELEMENTARY,California,18,20,,30.78,28.55,,62316003533
5402,LINCOLN ELEMENTARY,California,43,43,,20,19.88,,63417005366
5403,LINCOLN ELEMENTARY,California,40.4,38.5,,15.77,16.21,,62847007806
5404,LINCOLN ELEMENTARY,California,26,27,,26.65,25.26,,61288001459
5405,LINCOLN ELEMENTARY,California,28,27,,25.07,25.33,,62805004289
5406,LINCOLN ELEMENTARY,California,15.54,15.53,,24.32,24.92,,62706004083
5407,LINCOLN ELEMENTARY,California,17,18,,27.53,24.17,,63255005042
5408,LINCOLN ELEMENTARY,California,21.45,20.37,,21.54,21.6,,60648000583
5409,LINCOLN ELEMENTARY,California,1,0.5,,5,16,,62166002574
5410,LINCOLN ELEMENTARY,California,26.57,28.5,,21.72,20.74,,64347007035
5411,LINCOLN ELEMENTARY,California,18,18,,26.22,26.5,,62187009389
5412,LINCOLN ELEMENTARY,California,17,17,,21.35,21,,63987006614
5413,LINCOLN ELEMENTARY,California,17,13,,24.35,23.69,,63393012359
5414,LINCOLN ELEMENTARY,California,,,,,,,61320001501
5415,LINCOLN ELEMENTARY,California,24,24,,26.08,25.25,,60006501239
5416,LINCOLN ELEMENTARY,California,7.8,8.82,,28.33,24.94,,64074006731
5417,LINCOLN ELEMENTARY,California,23,24,,29.35,26.54,,62169002578
5418,LINCOLN ELEMENTARY,California,25.85,26.35,,24.56,24.48,,62361003581
5419,LINCOLN HIGH,California,112.5,114.15,,24.36,23.82,,62169002579
5420,LINCOLN HIGH,California,57.11,61,,26.18,24.23,,64214006897
5421,LINCOLN HIGH,California,90.5,99.67,,19.51,19.28,,63432011939
5422,LINCOLN HIGH (CONTINUATION),California,7.25,7.1,,16.14,14.51,,63468005835
5423,LINCOLN HIGH CONTINUATION,California,2.19,4.75,,19.63,10.53,,61488010264
5424,LINCOLN JUNIOR HIGH,California,40.76,43.25,,15.78,16.21,,63870006506
5425,LINCOLN MIDDLE,California,46.01,46.8,,23.19,22.61,,63570006093
5426,LINCOLN MIDDLE,California,44.23,42.64,,22.47,22.54,,60177000049
5427,LINCOLN MIDDLE,California,35.21,35.2,,24.42,24.6,,62825004364
5428,LINCOLN PLUS HIGH,California,2.3,2,,17.39,20,,63459011455
5429,LINCOLN STREET INDEPENDENT,California,3,2.5,,25,26.8,,69104310442
5430,LINCREST ELEMENTARY,California,35.02,33.9,,20.85,22.01,,64347007036
5431,LINDA ELEMENTARY,California,27.8,29.8,,24.57,23.59,,62409003629
5432,LINDA ESPERANZA MARQUEZ HIGH A HNTNGTN PARK INST O,California,17.16,,,26.81,,,62271013173
5433,LINDA ESPERANZA MARQUEZ HIGH B LIBRA ACADEMY,California,15.5,,,33.55,,,62271013203
5434,LINDA ESPERANZA MARQUEZ HIGH C SCHOOL OF SOCIAL JU,California,16.16,,,27.41,,,62271013086
5435,LINDA MAR EDUCATIONAL CENTER,California,1,1,,26,37,,62046002460
5436,LINDA VERDE ELEMENTARY,California,29.11,24,,26,27.54,,62088002508
5437,LINDA VISTA ELEMENTARY,California,18,18,,28.28,27.33,,62865004437
5438,LINDA VISTA ELEMENTARY,California,16.65,15.33,,28.71,30.59,,63066009616
5439,LINDA VISTA ELEMENTARY,California,17.76,19.42,,24.83,25.95,,63386005304
5440,LINDA VISTA ELEMENTARY,California,32.38,33.79,,19.7,19.47,,60231000108
5441,LINDA VISTA ELEMENTARY,California,27,29,,18.52,16.93,,63432005501
5442,LINDBERGH ELEMENTARY,California,30,34,,29.23,28.53,,62316003534
5443,LINDBERGH MIDDLE,California,26.17,27.33,,25.45,25.91,,62250002736
5444,LINDBERGH/SCHWEITZER ELEMENTARY,California,33.5,33.5,,16.45,16.72,,63432005502
5445,LINDEN COMMUNITY MIDDLE,California,,,,,,,62181011773
5446,LINDEN ELEMENTARY,California,18,21,,25.22,21.48,,62181002588
5447,LINDEN HIGH,California,31.56,33.67,,22.72,21.35,,62181002589
5448,LINDEN UNIFIED COMMUNITY DAY,California,,1,,,9,,62181008319
5449,LINDERO CANYON MIDDLE,California,37.54,40.4,,26.05,24.75,,62100002522
5450,LINDHURST HIGH,California,53.6,56.6,,21.75,21.54,,62409003630
5451,LINDO PARK ELEMENTARY,California,25.35,21,,22.33,24.05,,62079002496
5452,LINDSAY COMMUNITY DAY,California,1,1,,8,11,,62187008420
5453,LINDSAY SENIOR HIGH,California,41.01,45,,24.29,23.33,,62187002595
5454,LINDSEY ACADEMY,California,32.83,33.47,,25.74,25.96,,62250012117
5455,LINNS VALLEY-POSO FLAT ELEMENTARY,California,2,1,,15,24,,62190002597
5456,LINSCOTT CHARTER,California,11,11,,24.73,24.91,,62949009599
5457,LINTON T. SIMMONS ELEMENTARY,California,15.8,15.8,,25.19,25.76,,61488007588
5458,LINVILLE COMMUNITY DAY,California,,,,,,,63732007474
5459,LINWOOD E. HOWE ELEMENTARY,California,26.5,25.5,,20.75,21.18,,61026001120
5460,LINWOOD ELEMENTARY,California,23,24,,30.13,27.79,,64116006798
5461,LIPMAN MIDDLE,California,11.4,9.2,,14.91,19.67,,60606000542
5462,LISA J. MAILS ELEMENTARY,California,32.8,40.8,,29.76,24.85,,60002911921
5463,LITERACY FIRST CHARTER,California,64.9,51.5,,22.96,23.67,,69103010374
5464,LITTLE CHICO CREEK ELEMENTARY,California,26.12,22.05,,23.35,26.44,,60837010191
5465,LITTLE LAKE CHARTER,California,,,,,,,64256012923
5466,LITTLE LAKE ELEMENTARY,California,37,36.9,,22.78,22.33,,61692002156
5467,LITTLE MOUNTAIN ELEMENTARY,California,,,,,,,63417013056
5468,LITTLE SHASTA ELEMENTARY,California,2,2,,13,15,,62196002609
5469,LITTLEROCK HIGH,California,69.9,74.4,,22.86,22.49,,60282009516
5470,LIVE OAK ALTERNATIVE,California,1.9,1.9,,8.42,10,,62205009891
5471,LIVE OAK CHARTER,California,12.5,12.5,,20.8,21.44,,63023010431
5472,LIVE OAK ELEMENTARY,California,12.44,12.64,,22.51,21.28,,62223002656
5473,LIVE OAK ELEMENTARY,California,19,17,,20.95,20.88,,62199002612
5474,LIVE OAK ELEMENTARY,California,23.68,23.83,,27.03,26.9,,61392001593
5475,LIVE OAK ELEMENTARY,California,28.15,25.5,,25.83,28.27,,61350009817
5476,LIVE OAK ELEMENTARY,California,28,31.5,,22.43,20.51,,60774009341
5477,LIVE OAK ELEMENTARY,California,46.25,45.73,,24.32,24.47,,63513011880
5478,LIVE OAK HIGH,California,46.25,48.63,,24.89,24.9,,62583003877
5479,LIVE OAK HIGH,California,22.25,22.1,,23.73,23.53,,62205002615
5480,LIVE OAK HIGH (CONTINUATION),California,10,10,,17.4,17.5,,60285000213
5481,LIVE OAK MIDDLE,California,21.87,21.52,,21.58,22.58,,62205002614
5482,LIVE OAK MIDDLE,California,29,29,,25.55,24.72,,63987009647
5483,LIVERMORE HIGH,California,76.18,81.13,,23.76,23.78,,62211002630
5484,LIVERMORE VALLEY CHARTER,California,46.53,45.53,,23.4,20.45,,60015110736
5485,LIVERMORE VALLEY CHARTER PREPARATORY HIGH,California,22.3,14.19,,14.8,13.46,,60134412554
5486,LIVINGSTON HIGH,California,44.57,47.1,,25.04,24.42,,62466003700
5487,LIVINGSTON MIDDLE,California,33,34,,25.09,23.74,,62217002639
5488,LIVINGSTON STEPPING STONES PRESCHOOL,California,,,,,,,62217013575
5489,LLOYD G. JOHNSON JUNIOR HIGH,California,16.75,17,,18.39,19.71,,63036008941
5490,LLOYD HANCE COMMUNITY,California,2,1,,17,18,,69101410510
5491,LO-INYO ELEMENTARY,California,11.5,13.2,,23.22,19.39,,62244002692
5492,LO-INYO ELEMENTARY COMMUNITY DAY,California,,,,,,,62244011596
5493,LOARA ELEMENTARY,California,24.48,25.1,,23,23.94,,60261000158
5494,LOARA HIGH,California,95.85,96.64,,27.38,28.36,,60263000180
5495,LOCKEFORD ELEMENTARY,California,21.43,17.35,,22.4,23.46,,62223002657
5496,LOCKHURST DRIVE CHARTER ELEMENTARY,California,16,14,,18.81,21.57,,62271003141
5497,LOCKWOOD AVENUE ELEMENTARY,California,21,24,,23.48,21.33,,62271003142
5498,LOCONOMA VALLEY HIGH,California,0.33,0.5,,54.55,38,,62475003707
5499,LOCUST ELEMENTARY,California,20.5,18.5,,25.17,28.05,,61392009136
5500,LODGE POLE ELEMENTARY (ALTERNATIVE),California,0.5,0.5,,10,14,,63680503059
5501,LODI HIGH,California,86.6,81,,23.94,25,,62223002658
5502,LODI MIDDLE,California,35.71,36.3,,24.03,23.99,,62223002663
5503,LOGAN K-8,California,38.51,37.8,,18.05,16.59,,63432005503
5504,LOGAN STREET ELEMENTARY,California,24,22,,22.04,22,,62271003143
5505,LOIS E. BORCHARDT ELEMENTARY,California,33.44,32.93,,24.82,24.99,,62223011356
5506,LOLETA ELEMENTARY,California,6,6,,19.83,13.83,,62232002671
5507,LOMA ALTA ELEMENTARY,California,,,,,,,62994004676
5508,LOMA ELEMENTARY,California,18,20.25,,27.22,26.72,,62025002436
5509,LOMA PORTAL ELEMENTARY,California,19,18,,22.32,23.67,,63432005504
5510,LOMA PRIETA ELEMENTARY,California,13.5,12.5,,20.96,26.56,,62235002673
5511,LOMA RICA ELEMENTARY,California,7,8,,16.43,16.63,,62409003631
5512,LOMA VERDE ELEMENTARY,California,24.9,23.9,,18.23,18.58,,62772004187
5513,LOMA VERDE ELEMENTARY,California,25,22.2,,20.32,22.21,,60861000866
5514,LOMA VISTA,California,7,7.4,,1.43,2.84,,60837010469
5515,LOMA VISTA CHARTER,California,2,0.5,,27,54,,62187012847
5516,LOMA VISTA ELEMENTARY,California,18,18,,30.22,30.61,,63756006359
5517,LOMA VISTA ELEMENTARY,California,36,38,,24.67,23.63,,62271003144
5518,LOMA VISTA ELEMENTARY,California,17.1,17.67,,31.64,30.56,,64015006642
5519,LOMA VISTA ELEMENTARY,California,17,17.8,,21.94,20.34,,64098006755
5520,LOMA VISTA ELEMENTARY,California,21,23,,29.38,25.83,,63393005323
5521,LOMA VISTA ELEMENTARY,California,26.7,26.9,,23.82,23.87,,60591008455
5522,LOMA VISTA ENVIRONMENTAL SCIENCE ACADEMY,California,16.61,16.69,,27.03,21.75,,64074006732
5523,LOMA VISTA IMMERSION ACADEMY,California,,,,,,,62832013259
5524,LOMA VISTA MIDDLE,California,42.6,42.8,,25.38,25.37,,60243000135
5525,LOMARENA ELEMENTARY,California,17.4,16.3,,28.39,27.67,,63386005305
5526,LOMITA MATH/SCIENCE/TECHNOLOGY MAGNET,California,38,36.5,,25.05,26.08,,62271003145
5527,LOMITA PARK ELEMENTARY,California,12,12,,27.08,26.33,,62490003718
5528,LOMITAS ELEMENTARY,California,22,24,,30.64,29.83,,64104010132
5529,LOMPOC HIGH,California,59.27,64.41,,22.95,20.96,,62241002684
5530,LOMPOC VALLEY MIDDLE,California,28.42,32.41,,18.75,19.65,,62241002683
5531,LONE HILL MIDDLE,California,33.4,34.2,,27.66,27.11,,60561000512
5532,LONE PINE HIGH,California,7.2,8.4,,15.69,12.74,,62244002693
5533,LONE STAR ELEMENTARY,California,17.4,18.4,,20.63,21.2,,63525005976
5534,LONE TREE ELEMENTARY,California,16,15,,20.81,23.33,,64233006927
5535,LONE TREE ELEMENTARY,California,29,29.1,,25.34,25.67,,60285011276
5536,LONG BARN HIGH,California,1,1,,11,5,,63828009645
5537,LONG BEACH UNIFIED SCHOOL DISTRICT ROP,California,,,,,,,60010810921
5538,LONG VALLEY CHARTER,California,18.4,20.6,,20.71,23.01,,60140809067
5539,LONGDEN ELEMENTARY,California,33.5,36,,29.55,27.47,,63898006537
5540,LONGFELLOW,California,,,,,,,60360013521
5541,LONGFELLOW (HENRY W.) ELEMENTARY,California,20,20,,26,25.75,,62994004677
5542,LONGFELLOW ARTS AND TECHNOLOGY MIDDLE,California,26.53,23.5,,18.06,19.57,,60474000446
5543,LONGFELLOW ELEMENTARY,California,29.7,28.2,,28.65,28.51,,63315005149
5544,LONGFELLOW ELEMENTARY,California,27,27.6,,22.41,22.21,,63441005641
5545,LONGFELLOW ELEMENTARY,California,23,23,,26.48,27.48,,64245006942
5546,LONGFELLOW ELEMENTARY,California,29,27,,19.76,19.63,,60962000989
5547,LONGFELLOW ELEMENTARY,California,36,37,,30.17,29.11,,62250002737
5548,LONGFELLOW ELEMENTARY,California,34.16,34.16,,23.51,20.99,,60363000307
5549,LONGFELLOW K-8,California,36.21,34,,21.76,22.06,,63432005505
5550,LONGLEY WAY ELEMENTARY,California,21,22,,23.86,22.73,,60297000233
5551,LONGWOOD ELEMENTARY,California,22,24.7,,30,26.28,,61674002120
5552,LOOMIS BASIN CHARTER,California,19.4,17,,20.46,20.76,,62256012246
