School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year
ABRAHAM LINCOLN HIGH,California,CA ,Abraham Lincoln High,63459005696
ABRAHAM LINCOLN MIDDLE,California,CA ,Abraham Lincoln Middle,63627001989
ABRAHAM LINCOLN SENIOR HIGH,California,CA ,Abraham Lincoln Senior High,62271003139
ABRAXAS CONTINUATION HIGH,California,CA ,Abraxas Continuation High,63153004883
ABRAXIS CHARTER,California,CA ,Abraxis Charter,63583011483
ACACIA ELEMENTARY,California,CA ,Acacia Elementary,61473001790
ACACIA ELEMENTARY,California,CA ,Acacia Elementary,60964001004
ACACIA ELEMENTARY CHARTER,California,CA ,Acacia Elementary Charter,62703013713
ACACIA MIDDLE,California,CA ,Acacia Middle,61692002148
ACACIA MIDDLE CHARTER,California,CA ,Acacia Middle Charter,62703013727
ACAD FOR MULTILIGUAL ARTS AND SCI AT MERVYN M. DYM,California,CA ,Acad for Multilingual Arts and Sci at Mervyn M. Dymally High,62271013079
ACAD OF ARTS AND SCIS: EL CAJON MIDDLE AND HIGH (6,California,CA ,Acad of Arts and Scis: El Cajon Middle and High (6-12),62610013186
ACAD OF ENVIRONMENTAL & SOC POLICY (ESP) AT ROOSEV,California,CA ,Acad of Environmental & Soc Policy (ESP) at Roosevelt High,62271012733
ACADEMIA AVANCE CHARTER,California,CA ,Academia Avance Charter,69107810895
ACADEMIA MODERNA,California,CA ,Academia Moderna,62271012455
ACADEMIC/VOCATIONAL CHARTER INSTITUTE,California,CA ,Academic/Vocational Charter Institute,62949008366
ACADEMIES OF EDUCATION AND EMPOWERMENT AT CARSON H,California,CA ,Academies of Education and Empowerment at Carson High,62271013040
ACADEMIES OF THE ANTELOPE VALLEY,California,CA ,Academies of the Antelope Valley,60282013154
ACADEMY FOR ACADEMIC EXCELLENCE,California,CA ,Academy for Academic Excellence,60001707296
ACADEMY FOR CHANGE,California,CA ,Academy for Change,60837011853
ACADEMY FOR ENRICHED SCIENCES,California,CA ,Academy for Enriched Sciences,62271013006
ACADEMY OF ALAMEDA ELEMENTARY,CALIFORNIA,CA ,Academy of Alameda Elementary,60177013871
ACADEMY OF ARTS AND SCIENCES,California,CA ,Academy of Arts and Sciences,63441012526
ACADEMY OF ARTS AND SCIENCES: DEL MAR ELEMENTARY (,California,CA ,Academy of Arts and Sciences: Del Mar Elementary (K-5),62610013068
ACADEMY OF ARTS AND SCIENCES: DEL MAR MIDDLE & HIG,California,CA ,Academy of Arts and Sciences: Del Mar Middle & High (6-12),62610013179
ACADEMY OF ARTS AND SCIENCES: EL CAJON ELEMENTARY,California,CA ,Academy of Arts and Sciences: El Cajon Elementary (K-5),62610013140
ACADEMY OF ARTS AND SCIENCES: FRESNO,CALIFORNIA,CA ,Academy of Arts and Sciences: Fresno,62853013843
ACADEMY OF ARTS AND SCIENCES: LOS ANGELES (9-12),CALIFORNIA,CA ,Academy of Arts and Sciences: Los Angeles (9-12),60000113811
ACADEMY OF ARTS AND SCIENCES: LOS ANGELES (K-8),CALIFORNIA,CA ,Academy of Arts and Sciences: Los Angeles (K-8),60000113840
ACADEMY OF ARTS AND SCIENCES: OXNARD & VENTURA,California,CA ,Academy of Arts and Sciences: Oxnard & Ventura,62646013077
ACADEMY OF ARTS AND SCIENCES: SAN JOAQUIN,CALIFORNIA,CA ,Academy of Arts and Sciences: San Joaquin,62703013736
ACADEMY OF ARTS AND SCIENCES: SONOMA,California,CA ,Academy of Arts and Sciences: Sonoma,60994013111
ACADEMY OF ARTS AND SCIENCES: THOUSAND OAKS & SIMI,California,CA ,Academy of Arts and Sciences: Thousand Oaks & Simi Valley,62646013069
ACADEMY OF CAREERS AND EXPLORATION,California,CA ,Academy of Careers and Exploration,61686012368
ACADEMY OF MEDICAL ARTS AT CARSON HIGH,California,CA ,Academy of Medical Arts at Carson High,62271013104
ACADEMY OF PERFORMING ARTS AND FOREIGN LANGUAGE,California,CA ,Academy of Performing Arts and Foreign Language,64104010367
ACADEMY OF PERSONALIZED LEARNING,California,CA ,Academy of Personalized Learning,61495012533
ACADEMY OF SCIENCE AND ENGINEERING,California,CA ,Academy of Science and Engineering,62271013044
ACADEMY OF TECHNOLOGY & LEADERSHIP AT SATICOY,California,CA ,Academy of Technology & Leadership at Saticoy,64098006765
ACADEMY OF THE CANYONS,California,CA ,Academy of the Canyons,64251008517
ACADEMY OF THE REDWOODS,California,CA ,Academy of the Redwoods,61419010801
ACADEMY PERFORMING PRESCHOOL,California,CA ,Academy Performing Preschool,64104013396
ACALANES CENTER FOR INDEPENDENT STUDY,California,CA ,Acalanes Center for Independent Study,60165010751
ACALANES HIGH,California,CA ,Acalanes High,60165000032
ACCELERATED,California,CA ,Accelerated,62271003245
ACCELERATED ACHIEVEMENT ACADEMY,California,CA ,Accelerated Achievement Academy,61734012565
ACCELERATED ACHIEVEMENT ACADEMY,California,CA ,Accelerated Achievement Academy,64030010552
ACCELERATED ELEMENTARY CHARTER,California,CA ,Accelerated Elementary Charter,62271010830
ACCESS COUNTY COMMUNITY,California,CA ,Access County Community,69102410567
ACCESS JUVENILE HALL,California,CA ,Access Juvenile Hall,69102409236
ACE ALUM ROCK,CALIFORNIA,CA ,ACE Alum Rock,60231013844
ACE CHARTER HIGH,California,CA ,ACE Charter High,61182013023
ACE EMPOWER ACADEMY,California,CA ,ACE Empower Academy,69103512198
ACE FRANKLIN MCKINLEY,CALIFORNIA,CA ,ACE Franklin McKinley,61437013740
ACE INSPIRE ACADEMY,CALIFORNIA,CA ,ACE Inspire Academy,63459013852
ACHIEVE ACADEMY,California,CA ,Achieve Academy,62805011561
ACHIEVE CHARTER SCHOOL OF PARADISE INC.,California,CA ,Achieve Charter School of Paradise Inc.,62982011571
ACORN WOODLAND ELEMENTARY,California,CA ,ACORN Woodland Elementary,62805010730
ADA CLEGG ELEMENTARY,California,CA ,Ada Clegg Elementary,64215012492
ADA GIVENS ELEMENTARY,California,CA ,Ada Givens Elementary,62460003686
ADA S. NELSON ELEMENTARY,California,CA ,Ada S. Nelson Elementary,62289003501
ADA W. HARRIS ELEMENTARY,California,CA ,Ada W. Harris Elementary,60747000706
ADALINE E. KENT MIDDLE,California,CA ,Adaline E. Kent Middle,61938002329
ADAM (WILLIAM LAIRD) ELEMENTARY,California,CA ,Adam (William Laird) Elementary,60558009312
ADAMS (J. DOUGLAS) MIDDLE,California,CA ,Adams (J. Douglas) Middle,60591011574
ADAMS ELEMENTARY,California,CA ,Adams Elementary,62724009593
ADAMS ELEMENTARY,California,CA ,Adams Elementary,63531005981
ADAMS ELEMENTARY,California,CA ,Adams Elementary,63801006398
ADAMS ELEMENTARY,California,CA ,Adams Elementary,60141406015
ADAMS ELEMENTARY,California,CA ,Adams Elementary,63432005407
ADAMS ELEMENTARY,California,CA ,Adams Elementary,63315005129
ADAMS MIDDLE,California,CA ,Adams Middle,60003204949
ADDAMS ELEMENTARY,California,CA ,Addams Elementary,61455001703
ADDAMS ELEMENTARY,California,CA ,Addams Elementary,62250002695
ADDISON ELEMENTARY,California,CA ,Addison Elementary,62961004579
ADELANTE CHARTER,California,CA ,Adelante Charter,60141408628
ADELANTE DUAL LANGUAGE ACADEMY,California,CA ,Adelante Dual Language Academy,60231011793
ADELANTE HIGH,California,CA ,Adelante High,63227002047
ADELANTE HIGH,California,CA ,Adelante High,60006111814
ADELANTE HIGH (CONTINUATION),California,CA ,Adelante High (Continuation),63363005189
ADELANTE SPANISH IMMERSION,California,CA ,Adelante Spanish Immersion,63213007421
ADELANTO ELEMENTARY,California,CA ,Adelanto Elementary,60171000038
ADELANTO HIGH,California,CA ,Adelanto High,63697212990
ADELE HARRISON MIDDLE,California,CA ,Adele Harrison Middle,63720010436
ADOBE BLUFFS ELEMENTARY,California,CA ,Adobe Bluffs Elementary,63153001203
ADOLFO CAMARILLO HIGH,California,CA ,Adolfo Camarillo High,62927004516
ADRIAN WILCOX HIGH,California,CA ,Adrian Wilcox High,63543006055
ADULT TRANSITION PROGRAM,CALIFORNIA,CA ,Adult Transition Program,60561013847
AEOLIAN ELEMENTARY,California,CA ,Aeolian Elementary,62289003499
AFFLERBAUGH-PAIGE CAMP,California,CA ,Afflerbaugh-Paige Camp,69107812710
AGGELER COMMUNITY DAY,California,CA ,Aggeler Community Day,62271011315
AGNES J. JOHNSON  ELEMENTARY,California,CA ,Agnes J. Johnson  Elementary,63759006363
AGNES L. SMITH ELEMENTARY,California,CA ,Agnes L. Smith Elementary,61803002224
AGNES M. BAPTIST ELEMENTARY,California,CA ,Agnes M. Baptist Elementary,63795009643
AGNES WARE STANLEY ELEMENTARY,California,CA ,Agnes Ware Stanley Elementary,61488001882
AGOURA HIGH,California,CA ,Agoura High,62100002518
AGUA CALIENTE ELEMENTARY,California,CA ,Agua Caliente Elementary,62955004559
AGUA DULCE ELEMENTARY,California,CA ,Agua Dulce Elementary,60000106294
AHWAHNEE HIGH,California,CA ,Ahwahnee High,60016007902
AHWAHNEE MIDDLE,California,CA ,Ahwahnee Middle,61455001704
AILEEN COLBURN ELEMENTARY,California,CA ,Aileen Colburn Elementary,60342000256
AKERS ELEMENTARY,California,CA ,Akers Elementary,60798000765
AKIRA YOKOMI ELEMENTARY,California,CA ,Akira Yokomi Elementary,61455010778
ALAIN LEROY LOCKE COLLEGE PREP ACADEMY,California,CA ,Alain Leroy Locke College Prep Academy,62271012248
ALAMEDA COMMUNITY LEARNING CENTER,California,CA ,Alameda Community Learning Center,60177008673
ALAMEDA COUNTY COMMUNITY,California,CA ,Alameda County Community,69105106830
ALAMEDA COUNTY JUVENILE HALL/COURT,California,CA ,Alameda County Juvenile Hall/Court,69105109264
ALAMEDA COUNTY OPPORTUNITY,California,CA ,Alameda County Opportunity,69105109265
ALAMEDA COUNTY SPECIAL EDUCATION,California,CA ,Alameda County Special Education,69105108672
ALAMEDA ELEMENTARY,California,CA ,Alameda Elementary,61146001260
ALAMEDA HIGH,California,CA ,Alameda High,60177000041
ALAMEDA SCIENCE AND TECHNOLOGY INSTITUTE,California,CA ,Alameda Science and Technology Institute,60177010547
ALAMITOS INTERMEDIATE,California,CA ,Alamitos Intermediate,61488001822
ALAMO ELEMENTARY,California,CA ,Alamo Elementary,63513005942
ALAMO ELEMENTARY,California,CA ,Alamo Elementary,63441005582
ALAMO ELEMENTARY,California,CA ,Alamo Elementary,64059006697
ALAMOS ELEMENTARY,California,CA ,Alamos Elementary,60002811039
ALAMOSA PARK ELEMENTARY,California,CA ,Alamosa Park Elementary,64119009204
ALBA,California,CA ,ALBA,63432007682
ALBANY HIGH,California,CA ,Albany High,60186000059
ALBANY MIDDLE,California,CA ,Albany Middle,60186000060
ALBANY PARK ELEMENTARY,California,CA ,Albany Park Elementary,61089007275
ALBERT A. MICHELSON ELEMENTARY,California,CA ,Albert A. Michelson Elementary,64068006715
ALBERT BAXTER ELEMENTARY,California,CA ,Albert Baxter Elementary,60444005836
"ALBERT EINSTEIN AC. FOR LTR, ART & SCI - AQUA DULC",CALIFORNIA,CA ,"Albert Einstein Ac. for Ltr, Art & Sci - Aqua Dulce Prs. Ac.",60000113828
"ALBERT EINSTEIN ACAD FOR LTRS, ARTS & SCIS - ODYSS",CALIFORNIA,CA ,"Albert Einstein Acad for Ltrs, Arts & Scis - Odyssey",60000113785
"ALBERT EINSTEIN ACAD FOR LTRS, ARTS AND SCIS - VEN",California,CA ,"Albert Einstein Acad for Ltrs, Arts and Scis - Ventura Co",69104713266
ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,California,CA ,Albert Einstein Academy Charter Middle,63432011766
ALBERT EINSTEIN ACADEMY ELEMENTARY,California,CA ,Albert Einstein Academy Elementary,60000113717
"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS AND SCIE",CALIFORNIA,CA ,"Albert Einstein Academy for Letters, Arts and Sciences-STEAM",60000113903
"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS AND SCIE",California,CA ,"Albert Einstein Academy for Letters, Arts and Sciences",64251012655
ALBERT EINSTEIN CONTINUATION,California,CA ,Albert Einstein Continuation,62271002976
ALBERT EINSTEIN MIDDLE,California,CA ,Albert Einstein Middle,63384005219
ALBERT F. BIELLA ELEMENTARY,California,CA ,Albert F. Biella Elementary,63581009635
ALBERT POWELL CONTINUATION,California,CA ,Albert Powell Continuation,64347007028
ALBERT SCHWEITZER ELEMENTARY,California,CA ,Albert Schweitzer Elementary,63462005818
ALBERT SCHWEITZER ELEMENTARY,California,CA ,Albert Schweitzer Elementary,62343003564
ALBERTA MARTONE ELEMENTARY,California,CA ,Alberta Martone Elementary,62513009156
ALBION ELEMENTARY,California,CA ,Albion Elementary,62448008196
ALBION STREET ELEMENTARY,California,CA ,Albion Street Elementary,62271002803
ALCOTT ELEMENTARY,California,CA ,Alcott Elementary,63132004834
ALCOTT ELEMENTARY,California,CA ,Alcott Elementary,63315005130
ALCOTT ELEMENTARY,California,CA ,Alcott Elementary,63432005408
ALDAMA ELEMENTARY,California,CA ,Aldama Elementary,62271002804
ALDER CREEK MIDDLE,California,CA ,Alder Creek Middle,63877011005
ALDER GROVE CHARTER,California,CA ,Alder Grove Charter,63735011593
ALDER MIDDLE,California,CA ,Alder Middle,61392001585
ALDERWOOD ELEMENTARY,California,CA ,Alderwood Elementary,68450007373
ALESSANDRO,California,CA ,Alessandro,62580011025
ALESSANDRO HIGH,California,CA ,Alessandro High,61692002149
ALEXANDER FLEMING MIDDLE,California,CA ,Alexander Fleming Middle,62271003011
ALEXANDER HAMILTON ELEMENTARY,California,CA ,Alexander Hamilton Elementary,63801011783
ALEXANDER HAMILTON SENIOR HIGH,California,CA ,Alexander Hamilton Senior High,62271003064
ALEXANDER ROSE ELEMENTARY,California,CA ,Alexander Rose Elementary,62450003672
ALEXANDER VALLEY ELEMENTARY,California,CA ,Alexander Valley Elementary,60189000064
ALEXANDRIA AVENUE ELEMENTARY,California,CA ,Alexandria Avenue Elementary,62271002805
ALFRED B. NOBEL CHARTER MIDDLE,California,CA ,Alfred B. Nobel Charter Middle,62271003225
ALFRED S. MADRID MIDDLE,California,CA ,Alfred S. Madrid Middle,62619000454
ALHAMBRA HIGH,California,CA ,Alhambra High,60015310929
ALHAMBRA SENIOR HIGH,California,CA ,Alhambra Senior High,62403003612
ALIANZA CHARTER,California,CA ,Alianza Charter,62949004554
ALICANTE AVENUE ELEMENTARY,California,CA ,Alicante Avenue Elementary,62085002501
ALICE BIRNEY ELEMENTARY,California,CA ,Alice Birney Elementary,60005201475
ALICE BIRNEY ELEMENTARY,California,CA ,Alice Birney Elementary,60939007687
ALICE BIRNEY WALDORF-INSPIRED,California,CA ,Alice Birney Waldorf-Inspired,63384007242
ALICE C. STELLE MIDDLE,California,CA ,Alice C. Stelle Middle,62100011298
ALICE M. BIRNEY ELEMENTARY,California,CA ,Alice M. Birney Elementary,61218001369
ALICE M. ELLINGTON ELEMENTARY,California,CA ,Alice M. Ellington Elementary,60360000271
ALICE N. STROUD ELEMENTARY,California,CA ,Alice N. Stroud Elementary,61269004134
ALICE SHAW ELEMENTARY,California,CA ,Alice Shaw Elementary,62871004468
ALICIA CORTEZ ELEMENTARY,California,CA ,Alicia Cortez Elementary,60846000836
ALICIA REYES ELEMENTARY,California,CA ,Alicia Reyes Elementary,62460009581
ALILA,California,CA ,Alila,61176010446
ALISAL COMMUNITY,California,CA ,Alisal Community,60195000082
ALISAL ELEMENTARY,California,CA ,Alisal Elementary,60002009285
ALISAL HIGH,California,CA ,Alisal High,63398005332
ALISO ELEMENTARY,California,CA ,Aliso Elementary,60756000724
ALISO NIGUEL HIGH,California,CA ,Aliso Niguel High,60744002328
ALISO VIEJO MIDDLE,California,CA ,Aliso Viejo Middle,60744002334
ALL TRIBES CHARTER,California,CA ,All Tribes Charter,60004210387
ALL TRIBES ELEMENTARY CHARTER,California,CA ,All Tribes Elementary Charter,60004212735
ALLAN ORRENMAA ELEMENTARY,California,CA ,Allan Orrenmaa Elementary,60243000138
ALLAN PETERSON ELEMENTARY,California,CA ,Allan Peterson Elementary,62460008899
ALLEN (DECIMA M.) ELEMENTARY,California,CA ,Allen (Decima M.) Elementary,63423005393
ALLEN (ELLA B.) ELEMENTARY,California,CA ,Allen (Ella B.) Elementary,60861000855
ALLEN AT STEINBECK,California,CA ,Allen at Steinbeck,63459005697
ALLEN AVENUE ELEMENTARY,California,CA ,Allen Avenue Elementary,60561000503
ALLENDALE ELEMENTARY,California,CA ,Allendale Elementary,62805004238
ALLENSWORTH ELEMENTARY,California,CA ,Allensworth Elementary,60198000086
ALLESANDRO ELEMENTARY,California,CA ,Allesandro Elementary,62271002807
ALLIANCE 6-12 COLLEGE-READY ACADEMY #21,CALIFORNIA,CA ,Alliance 6-12 College-Ready Academy #21,62271013857
ALLIANCE ACADEMY,California,CA ,Alliance Academy,62805012027
ALLIANCE CINDY AND BILL SIMON TECHNOLOGY ACADEMY H,California,CA ,Alliance Cindy and Bill Simon Technology Academy High,62271012567
ALLIANCE COLLEGE-READY ACADEMY HIGH NO. 16,California,CA ,Alliance College-Ready Academy High 16,62271012766
ALLIANCE COLLEGE-READY ACADEMY HIGH NO. 18,California,CA ,Alliance Margaret M. Bloomfield Technology Academy High,62271012924
ALLIANCE COLLEGE-READY ACADEMY HIGH NO. 20,California,CA ,Alliance Alice M. Baxter College-Ready High,62271013099
ALLIANCE COLLEGE-READY ACADEMY HIGH NO. 5,California,CA ,Alliance Patti And Peter Neuwirth Leadership Academy,62271011632
ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 10,California,CA ,Alliance College-Ready Middle Academy 10,62271013597
ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 12,California,CA ,Alliance College-Ready Middle Academy 12,62271013403
ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 4,California,CA ,Alliance College-Ready Middle Academy 4,62271012528
ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 5,California,CA ,Alliance College-Ready Middle Academy 5,62271012474
ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 7,California,CA ,Alliance College-Ready Middle Academy 7,62271012573
ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 8,California,CA ,Alliance College-Ready Middle Academy 8,62271013273
ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 9,California,CA ,Alliance College-Ready Middle Academy 9,62271013487
ALLIANCE DR. OLGA MOHAN HIGH,California,CA ,Alliance Dr. Olga Mohan High,62271011633
ALLIANCE ENVIRONMENTAL SCIENCE AND TECHNOLOGY HIGH,California,CA ,Alliance Environmental Science and Technology High,62271012342
ALLIANCE GERTZ-RESSLER RICHARD MERKIN 6-12 COMPLEX,California,CA ,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,62271010851
ALLIANCE HEALTH SERVICES ACADEMY HIGH,California,CA ,Alliance Health Services Academy High,62271012378
ALLIANCE HUNTINGTON PARK COLLEGE-READY ACADEMY HIG,California,CA ,Alliance Collins Family College-Ready High,62271010871
ALLIANCE JACK H. SKIRBALL MIDDLE,California,CA ,Alliance Jack H. Skirball Middle,62271011634
ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH,California,CA ,Alliance Judy Ivie Burton Technology Academy High,62271010867
ALLIANCE MARC & EVA STERN MATH AND SCIENCE,California,CA ,Alliance Marc & Eva Stern Math and Science,62271011642
ALLIANCE MEDIA ARTS AND ENTERTAINMENT DESIGN HIGH,California,CA ,Alliance Media Arts and Entertainment Design High,62271012259
ALLIANCE OUCHI-O'DONOVAN 6-12 COMPLEX,California,CA ,Alliance Ouchi-O'Donovan 6-12 Complex,62271011641
ALLIANCE RENEE AND MEYER LUSKIN ACADEMY HIGH,California,CA ,Alliance Renee and Meyer Luskin Academy High,62271012848
ALLIANCE SUSAN AND ERIC SMIDT TECHNOLOGY HIGH,California,CA ,Alliance Susan and Eric Smidt Technology High,62271012817
ALLIANCE TENNENBAUM FAMILY TECHNOLOGY HIGH,California,CA ,Alliance Tennenbaum Family Technology High,62271012572
ALLISON ELEMENTARY,California,CA ,Allison Elementary,63132004835
ALMA PRESCHOOL,California,CA ,Alma Preschool,60780012607
ALMADEN ELEMENTARY,California,CA ,Almaden Elementary,63459005698
ALMANOR HIGH (CONTINUATION),California,CA ,Almanor High (Continuation),63117007824
ALMERIA MIDDLE,California,CA ,Almeria Middle,61392009544
ALMOND ACRES CHARTER ACADEMY,California,CA ,Almond Acres Charter Academy,63501013176
ALMOND ELEMENTARY,California,CA ,Almond Elementary,62265002782
ALMOND ELEMENTARY,California,CA ,Almond Elementary,61392011362
ALMOND GROVE ELEMENTARY,CALIFORNIA,CA ,Almond Grove Elementary,62808013786
ALMOND TREE MIDDLE,California,CA ,Almond Tree Middle,61089007504
ALMONDALE ELEMENTARY,California,CA ,Almondale Elementary,63348003149
ALOHA ELEMENTARY,California,CA ,Aloha Elementary,60162000001
ALONDRA MIDDLE,California,CA ,Alondra Middle,62985012423
ALPAUGH ACHIEVEMENT ACADEMY CHARTER,California,CA ,Alpaugh Achievement Academy Charter,60201011820
ALPAUGH ELEMENTARY,California,CA ,Alpaugh Elementary,60201000087
ALPAUGH JUNIOR-SENIOR HIGH,California,CA ,Alpaugh Junior-Senior High,60201000088
ALPHA CHARTER,California,CA ,Alpha Charter,61260013554
ALPHA CINDY AVITIA HIGH,CALIFORNIA,CA ,Alpha Cindy Avitia High,61182013926
ALPHA ELEMENTARY,California,CA ,Alpha Elementary,62334009397
ALPHA TECHNOLOGY MIDDLE,California,CA ,Alpha Technology Middle,61260001423
ALPHA: BLANCA ALVARADO MIDDLE,California,CA ,Alpha: Blanca Alvarado Middle,60231012989
ALPHA: JOSE HERNANDEZ MIDDLE,CALIFORNIA,CA ,Alpha: Jose Hernandez Middle,69103513757
ALPHONSO B. PEREZ SPECIAL EDUCATION CENTER,California,CA ,Alphonso B. Perez Special Education Center,62271007762
ALPINE COMMUNITY DAY,California,CA ,Alpine Community Day,60210010623
ALPINE COUNTY OPPORTUNITY,California,CA ,Alpine County Opportunity,69105806965
ALPINE COUNTY SECONDARY COMMUNITY DAY,California,CA ,Alpine County Secondary Community Day,60207006968
ALPINE ELEMENTARY,California,CA ,Alpine Elementary,61944002332
ALPINE ELEMENTARY,California,CA ,Alpine Elementary,60210000091
ALPINE VISTA,California,CA ,Alpine Vista,63987013286
ALPS VIEW HIGH (CONTINUATION),California,CA ,Alps View High (Continuation),60133106604
ALTA CALIFORNIA ELEMENTARY,California,CA ,Alta California Elementary,62271012806
ALTA ELEMENTARY,California,CA ,Alta Elementary,61970002363
ALTA HEIGHTS ELEMENTARY,California,CA ,Alta Heights Elementary,62664004011
ALTA LOMA ELEMENTARY,California,CA ,Alta Loma Elementary,62271002808
ALTA LOMA ELEMENTARY,California,CA ,Alta Loma Elementary,60216000093
ALTA LOMA HIGH,California,CA ,Alta Loma High,60816000790
ALTA LOMA JUNIOR HIGH,California,CA ,Alta Loma Junior High,60216000094
ALTA LOMA MIDDLE,California,CA ,Alta Loma Middle,63753006339
ALTA MESA ELEMENTARY,California,CA ,Alta Mesa Elementary,61281001439
ALTA MURRIETA ELEMENTARY,California,CA ,Alta Murrieta Elementary,60002909509
ALTA SIERRA ELEMENTARY,California,CA ,Alta Sierra Elementary,63093008942
ALTA SIERRA INTERMEDIATE,California,CA ,Alta Sierra Intermediate,60903010202
ALTA VISTA ACADEMY,California,CA ,Alta Vista Academy,63864010385
ALTA VISTA ALTERNATIVE HIGH,California,CA ,Alta Vista Alternative High,60141412435
ALTA VISTA ALTERNATIVE JUNIOR HIGH,California,CA ,Alta Vista Alternative Junior High,60141412760
ALTA VISTA COMMUNITY CHARTER,California,CA ,Alta Vista Community Charter,60348013170
ALTA VISTA ELEMENTARY,California,CA ,Alta Vista Elementary,60222000098
ALTA VISTA ELEMENTARY,California,CA ,Alta Vista Elementary,64032006667
ALTA VISTA ELEMENTARY,California,CA ,Alta Vista Elementary,60003204950
ALTA VISTA HIGH,California,CA ,Alta Vista High,62631003931
ALTA VISTA HIGH (CONTINUATION),California,CA ,Alta Vista High (Continuation),64119006812
ALTA VISTA PUBLIC,California,CA ,Alta Vista Public,60171012521
ALTA VISTA SOUTH PUBLIC CHARTER,CALIFORNIA,CA ,Alta Vista South Public Charter,61686013808
ALTA-DUTCH FLAT ELEMENTARY,California,CA ,Alta-Dutch Flat Elementary,60225000099
ALTADENA ELEMENTARY,California,CA ,Altadena Elementary,62994004661
ALTAMONT CREEK ELEMENTARY,California,CA ,Altamont Creek Elementary,62211008438
ALTAMONT ELEMENTARY,CALIFORNIA,CA ,Altamont Elementary,60141013781
ALTERNATIVE COOPERATIVE EDUCATION CHARTER,California,CA ,Alternative Cooperative Education Charter,64059012697
ALTERNATIVE EDUCATION-SAN JOAQUIN HIGH,California,CA ,Alternative Education-San Joaquin High,68450009467
ALTERNATIVE FAMILY EDUCATION,California,CA ,Alternative Family Education,63560007437
ALTERNATIVE FOR CHANGE,CALIFORNIA,CA ,Alternative For Change,69100213833
ALTERNATIVE LEARNING ACADEMY AT CONLEY-CARABALLO H,California,CA ,Alternative Learning Academy at Conley-Caraballo High,62691011552
ALTERNATIVE LEARNING CENTER,California,CA ,Alternative Learning Center,63417010048
ALTERNATIVE OPPORTUNITY PROGRAMS,California,CA ,Alternative Opportunity Programs,69107810231
