School,District,City,State,Management Structure,Year Opened
ACE Alum Rock,Alum Rock Union Elementary,San Jose,CA,CMO,2014
ACE Franklin McKinley,Franklin-McKinley Elementary,San Jose,CA,CMO,2014
ASCEND,Oakland Unified School District,Oakland,CA,CMO,2012
Abernathy Collegiate Charter,Tehachapi Unified,Tehachapi,CA,Independent,2013
Abraxis Charter,Santa Rosa High School District,Santa Rosa,CA,Independent,2005
Acacia Elementary Charter,New Jerusalem Elementary,Stockton,CA,CMO,2013
Acacia Middle Charter,New Jerusalem Elementary,Stockton,CA,CMO,2013
Academia Avance Charter,Los Angeles County Office Of Education,Los Angeles,CA,Independent,2005
Academia Moderna,Los Angeles Unified School District,Walnut Park,CA,CMO,2009
Academia Semillas Del Pueblo,Los Angeles Unified School District,Los Angeles,CA,CMO,2002
Academic/Vocational Charter Institute,Pajaro Valley Unified School District,Watsonville,CA,Independent,1999
Academies of Antelope Valley,Antelope Valley Union High School District,Quartz Hill,CA,Independent,2012
Academy for Academic Excellence,Apple Valley Unified School District,Apple Valley,CA,CMO,1997
Academy for Civic & Entrepreneurial Leadership (ACEL Fresno),Fresno Unified School District,Fresno,CA,Independent,2009
Academy of Alameda,Alameda Unified School District,Alameda,CA,Independent,2010
Academy of Arts and Sciences: Del Mar Elementary (K-5),Mountain Empire Unified,San Diego,CA,CMO,2012
Academy of Arts and Sciences: Del Mar Middle and High (6-12),Mountain Empire Unified,San Diego,CA,CMO,2012
Academy of Arts and Sciences: El Cajon Elementary (K-5),Mountain Empire Unified,San Diego,CA,EMO,2012
Academy of Arts and Sciences: El Cajon Middle and High (6-12),Mountain Empire Unified,San Diego,CA,EMO,2012
Academy of Arts and Sciences: Fresno,Orange Center,Clovis,CA,EMO,2014
Academy of Arts and Sciences: Los Angeles (9-12),Acton-Agua Dulce Unified,Los Angeles,CA,EMO,2014
Academy of Arts and Sciences: Los Angeles (K-8),Acton-Agua Dulce Unified,Los Angeles,CA,EMO,2014
Academy of Arts and Sciences: Oxnard and Ventura,Mupu Elementary,Thousand Oaks,CA,EMO,2012
Academy of Arts and Sciences: San Joaquin,New Jerusalem Elementary,Stockton,CA,CMO,2014
Academy of Arts and Sciences: Sonoma,Cotati-Rohnert Park Unified,Rohnert Park,CA,EMO,2012
Academy of Arts and Sciences: Thousand Oaks and Simi Valley,Mupu Elementary,Thousand Oaks,CA,EMO,2012
Academy of Careers and Exploration,Helendale School District,Helendale,CA,Independent,2008
Academy of Culture and Technology,,,CA,Independent,2005
Academy of Science and Engineering,Los Angeles Unified School District,Los Angeles,CA,Independent,2012
Accelerated Achievement Academy,Ukiah Unified School District,Ukiah,CA,CMO,2002
Accelerated Charter High School (Wallis Annenberg High),Los Angeles Unified School District,Los Angeles,CA,CMO,2003
Accelerated Elementary Charter,Los Angeles Unified School District,Los Angeles,CA,CMO,2004
Accelerated School,Los Angeles Unified School District,Los Angeles,CA,CMO,1994
Ace Charter High,East Side Union High School District,San Jose,CA,CMO,2012
Ace Charter School,Santa Clara County Office Of Education,San Jose,CA,CMO,2008
Achieve Academy,Oakland Unified School District,Oakland,CA,CMO,2006
Achieve Charter School of Paradise Inc.,Paradise Unified School District,Paradise,CA,Independent,2005
Adelante Charter,Santa Barbara Unified,Santa Barbara,CA,Independent,2000
Alain Leroy Locke 3 College Preparatory Academy,Los Angeles Unified School District,Los Angeles,CA,CMO,2008
Alameda Community Learning Center,Alameda Unified School District,Alameda,CA,CMO,2001
Alan Rowe College Prep,Elk Grove Unified School District,Elk Grove,CA,Independent,2013
Albert Einstein Academy Charter School,San Diego Unified School District,San Diego,CA,CMO,2002
Albert Einstein Academy Elementary,Acton-Agua Dulce Unified,Santa Clarita,CA,CMO,2013
Albert Einstein Academy Middle,San Diego Unified School District,San Diego,CA,CMO,2006
"Albert Einstein Academy for Letters, Arts & Sciences - Aqua Dulce Partnership Academy",Acton-Agua Dulce Unified,Agua Dulce,CA,CMO,2014
"Albert Einstein Academy for Letters, Arts & Sciences Elementary School (Santa Clarita)",,Santa Clarita,CA,CMO,2014
Alfred B. Nobel Charter Middle,Los Angeles Unified School District,Northridge,CA,Independent,2012
Alianza Charter,Pajaro Valley Unified School District,Watsonville,CA,Independent,1999
All Tribes Charter,Warner Unified School District,Valley Center,CA,CMO,2008
All Tribes Elementary Charter,Warner Unified School District,Valley Center,CA,CMO,2010
Alliance Alice M. Baxter College-Ready High,Los Angeles Unified,San Pedro,CA,CMO,2014
Alliance Christine O'Donovan Middle Academy,Los Angeles Unified School District,Los Angeles,CA,CMO,2008
Alliance College-Ready Academy High No. 11,Los Angeles Unified School District,Los Angeles,CA,CMO,2010
Alliance College-Ready Academy High No. 14,Los Angeles Unified School District,Los Angeles,CA,CMO,2012
Alliance College-Ready Academy High No. 16,Los Angeles Unified School District,Los Angeles,CA,CMO,2011
Alliance College-Ready Academy High No. 17,Los Angeles Unified School District,Los Angeles,CA,CMO,2012
Alliance College-Ready Academy High No. 5,Los Angeles Unified School District,Los Angeles,CA,CMO,2007
Alliance College-Ready Middle Academy 8,Los Angeles Unified,Los Angeles,CA,CMO,2014
Alliance College-Ready Middle Academy 9,Los Angeles Unified,Los Angeles,CA,CMO,2014
Alliance College-Ready Middle Academy No. 12,Los Angeles Unified,Los Angeles,CA,CMO,2013
Alliance College-Ready Middle Academy No. 4,Los Angeles Unified School District,Los Angeles,CA,CMO,2009
Alliance College-Ready Middle Academy No. 5,Los Angeles Unified School District,Los Angeles,CA,CMO,2009
Alliance Dr. Olga Mohan High,Los Angeles Unified School District,Los Angeles,CA,CMO,2006
Alliance Environmental Science and Technology High,Los Angeles Unified School District,Los Angeles,CA,CMO,2009
Alliance Gertz-Ressler High,Los Angeles Unified School District,Los Angeles,CA,CMO,2004
Alliance Health Services Academy High,Los Angeles Unified School District,Los Angeles,CA,CMO,2009
Alliance Heritage College-Ready Academy High,Los Angeles Unified School District,Los Angeles,CA,CMO,2005
Alliance Huntington Park College-Ready Academy High,Los Angeles Unified School District,Huntington Park,CA,CMO,2005
Alliance Jack H. Skirball Middle,Los Angeles Unified School District,Los Angeles,CA,CMO,2007
Alliance Marc & Eva Stern Math and Science,Los Angeles Unified School District,,CA,CMO,2006
Alliance Margaret M. Bloomfield Technology Academy High,Los Angeles Unified,South Gate,CA,CMO,2014
Alliance Media Arts and Entertainment Design High,Los Angeles Unified School District,Los Angeles,CA,CMO,2009
Alliance Richard Merkin Middle,Los Angeles Unified School District,Los Angeles,CA,CMO,2005
Alliance Technology and Math Science High,Los Angeles Unified School District,Los Angeles,CA,CMO,2011
Alliance William and Carol Ouchi Academy High,Los Angeles Unified School District,Los Angeles,CA,CMO,2006
Almond Acres Charter Academy,San Miguel Joint Union,San Miguel,CA,Independent,2012
Alpha Charter,Elverta Joint Elementary,Elverta,CA,Independent,2013
Alpha: Blanca Alvarado Middle,Alum Rock Union Elementary School District,San Jose,CA,Independent,2012
Alpha: Jose Hernandez Middle,Santa Clara County Office of Education,San Jose,CA,Independent,2014
Alta Vista Community Charter,Auburn Union Elementary,Auburn,CA,Independent,2012
Alta Vista Public,Adelanto Elementary,,CA,EMO,2009
Alta Vista South Public Charter,Helendale Elementary,San Bernardino,CA,EMO,2014
Alternative Cooperative Education Charter,Vacaville Unified School District,Vacaville,CA,Independent,2010
Alvina Elementary Charter,Alvina Elementary,Caruthers,CA,Independent,2000
Ambassador Phillip V. Sanchez Public Charter,Raisin City Elementary,,CA,EMO,2011
America's Choice High School,Sacramento City Unified School District,Sacramento,CA,Independent,2003
America's Finest Charter,San Diego Unified School District,San Diego,CA,Independent,2011
American Indian Public Charter,Oakland Unified School District,Oakland,CA,CMO,1996
American Indian Public High,Oakland Unified School District,Oakland,CA,CMO,2006
American River Charter,Black Oak Mine Unified,Garden Valley,CA,Independent,2010
Anahuacalmecac International University Prep,Los Angeles Unified School District,Los Angeles,CA,CMO,2008
Anahuacalmecac International University Preparatory High School of North America,SBE - Anahuacalmecac International Preparatory High School of North America,Los Angeles,CA,CMO,2014
Animo Charter Middle No. 2,Los Angeles Unified,Los Angeles,CA,CMO,2013
Animo Charter Middle No. 3,Los Angeles Unified School District,Los Angeles,CA,CMO,2011
Animo Charter Middle No. 4,Los Angeles Unified School District,Los Angeles,CA,CMO,2011
Animo College Preparatory Academy,Los Angeles Unified School District,Los Angeles,CA,CMO,2011
Animo Ellen Ochoa Charter Middle,Los Angeles Unified,Los Angeles,CA,CMO,2014
Animo Inglewood Charter High,Inglewood Unified School District,Inglewood,CA,CMO,2002
Animo Jefferson Charter Middle,Los Angeles Unified School District,,CA,CMO,2010
Animo Leadership High,Lennox School District,Inglewood,CA,CMO,2000
Animo Locke 1 College Preparatory Academy,Los Angeles Unified School District,Los Angeles,CA,CMO,2008
Animo Locke ACE Academy,Los Angeles Unified School District,Los Angeles,CA,CMO,2009
Animo Locke Technology Charter High,Los Angeles Unified School District,Los Angeles,CA,CMO,2006
Animo Mae Jemison Charter Middle,Los Angeles Unified,Los Angeles,CA,CMO,2014
Animo Oscar De La Hoya Charter High,Los Angeles Unified School District,Los Angeles,CA,CMO,2003
Animo Pat Brown,Los Angeles Unified School District,Los Angeles,CA,CMO,2006
Animo South Los Angeles Charter,Los Angeles Unified School District,Los Angeles,CA,CMO,2004
Animo Venice Charter High,Los Angeles Unified School District,Venice,CA,CMO,2004
Animo Watts #2 Charter High,Los Angeles Unified School District,Los Angeles,CA,CMO,2007
Animo Westside Charter Middle,Los Angeles Unified School District,Venice,CA,CMO,2011
Antioch Charter Academy,Antioch Unified School District,Antioch,CA,CMO,1998
Antioch Charter Academy II,Antioch Unified School District,Antioch,CA,CMO,2007
Antonio Maria Lugo Academy,Los Angeles Unified School District,Huntington Park,CA,CMO,2005
Apex Academy,Los Angeles Unified School District,Hollywood,CA,Independent,2012
Apple Academy Charter Public,Los Angeles Unified School District,Los Angeles,CA,Independent,2012
Aptitud Community Academy at Goss,Alum Rock Union Elementary,San Jose,CA,Independent,2013
Ararat Charter,Los Angeles Unified School District,Van Nuys,CA,Independent,2010
Arise High,Oakland Unified School District,,CA,Independent,2007
Arroyo Paseo Charter High,San Diego Unified School District,San Diego,CA,Independent,2007
Arroyo Vista Charter,Chula Vista Elementary School District,Chula Vista,CA,Independent,2002
Arts in Action Community Charter,Los Angeles Unified School District,,CA,Independent,2011
Arundel Elementary,San Carlos School District,San Carlos,CA,Independent,2000
Asa Charter,San Bernardino City Unified School District,San Bernardino,CA,Independent,2004
Aspire APEX Academy,Stockton Unified School District,Stockton,CA,CMO,2010
Aspire Alexander Twilight College Preparatory Acad,San Juan Unified School District,Sacramento,CA,CMO,2009
Aspire Alexander Twilight Secondary Academy,San Juan Unified School District,Sacramento,CA,CMO,2010
Aspire Benjamin Holt College Preparatory Academy,Lodi Unified School District,Stockton,CA,CMO,2003
Aspire Berkley Maynard Academy,Oakland Unified School District,Oakland,CA,CMO,2005
Aspire California College Preparatory Academy,Alameda County Office Of Education,Berkeley,CA,CMO,2008
Aspire Capitol Heights Academy,Sacramento City Unified School District,Sacramento,CA,CMO,2003
Aspire Centennial College Preparatory Academy,Los Angeles Unified,Huntington Park,CA,CMO,2013
Aspire Clarendon Elementary,Los Angeles Unified School District,Huntington Park,CA,CMO,2007
Aspire College Academy,Oakland Unified,Oakland,CA,CMO,2013
Aspire ERES Academy,Oakland Unified School District,Oakland,CA,CMO,2009
Aspire East Palo Alto Charter,Ravenswood City School District,East Palo Alto,CA,CMO,1997
Aspire East Palo Alto Phoenix Academy,Sequoia Union High School District,East Palo Alto,CA,CMO,2008
Aspire Firestone Academy,Los Angeles Unified School District,South Gate,CA,CMO,2010
Aspire Gateway Academy,Los Angeles Unified School District,South Gate,CA,CMO,2010
Aspire Golden State College Preparatory Academy,Oakland Unified School District,Oakland,CA,CMO,2008
Aspire Huntington Park Charter,Los Angeles Unified School District,Huntington Park,CA,CMO,2008
Aspire Inskeep Academy Charter,Los Angeles Unified School District,Los Angeles,CA,CMO,2011
Aspire Juanita Tate Academy Charter,Los Angeles Unified School District,Los Angeles,CA,CMO,2011
Aspire Langston Hughes Academy,Stockton Unified School District,Stockton,CA,CMO,2008
Aspire Lionel Wilson College Preparatory Academy,Oakland Unified School District,Oakland,CA,CMO,2002
Aspire Millsmont Academy,Oakland Unified School District,Oakland,CA,CMO,2005
Aspire Monarch Academy,Oakland Unified School District,Oakland,CA,CMO,2000
Aspire Pacific Academy,Los Angeles Unified School District,Huntington Park,CA,CMO,2010
Aspire Port City Academy,Stockton Unified School District,Stockton,CA,CMO,2007
Aspire Public Schools - River Oaks Charter School,Lodi Unified School District,Stockton,CA,CMO,2001
Aspire Rosa Parks Academy,Stockton Unified School District,Stockton,CA,CMO,2005
Aspire Slauson Academy Charter,Los Angeles Unified School District,Los Angeles,CA,CMO,2011
Aspire Summit Charter Academy,Ceres Unified School District,Modesto,CA,CMO,2006
Aspire Titan Academy,Los Angeles Unified School District,Huntington Park,CA,CMO,2009
Aspire Triumph Technology Academy,Oakland Unified,Oakland,CA,CMO,2014
Aspire University Charter,Sylvan Union School District,Modesto,CA,CMO,2008
Aspire Vanguard College Preparatory Academy,Modesto City High School District,Empire,CA,CMO,2009
Aspire Vincent Shalvey Academy,Lodi Unified School District,Stockton,CA,CMO,1999
Assurance Learning Academy,Acton-Agua Dulce Unified,Los Angeles,CA,EMO,2012
Aveson Global Leadership Academy,Pasadena Unified School District,Altadena,CA,CMO,2007
Aveson School of Leaders,Pasadena Unified School District,Altadena,CA,CMO,2007
BRIDGES Charter School,Ventura County Office Of Education,Camarillo,CA,Independent,2010
Ballington Academy for the Arts and Sciences,El Centro Elementary,El Centro,CA,Independent,2009
Barack Obama Charter,Compton Unified School District,Los Angeles,CA,CMO,2009
Barona Indian Charter,Lakeside Union School District,Lakeside,CA,Independent,2002
Bay Area School of Enterprise,Alameda Unified School District,Alameda,CA,Independent,2001
Bay Area Technology,Oakland Unified School District,Oakland,CA,CMO,2004
Bay View Academy,Monterey County Office Of Education,Monterey,CA,Independent,2011
Bayshore Prep Charter,San Marcos Unified School District,San Marcos,CA,Independent,2005
Beacon Classical Academy Elementary Charter,Julian Union Elementary,National City,CA,Independent,2014
Beckford Charter for Enriched Studies,Los Angeles Unified School District,Northridge,CA,Independent,2011
Bella Mente Montessori Academy,Vista Unified,Vista,CA,Independent,2013
Bellevue-Santa Fe Charter,San Luis Coastal Unified School District,San Luis Obispo,CA,Independent,1995
Bert Corona Charter,Los Angeles Unified School District,Pacoima,CA,CMO,2004
Big Picture High School - Fresno,Fresno County Office Of Education,Fresno,CA,CMO,2009
Binkley Elementary Charter,Rincon Valley Union School District,Santa Rosa,CA,Independent,2010
Birmingham Community Charter High,Los Angeles Unified School District,Van Nuys,CA,Independent,2009
Bitney College Preparatory High,Nevada County Office Of Education,Grass Valley,CA,Independent,1999
Blackford Elementary,Campbell Union School District,San Jose,CA,Independent,2008
Blue Oak Charter,Chico Unified School District,Chico,CA,Independent,2001
Blue Oak Charter Montessori Elementary School,Buckeye Union School District,Cameron Park,CA,Independent,2004
Bowling Green Elementary,Sacramento City Unified School District,Sacramento,CA,Independent,1993
Bowman Charter,Ackerman Elementary School District,Auburn,CA,Independent,2007
Bridges Academy,Franklin-Mckinley School District,San Jose,CA,Independent,2010
Bright Star Secondary Charter,Los Angeles Unified School District,Los Angeles,CA,CMO,2006
Brittan Acres Elementary,San Carlos School District,San Carlos,CA,Independent,1999
Bullis Charter,Santa Clara County Office Of Education,Los Altos,CA,Independent,2004
Burton Pathways Charter Academy,Burton School District,Porterville,CA,Independent,2010
Butterfield Charter High,Porterville Unified School District,Porterville,CA,Independent,2007
CA Academy for Liberal Studies Early College High,Los Angeles Unified School District,Los Angeles,CA,CMO,2005
CEIBA College Preparatory Academy,Pajaro Valley Unified School District,Watsonville,CA,Independent,2008
CHAMPS - Charter High School of Arts,Los Angeles Unified School District,Van Nuys,CA,Independent,2005
CLAS Affirmation,Los Angeles Unified School District,Los Angeles,CA,Independent,2003
Cal Stem San Joaquin,New Jerusalem Elementary,Stockton,CA,CMO,2014
Calabash Charter Academy,Los Angeles Unified School District,Woodland Hills,CA,Independent,2011
Calahan Community Charter,Los Angeles Unified,Northridge,CA,Independent,2013
Cali Calmecac Charter,Windsor Unified School District,Windsor,CA,Independent,1998
Caliber: Beta Academy,Contra Costa County Office of Education,Richmond,CA,Independent,2014
California Academy for Liberal Studies,Los Angeles Unified School District,Los Angeles,CA,CMO,2000
California Connections Academy @ North Bay,Middletown Unified,Middletown,CA,EMO,2014
California Connections Academy @ Ripon,Ripon Unified,,CA,EMO,2012
California Heritage Youthbuild Academy,Mono County Office Of Education,Mammoth Lakes,CA,Independent,2012
California Military Institute,Perris Union High School District,Perris,CA,Independent,2003
California Montessori Project - Capitol Campus,Sacramento City Unified School District,Sacramento,CA,CMO,2006
California Montessori Project - Elk Grove Campus,Elk Grove Unified School District,Elk Grove,CA,CMO,2006
California Montessori Project - San Juan Campus (Carmichael & American River),San Juan Unified School District,Carmichael,CA,CMO,2006
California Montessori Project - Shingle Springs Campus,Buckeye Union School District,Shingle Springs,CA,CMO,2006
California Pacific Charter School of Central California,Corcoran Joint Unified,Newport Beach,CA,Independent,2009
California Pacific Charter School of Kern,Semitropic Elementary,,CA,Independent,2011
California Pacific Charter School of San Diego,Mountain Empire Unified,Newport Beach,CA,Independent,2009
California Virtual Academy @ Fresno,Orange Center,,CA,EMO,2012
California Virtual Academy @ Jamestown,Jamestown Elementary School District,,CA,EMO,2002
California Virtual Academy @ Kings,Armona Union Elementary School District,,CA,EMO,2006
California Virtual Academy @ Los Angeles,West Covina Unified School District,,CA,EMO,2006
California Virtual Academy @ Los Angeles High,West Covina Unified School District,,CA,CMO,2011
California Virtual Academy @ Maricopa,Maricopa Unified School District,,CA,EMO,2012
California Virtual Academy @ San Diego,Spencer Valley Elementary School District,,CA,EMO,2002
California Virtual Academy @ San Joaquin,New Jerusalem Elementary School District,,CA,EMO,2012
California Virtual Academy @ San Mateo,Jefferson Elementary School District,,CA,EMO,2006
California Virtual Academy @ Santa Ysabel,Spencer Valley Elementary School District,,CA,CMO,2011
California Virtual Academy @ Sonoma,Liberty School District,,CA,EMO,2004
California Virtual Academy @ Sutter,Nuestro Elementary School District,,CA,EMO,2006
California Virtual Academy High School @ Maricopa,Maricopa Unified School District,,CA,CMO,2012
Calvert Charter For Enriched Studies,Los Angeles Unified,Woodland Hills,CA,Independent,2013
Camarillo Academy of Progressive Education,Oxnard Union High School District,Camarillo,CA,Independent,2007
Camino Nuevo Academy #2,Los Angeles Unified School District,Los Angeles,CA,CMO,2010
Camino Nuevo Charter Academy,Los Angeles Unified School District,Los Angeles,CA,CMO,2000
Camino Nuevo Charter Academy #4,Los Angeles Unified School District,Los Angeles,CA,CMO,2011
Camino Nuevo Charter High,Los Angeles Unified School District,Los Angeles,CA,CMO,2004
Camino Nuevo Elementary 3,Los Angeles Unified School District,Los Angeles,CA,CMO,2010
Camino Nuevo High No. 2,Los Angeles Unified,Los Angeles,CA,CMO,2013
Camino Science and Natural Resources Charter,Camino Union Elementary,Camino,CA,Independent,2011
Camptonville Academy,Camptonville School District,Marysville,CA,CMO,1999
Canyon Elementary,Los Angeles Unified School District,Santa Monica,CA,CMO,1993
Capistrano Connections Academy,Capistrano Unified School District,,CA,EMO,2004
Capitol Collegiate Academy,Sacramento City Unified School District,Sacramento,CA,Independent,2011
Capri Elementary,Campbell Union School District,Campbell,CA,Independent,2006
Career Academy at Piner-Olivet,Piner-Olivet Union School District,Santa Rosa,CA,Independent,2004
Carpenter Community Charter,Los Angeles Unified School District,Studio City,CA,Independent,2010
Carter G. Woodson Public Charter,Fresno Unified School District,Fresno,CA,CMO,2001
Castlebay Lane Charter,Los Angeles Unified School District,Northridge,CA,Independent,2012
Castlemont Elementary,Campbell Union School District,Campbell,CA,Independent,2006
Cecil Avenue Math and Science Academy,Delano Union Elementary,Delano,CA,Independent,2010
Celerity Cardinal Charter,Los Angeles Unified School District,Sun Valley,CA,CMO,2011
Celerity Dyad Charter,Los Angeles Unified School District,Los Angeles,CA,CMO,2007
Celerity Exa Charter,Pasadena Unified School District,Pasadena,CA,Independent,2012
Celerity Nascent Charter,Los Angeles Unified School District,Los Angeles,CA,CMO,2005
Celerity Octavia Charter,Los Angeles Unified School District,Los Angeles,CA,CMO,2010
Celerity Palmati Charter,Los Angeles Unified School District,North Hollywood,CA,CMO,2011
Celerity Sirius Charter,Los Angeles County Office Of Education,Los Angeles,CA,CMO,2011
Celerity Troika Charter,Los Angeles Unified School District,Los Angeles,CA,CMO,2007
Center For Learning and Educational Success,San Bernardino City Unified,San Bernardino,CA,Independent,2013
Center for Advanced Learning,Los Angeles Unified School District,Los Angeles,CA,Independent,2007
Central California Connections,Alpaugh Unified School District,,CA,EMO,2006
Central City Value,Los Angeles Unified School District,Los Angeles,CA,CMO,2003
Central Coast Classical Academy,Blochman Union Elementary School District,Santa Maria,CA,Independent,2011
Century Academy for Excellence,Lennox School District,Inglewood,CA,Independent,2006
Century Community Charter,Lennox School District,Inglewood,CA,Independent,2004
Cesar Chavez Language Academy,Santa Rosa Elementary,Santa Rosa,CA,Independent,2013
Chandler Learning Academy,Los Angeles Unified,Sherman Oaks,CA,Independent,2013
Charter Alternative Program (CAP),El Dorado County Office Of Education,El Dorado,CA,Independent,2010
Charter Alternatives Academy,Visalia Unified School District,Visalia,CA,Independent,1999
Charter Community School & Extended Day Program,El Dorado County Office Of Education,Placerville,CA,Independent,1993
Charter School of Morgan Hill,Morgan Hill Unified School District,Morgan Hill,CA,Independent,2001
Charter Transitional Reporting Educational Center,El Dorado County Office Of Education,Placerville,CA,Independent,2002
Chatsworth Charter High,Los Angeles Unified,Chatsworth,CA,Independent,2013
Chicago Park Community Charter,Chicago Park Elementary,Grass Valley,CA,Independent,2011
Chico Country Day,Chico Unified School District,Chico,CA,Independent,1999
Children of Promise Preparatory Academy,Inglewood Unified School District,Inglewood,CA,Independent,2010
Children's Community Charter,Paradise Unified School District,Paradise,CA,Independent,1995
Chime Charter School,Los Angeles Unified School District,Woodland Hills,CA,Independent,2001
Chrysalis Charter,Shasta County Office Of Education,Palo Cedro,CA,Independent,2006
Chula Vista Learning Community,Chula Vista Elementary School District,Chula Vista,CA,Independent,1998
Cielo Vista Charter,Palm Springs Unified,Palm Springs,CA,Independent,2010
Cinnabar Charter,Cinnabar Elementary,Petaluma,CA,Independent,2011
Citizens of The World 2,Los Angeles Unified School District,,CA,CMO,2012
Citizens of The World Charter,Los Angeles Unified School District,Los Angeles,CA,CMO,2010
Citizens of the World 3,Los Angeles Unified,,CA,CMO,2013
City Arts and Tech High,San Francisco Unified School District,San Francisco,CA,CMO,2004
City Charter Elementary,Los Angeles Unified,Los Angeles,CA,CMO,2013
City Charter Middle,Los Angeles Unified School District,Los Angeles,CA,CMO,2012
City Heights Preparatory Charter,San Diego Unified School District,San Diego,CA,Independent,2012
CiviCorps Academy,Oakland Unified School District,Oakland,CA,Independent,2007
CiviCorps Elementary School,Oakland Unified School District,Oakland,CA,CMO,2001
Clayton Valley Charter High,Contra Costa County Office Of Education,Concord,CA,Independent,2012
Clemente Charter,Los Angeles Unified,Maywood,CA,CMO,2014
Coastal Grove Charter,Arcata School District,Arcata,CA,Independent,2002
Coleman Tech Charter High,San Diego Unified School District,San Diego,CA,Independent,2010
Colfax Charter Elementary,Los Angeles Unified School District,North Hollywood,CA,Independent,2008
College Bridge Academy,Inyo County Office of Education,Los Angeles,CA,CMO,2013
College Prep High,Hemet Unified,Hemet,CA,Independent,2013
College Preparatory Middle,Mountain Empire Unified,San Diego,CA,Independent,2010
College Ready Middle Academy #7,Los Angeles Unified School District,Los Angeles,CA,CMO,2010
Come Back Kids,Riverside County Office of Education,Riverside,CA,Independent,2013
Community Charter Early College High,Los Angeles Unified School District,Lake View View,CA,CMO,2005
Community Charter Middle,Los Angeles Unified School District,Lake View View,CA,CMO,1999
Community Magnet Charter Elementary,Los Angeles Unified School District,Los Angeles,CA,Independent,2005
Community Montessori Charter,Dehesa School District,,CA,CMO,2012
Community Outreach Academy,Twin Rivers Unified School District,McClellan,CA,CMO,2003
Community Preparatory Academy,Los Angeles Unified,Los Angeles,CA,Independent,2014
Community Roots Academy,Capistrano Unified School District,,CA,Independent,2011
Community School for Creative Education,Alameda County Office Of Education,Oakland,CA,Independent,2011
Competitive Edge Charter Academy (CECA),Yucaipa-Calimesa Joint Unified School District,Yucaipa,CA,Independent,2011
Connect Community Charter,Redwood City Elementary,Redwood City,CA,Independent,2013
Connections Visual and Performing Arts Academy,Summerville Union High School District,Tuolumne,CA,Independent,2002
Conservation Corps of Long Beach Gateway Cities Charter,,Long Beach,CA,Independent,2014
Conservatory of Vocal/Instrumental Arts,Oakland Unified School District,Oakland,CA,Independent,2007
Cornerstone Academy Preparatory,Franklin-Mckinley School District,San Jose,CA,CMO,2010
Coronado Pathways Charter,Coronado Unified,Coronado,CA,Independent,2013
Cottonwood Creek Charter,Cottonwood Union Elementary,Cottonwood,CA,Independent,2010
County Collaborative Charter,Mountain Empire Unified,San Diego,CA,Independent,2014
Cox Academy,Alameda County Office Of Education,Oakland,CA,CMO,2004
Creative Arts Charter,San Francisco Unified School District,San Francisco,CA,Independent,1994
Creative Connections Arts Academy,Rio Linda Union Elementary School District,North Highlands,CA,Independent,2005
Credo High,Cotati-Rohnert Park Unified,Rohnert Park,CA,Independent,2011
Crenshaw Arts/Tech Charter High,Los Angeles Unified School District,Los Angeles,CA,Independent,2003
Crescent Valley Public Charter,Stone Corral Elementary,,CA,EMO,2010
Crescent View South Charter,Westside Elementary,,CA,EMO,2009
Crescent View West Charter,Mendota Unified School District,,CA,EMO,2005
Crosswalk Charter School,Hesperia Unified School District,Hesperia,CA,Independent,2002
Crown Preparatory Academy,Los Angeles Unified School District,Los Angeles,CA,Independent,2010
Cypress Charter High,Live Oak School District,Santa Cruz,CA,Independent,2003
Da Vinci Charter Academy,Davis Joint Unified,Davis,CA,CMO,2009
Da Vinci Communications High,Wiseburn Unified,Hawthorne,CA,CMO,2014
Da Vinci Design,Wiseburn Elementary,Hawthorne,CA,CMO,2009
Da Vinci Innovation Academy,Wiseburn Elementary,Hawthorne,CA,CMO,2013
Da Vinci Science,Wiseburn Elementary,Hawthorne,CA,CMO,2009
Darby Avenue Charter,Los Angeles Unified,Northridge,CA,Independent,2013
Darnall Charter,San Diego Unified School District,San Diego,CA,Independent,1993
Dearborn Elementary Charter Academy,Los Angeles Unified School District,Northridge,CA,Independent,2012
Dehesa Charter,Dehesa School District,,CA,CMO,2002
Del Vista Math and Science Academy,Delano Union Elementary,Delano,CA,Independent,2011
Delta Charter,Santa Cruz City High School District,Aptos,CA,Independent,1995
Delta Charter Online,New Jerusalem Elementary,Tracy,CA,Independent,2014
Delta Elementary Charter,River Delta Unified School District,Clarksburg,CA,Independent,2007
Denair Academic Avenues,Denair Unified School District,Denair,CA,Independent,2010
Desert Trails Preparatory Academy,Adelanto Elementary,Adelanto,CA,Independent,2013
Design Tech High,San Mateo Union High,Millbrae,CA,Independent,2014
Diego Hills Charter,Dehesa School District,San Diego,CA,EMO,2009
Diego Springs Academy,Borrego Springs Unified,Chula Vista,CA,EMO,2014
Diego Valley Public,Julian Union School District,El Cajon,CA,EMO,2011
Discovery Charter,Tracy Unified School District,Tracy,CA,CMO,2001
Discovery Charter II,Santa Clara County Office of Education,San Jose,CA,CMO,2013
Discovery Charter Preparatory #2,Los Angeles Unified School District,Pacoima,CA,Independent,2007
Dixie Canyon Community Charter,Los Angeles Unified School District,Sherman Oaks,CA,Independent,2012
Dixon Montessori Charter,Dixon Unified School District,Dixon,CA,Independent,2005
Doris Topsy-Elvord Academy,Paramount Unified,Long Beach,CA,Independent,2008
