CDS,Name,AggLevel,DFC,Subgroup,Subgrouptype,NumCohort,NumGraduates,Cohort Graduation Rate,NumDropouts,Cohort Dropout Rate,NumSpecialEducation,Special Ed Completers Rate,NumStillEnrolled,Still Enrolled Rate,NumGED,GED Rate,Year
3.87E+13,"Asawa (Ruth) San Francisco School of the Arts, A Public School.",S,N,FEM,7,27,27,100,*,0,*,0,*,0,*,0,1314
3.87E+13,Marshall (Thurgood) High,S,N,FEM,6,*,*,100,*,0,*,0,*,0,*,0,1314
3.87E+13,Marshall (Thurgood) High,S,N,FEM,3,*,*,100,*,0,*,0,*,0,*,0,1314
3.87E+13,Leadership High,S,Y,FEM,9,*,*,100,*,0,*,0,*,0,*,0,1314
3.87E+13,Life Learning Academy Charter,S,N,FEM,7,*,*,100,*,0,*,0,*,0,*,0,1314
3.87E+13,Galileo High,S,N,FEM,2,195,184,94.36,*,3.6,*,1,*,1,*,0,1314
3.87E+13,Galileo High,S,N,FEM,0,*,*,100,*,0,*,0,*,0,*,0,1314
3.87E+13,Galileo High,S,N,FEM,4,*,*,100,*,0,*,0,*,0,*,0,1314
3.87E+13,Lincoln (Abraham) High,S,N,FEM,2,112,102,91.07,*,6.3,*,0.9,*,1.8,*,0,1314
3.87E+13,Lincoln (Abraham) High,S,N,FEM,0,*,*,100,*,0,*,0,*,0,*,0,1314
3.87E+13,Lincoln (Abraham) High,S,N,FEM,4,12,11,91.67,*,8.3,*,0,*,0,*,0,1314
3.87E+13,Lincoln (Abraham) High,S,N,FEM,9,*,*,100,*,0,*,0,*,0,*,0,1314
3.87E+13,Lowell High,S,N,FEM,5,28,27,96.43,*,0,*,0,*,3.6,*,0,1314
3.87E+13,Mission High,S,N,FEM,6,13,*,76.92,*,15.4,*,0,*,7.7,*,0,1314
3.87E+13,O'Connell (John) High,S,N,FEM,5,39,33,84.62,*,10.3,*,2.6,*,2.6,*,0,1314
3.87E+13,O'Connell (John) High,S,N,FEM,7,*,*,100,*,0,*,0,*,0,*,0,1314
3.87E+13,Washington (George) High,S,N,FEM,0,*,*,66.67,*,33.3,*,0,*,0,*,0,1314
3.87E+13,Washington (George) High,S,N,FEM,4,*,*,100,*,0,*,0,*,0,*,0,1314
3.87E+13,Washington (George) High,S,N,FEM,9,*,*,0,*,100,*,0,*,0,*,0,1314
