CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3751-3752,3801-3802,3901-3902,4100,4200,4300,4400,4700,5100,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7281-7299,7438,7439,7630-7699,8011,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,8096,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9730,9740,9770,"9775, 9780",9790,9791,"9793, 9795",LocalRevAO,StateRevAO,StateRevSE
01612590111823,312833.0,0.0,161459.0,0.0,2000.0,0.0,28333.0,0.0,15371.0,38292.0,0.0,10951.0,46370.0,8034.0,14905.0,0.0,0.0,0.0,1290.0,8253.0,12566.0,17094.0,18091.0,60749.0,0.0,0.0,3278.0,7144.0,19196.0,127740.0,220963.0,14259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580362.0,-17516.0,0.0,0.0,0.0,0.0,0.0,196230.0,33909.0,16111.0,0.0,43667.0,0.0,0.0,0.0,0.0,20577.0,0.0,0.0,0.0,0.0,317110.0,0.0,0.0,1038.0,8058.0,0.0,259000.0,0.0,0.0,0.0,0.0,0.0,0.0,1038.0,0.0,0.0,0.0,0.0,0.0,86745.0,138263.0,-687.0,21894.0,224721.0,0.0
01612590111856,385188.17,0.0,0.0,0.0,0.0,0.0,75000.0,46460.04,68583.39,0.0,16038.34,44672.92,29046.13,8216.9,15070.48,0.0,0.0,0.0,3740.1,18271.87,5836.02,0.0,0.0,0.0,0.0,5860.02,2098.43,11389.0,258058.16,281368.23,55191.87,2167.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662090.0,-15322.0,0.0,0.0,0.0,0.0,0.0,220872.0,92244.0,0.0,0.0,68554.0,0.0,0.0,0.0,0.0,245704.58,0.0,0.0,0.0,0.0,122557.26,348135.44,0.0,0.0,14500.0,331070.6,62861.7,0.0,0.0,0.0,137808.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861297.88,912223.39,-121736.39,65000.0,309630.92,0.0
01612590114363,382908.41,0.0,0.0,0.0,0.0,0.0,61137.5,29133.47,43333.32,0.0,13526.94,41474.65,28039.34,6812.04,12849.07,0.0,0.0,0.0,3652.52,19128.63,5950.09,0.0,0.0,0.0,0.0,5327.63,815.0,12880.33,355141.93,323043.7,58685.72,6052.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637417.0,-25773.0,0.0,0.0,0.0,0.0,0.0,270439.0,117744.0,0.0,0.0,77392.0,0.0,0.0,0.0,0.0,267435.42,0.0,0.0,0.0,0.0,83401.02,191239.76,0.0,0.0,14000.0,378042.2,155757.68,0.0,101055.53,0.0,1537.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675767.26,646014.37,-3258.37,65058.15,300626.43,0.0
01612590114454,533068.0,0.0,0.0,0.0,0.0,6000.0,86121.0,24565.0,0.0,41924.0,0.0,17471.0,0.0,9017.0,10054.0,0.0,0.0,0.0,0.0,856.0,25326.0,70761.0,0.0,544.0,99163.0,825.0,1550.0,0.0,0.0,200572.0,329744.0,2236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813585.0,-25462.0,0.0,0.0,0.0,0.0,0.0,345581.0,0.0,0.0,33355.0,115827.0,0.0,0.0,0.0,0.0,390240.0,0.0,0.0,0.0,0.0,336858.0,0.0,0.0,31554.0,78034.0,0.0,115247.0,0.0,178034.0,0.0,0.0,0.0,0.0,31554.0,0.0,0.0,81558.0,0.0,78034.0,352259.0,120483.95,31524.05,93979.0,474329.0,0.0
01612590114868,267476.42,0.0,0.0,42400.0,0.0,141937.58,0.0,0.0,0.0,0.0,0.0,34003.28,8313.99,6509.97,2287.62,0.0,0.0,0.0,0.0,3323.5,0.0,15667.84,5195.61,638.47,0.0,5624.76,4705.0,1974.5,62519.58,237373.54,199217.64,2813.57,0.0,0.0,0.0,0.0,0.0,89896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561537.0,0.0,0.0,0.0,0.0,0.0,0.0,173887.0,23333.0,0.0,0.0,55164.0,0.0,0.0,0.0,0.0,302337.58,0.0,0.0,0.0,0.0,40785.0,0.0,0.0,14000.0,0.0,153374.0,203641.09,0.0,307192.0,0.0,0.0,0.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,-14336.51,38981.78,-57414.78,150455.0,185599.36,0.0
01612590115014,783142.0,0.0,195668.0,19197.0,0.0,0.0,64500.0,32404.0,3875.0,0.0,0.0,86282.0,106149.0,10584.0,19704.0,0.0,0.0,0.0,42770.0,40001.0,8906.0,81395.0,11439.0,89465.0,0.0,12003.0,0.0,16346.0,84774.0,98985.0,175927.0,4584.0,0.0,0.0,0.0,0.0,0.0,18887.0,0.0,0.0,0.0,164365.0,0.0,0.0,0.0,0.0,0.0,920284.0,-39683.0,0.0,0.0,0.0,0.0,0.0,394993.0,62023.0,0.0,70283.0,82218.0,0.0,0.0,0.0,0.0,318312.06,0.0,0.0,0.0,0.0,8545.16,190522.69,0.0,22152.38,0.0,0.0,17948.29,0.0,450000.0,0.0,0.0,0.0,0.0,22152.38,0.0,0.0,0.0,48625.62,0.0,806.0,43926.0,7608.0,347362.0,353922.0,0.0
01612590115238,347361.0,46886.0,345945.0,37786.0,11506.0,13125.0,93333.0,44359.0,550.0,21613.0,0.0,37719.0,88957.0,10711.0,11158.0,0.0,0.0,0.0,0.0,6618.0,8098.0,36756.0,165443.0,-6746.0,470.0,3635.0,6995.0,8651.0,424.0,299564.0,246419.0,15393.0,0.0,0.0,0.0,0.0,0.0,168.0,125728.0,13947.0,853472.0,0.0,0.0,27098.0,0.0,0.0,0.0,909387.0,-30228.0,0.0,0.0,0.0,0.0,0.0,308208.0,198481.0,0.0,0.0,1202676.0,0.0,0.0,0.0,0.0,43319.0,0.0,0.0,0.0,0.0,458103.0,0.0,0.0,0.0,49465.0,4919.0,323733.0,0.0,230000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2073.0,0.0,0.0,-364907.99,-1.01,71712.0,629888.0,0.0
01612590115386,210738.93,34423.55,54516.77,0.0,10149.55,42002.18,70016.96,41338.89,0.0,0.0,0.0,33686.63,40884.84,2951.13,7553.81,0.0,0.0,0.0,8629.1,0.0,2170.93,4908.14,0.0,9270.46,7948.93,4941.9,8815.13,3241.6,50473.11,128537.15,23600.0,21362.15,0.0,0.0,0.0,0.0,0.0,12641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385687.0,-11508.0,0.0,0.0,0.0,0.0,0.0,131336.0,21029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35336.0,0.0,0.0,0.0,0.0,45812.0,0.0,0.0,0.0,0.0,35001.0,15736.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100412.2,163231.0,-65216.0,116247.07,194408.97,0.0
01612590116137,92850.0,0.0,14000.0,0.0,19886.5,8000.0,34500.0,24000.0,31300.0,0.0,0.0,12802.76,3109.06,2308.02,5053.38,0.0,0.0,0.0,0.0,2422.24,15.36,7416.14,0.0,0.0,0.0,0.0,207.75,0.0,29200.61,129420.5,82993.7,1324.11,0.0,0.0,0.0,0.0,0.0,9137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236595.0,-8421.0,0.0,0.0,0.0,0.0,0.0,81985.0,13774.0,0.0,0.0,23783.0,0.0,0.0,0.0,0.0,110225.79,0.0,0.0,0.0,0.0,0.0,31720.99,0.0,0.0,1500.0,113727.0,0.0,0.0,52634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204539.78,291278.89,-44697.89,226.35,119963.56,0.0
01612590118224,952714.0,67212.0,104276.0,0.0,77565.0,78179.0,0.0,137793.0,107468.0,76603.0,29110.0,42530.0,197649.0,6963.0,12911.0,0.0,0.0,0.0,9160.0,0.0,63790.0,91960.0,27705.0,97013.0,0.0,4020.0,10302.0,6955.0,29806.0,234014.0,114808.0,25982.0,0.0,0.0,0.0,0.0,0.0,83233.0,0.0,0.0,0.0,0.0,180298.0,3049.0,0.0,0.0,0.0,1256732.0,-37496.0,0.0,0.0,0.0,0.0,0.0,474765.0,73212.0,50897.0,83823.0,101613.0,0.0,0.0,0.0,0.0,-375043.0,0.0,0.0,0.0,0.0,860318.0,0.0,0.0,0.0,0.0,223332.0,423881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27979.0,0.0,0.0,256747.0,-39905.58,-7.42,518624.0,543018.0,132519.0
