CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3801-3802,3901-3902,4100,4200,4300,4400,4700,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7438,7439,7630-7699,8011,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9730,9740,9770,"9775, 9780",9790,9791,"9793, 9795",LocalRevAO,StateRevAO,StateRevSE
61259016115711,86302.6,0.0,0.0,0.0,11381.0,10868.75,62632.74,39706.19,0.0,0.0,0.0,16305.44,11637.0,3340.0,10967.69,0.0,0.0,0.0,742.0,3847.0,11011.0,280.0,1055.0,91.0,257.0,12827.0,10388.07,61804.0,45218.27,4902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94604.59,0.0,0.0,0.0,0.0,0.0,0.0,18096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52242.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12450.47,5046.02,5114.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64624.15,99280.58,16910.76,154744.2,19022.7,0.0
61259016117394,817455.18,3503.75,124385.21,0.0,27628.77,12843.37,11750.01,38359.76,210351.95,70011.04,0.0,42626.77,132880.45,18488.65,53316.64,0.0,0.0,579.5,0.0,43040.3,24584.11,4283.93,13989.64,823.75,1625.99,11782.56,21373.09,113287.55,421779.21,13388.25,0.0,0.0,0.0,0.0,0.0,3502.35,0.0,0.0,0.0,0.0,4674.67,0.0,0.0,0.0,996198.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171039.0,0.0,0.0,0.0,0.0,470033.84,0.0,0.0,0.0,0.0,98480.21,0.0,0.0,13593.75,0.0,11614.41,154470.46,0.0,0.0,0.0,166666.67,0.0,0.0,13593.75,0.0,0.0,0.0,0.0,0.0,258991.33,231973.86,0.0,97006.66,384553.26,0.0
61259016117402,523552.5,1744.52,141073.42,0.0,13762.5,6618.75,0.0,55657.5,0.0,51493.68,4597.82,16783.07,80381.07,10805.32,28039.0,0.0,0.0,5436.0,11151.66,9154.01,24078.82,5536.12,8943.91,7305.05,2023.0,5767.6,37705.6,73026.44,297897.05,6340.9,0.0,0.0,0.0,0.0,0.0,11756.57,0.0,0.0,0.0,0.0,4736.0,0.0,0.0,0.0,637661.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135161.0,0.0,0.0,0.0,0.0,756422.76,0.0,0.0,0.0,0.0,84820.43,0.0,0.0,8112.76,0.0,40702.43,109396.39,0.0,0.0,0.0,200000.0,0.0,0.0,8112.76,0.0,0.0,0.0,0.0,0.0,572549.23,440503.96,0.0,165590.56,222204.75,0.0
61259016117568,1284022.47,53811.04,191507.25,0.0,42604.96,0.0,0.0,119949.78,104968.74,117417.26,22910.94,44095.78,156757.06,25286.87,61024.43,0.0,0.0,15739.66,0.0,64579.59,113299.8,29969.97,37853.81,24232.7,625.7,20215.21,48518.64,340460.09,335767.95,13146.0,0.0,0.0,0.0,0.0,0.0,122915.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1757364.0,6075.0,0.0,0.0,0.0,0.0,0.0,119576.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423938.72,0.0,0.0,0.0,0.0,489714.44,0.0,0.0,26539.43,25000.0,561697.04,399431.92,0.0,0.0,387532.54,0.0,0.0,0.0,26539.43,0.0,0.0,0.0,0.0,0.0,713385.74,786008.31,-137810.31,363019.6,578763.35,0.0
61259016117972,162381.07,0.0,56653.46,49487.17,24073.81,8806.0,0.0,19037.17,0.0,26527.99,0.0,23628.9,17771.04,4169.8,13680.14,0.0,0.0,0.0,850.42,290.56,10026.63,50.98,15710.14,3916.08,500.0,14371.69,10789.14,59247.17,25297.41,1451.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17691.98,0.0,0.0,0.0,0.0,177658.19,0.0,0.0,0.0,0.0,0.0,0.0,15886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198396.78,0.0,0.0,0.0,0.0,29874.33,0.0,0.0,817.0,49402.55,0.0,87552.36,0.0,0.0,0.0,14000.0,0.0,0.0,817.0,0.0,0.0,0.0,0.0,0.0,176121.3,151244.19,35022.27,195850.83,44157.14,0.0
61259016119911,223489.0,0.0,77673.0,8758.0,32645.0,3972.0,58312.0,65570.0,20009.0,0.0,0.0,7394.0,45328.0,8506.0,24129.0,0.0,0.0,0.0,0.0,33757.0,22769.0,0.0,5627.0,5513.0,1890.0,5607.0,48419.0,113875.0,26395.0,4642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49706.0,98500.0,0.0,3117.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,6589.0,177337.0,194912.0,102965.0,0.0,98500.0,63953.0,116282.0,0.0,0.0,6589.0,0.0,0.0,0.0,0.0,0.0,-3334.0,102069.0,-87491.0,128088.0,0.0,0.0
61424046113773,621459.6,0.0,900.0,900.0,26823.14,42192.83,27500.0,26971.76,72016.29,47083.47,14311.46,24255.41,87648.51,13187.89,20802.51,0.0,0.0,22940.14,0.0,2284.82,26627.37,4296.3,15299.37,9517.53,2784.0,4693.93,29373.26,167703.24,311738.36,8183.58,0.0,0.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261552.94,0.0,0.0,0.0,0.0,62063.29,0.0,0.0,29691.21,0.0,826.48,284459.07,0.0,0.0,0.0,0.0,0.0,0.0,29691.21,0.0,0.0,0.0,0.0,0.0,39983.64,0.0,12782.0,214931.6,197861.02,0.0
61705076118160,1400765.0,0.0,0.0,0.0,8400.0,0.0,0.0,55728.0,0.0,0.0,0.0,108509.0,0.0,0.0,21109.0,0.0,0.0,0.0,269832.0,0.0,10400.0,0.0,0.0,3130.0,930.0,7373.0,89820.0,598834.0,550609.0,38152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2517073.0,-25592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277065.0,0.0,0.0,0.0,0.0,0.0,281125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4060.0,134470.82,-400253.82,56378.0,97640.0,0.0
61796070101477,697860.0,0.0,198619.0,0.0,19241.0,0.0,0.0,115219.0,6681.0,54444.0,0.0,14506.0,77226.0,6499.0,46887.0,0.0,0.0,10988.0,81522.0,9064.0,41573.0,57154.0,69272.0,17525.0,2277.0,5091.0,27016.0,72762.0,131773.0,13560.0,0.0,0.0,0.0,0.0,0.0,30950.0,0.0,0.0,0.0,116745.0,16549.0,0.0,0.0,272851.0,1243683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21476.0,108367.0,0.0,0.0,0.0,0.0,24564.0,0.0,0.0,0.0,0.0,198676.0,153304.0,0.0,10583.0,0.0,333022.0,121538.0,0.0,171875.0,0.0,0.0,0.0,0.0,10583.0,0.0,0.0,0.0,0.0,0.0,416153.0,489430.0,-401779.0,710304.0,0.0,0.0
61796076118368,227417.9,5161.5,0.0,0.0,0.0,0.0,0.0,99728.11,0.0,18730.03,9852.09,13672.4,26050.13,0.0,20061.69,0.0,0.0,0.0,5336.23,493.93,8020.41,1116.21,0.0,4801.04,474.0,550.0,8457.84,67666.0,21259.58,3882.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316325.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16702.0,0.0,0.0,0.0,192558.31,0.0,0.0,0.0,0.0,0.0,24844.16,0.0,0.0,6824.98,34065.62,20162.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238130.57,207273.35,97.5,0.0,193978.17,0.0
