School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,School Level Code [Public School] 2012-13,School Level Code [Public School] 2011-12,School Level Code [Public School] 2010-11,Lowest Grade Offered [Public School] 2012-13,Lowest Grade Offered [Public School] 2011-12,Lowest Grade Offered [Public School] 2010-11,Highest Grade Offered [Public School] 2012-13,Highest Grade Offered [Public School] 2011-12,Highest Grade Offered [Public School] 2010-11,Prekindergarten offered [Public School] 2012-13,Prekindergarten offered [Public School] 2011-12,Prekindergarten offered [Public School] 2010-11,Kindergarten offered [Public School] 2012-13,Kindergarten offered [Public School] 2011-12,Kindergarten offered [Public School] 2010-11,Total Students All Grades (Excludes AE) [Public School] 2012-13,Total Students All Grades (Excludes AE) [Public School] 2011-12,Total Students All Grades (Excludes AE) [Public School] 2010-11,Free Lunch Eligible [Public School] 2012-13,Free Lunch Eligible [Public School] 2011-12,Free Lunch Eligible [Public School] 2010-11,Reduced-price Lunch Eligible Students [Public School] 2012-13,Reduced-price Lunch Eligible Students [Public School] 2011-12,Reduced-price Lunch Eligible Students [Public School] 2010-11,Free and Reduced Lunch Students [Public School] 2012-13,Free and Reduced Lunch Students [Public School] 2011-12,Free and Reduced Lunch Students [Public School] 2010-11,Prekindergarten and Kindergarten Students [Public School] 2012-13,Prekindergarten and Kindergarten Students [Public School] 2011-12,Prekindergarten and Kindergarten Students [Public School] 2010-11,Grades 1-8 Students [Public School] 2012-13,Grades 1-8 Students [Public School] 2011-12,Grades 1-8 Students [Public School] 2010-11,Grades 9-12 Students [Public School] 2012-13,Grades 9-12 Students [Public School] 2011-12,Grades 9-12 Students [Public School] 2010-11,Prekindergarten Students [Public School] 2012-13,Prekindergarten Students [Public School] 2011-12,Prekindergarten Students [Public School] 2010-11,Kindergarten Students [Public School] 2012-13,Kindergarten Students [Public School] 2011-12,Kindergarten Students [Public School] 2010-11,Male Students [Public School] 2012-13,Male Students [Public School] 2011-12,Male Students [Public School] 2010-11,Female Students [Public School] 2012-13,Female Students [Public School] 2011-12,Female Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2012-13,American Indian/Alaska Native Students [Public School] 2011-12,American Indian/Alaska Native Students [Public School] 2010-11,Asian or Asian/Pacific Islander Students [Public School] 2012-13,Asian or Asian/Pacific Islander Students [Public School] 2011-12,Asian or Asian/Pacific Islander Students [Public School] 2010-11,Hispanic Students [Public School] 2012-13,Hispanic Students [Public School] 2011-12,Hispanic Students [Public School] 2010-11,Black Students [Public School] 2012-13,Black Students [Public School] 2011-12,Black Students [Public School] 2010-11,White Students [Public School] 2012-13,White Students [Public School] 2011-12,White Students [Public School] 2010-11,Hawaiian Nat./Pacific Isl. Students [Public School] 2012-13,Hawaiian Nat./Pacific Isl. Students [Public School] 2011-12,Hawaiian Nat./Pacific Isl. Students [Public School] 2010-11,Two or More Races Students [Public School] 2012-13,Two or More Races Students [Public School] 2011-12,Two or More Races Students [Public School] 2010-11,Total Race/Ethnicity [Public School] 2012-13,Total Race/Ethnicity [Public School] 2011-12,Total Race/Ethnicity [Public School] 2010-11
LONGFELLOW ELEMENTARY,California,060962000989,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,573,530,556,351,†,405,38,†,67,389,†,472,99,65,76,474,465,480,–,†,†,†,†,†,99,65,76,307,276,284,266,254,272,0,0,0,0,0,0,400,366,394,146,101,90,9,8,3,16,6,10,2,49,59,573,530,556
LONGFELLOW K-8,California,063432005505,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,788,750,739,268,–,263,139,–,132,407,372,395,143,144,146,645,606,593,–,†,†,†,†,†,143,144,146,338,328,311,450,422,428,4,4,3,11,10,10,404,366,330,130,135,142,198,196,212,2,3,2,39,36,40,788,750,739
LONGLEY WAY ELEMENTARY,California,060297000233,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,501,500,486,88,–,76,42,–,37,130,247,113,88,80,77,413,420,409,–,†,†,†,†,†,88,80,77,258,268,270,243,232,216,2,0,1,348,356,349,65,68,54,11,4,2,74,70,70,0,0,1,1,2,9,501,500,486
LONGWOOD ELEMENTARY,California,061674002120,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,660,649,666,533,–,374,52,–,42,585,–,416,87,105,95,573,544,571,–,†,†,†,†,†,87,105,95,380,365,363,280,284,303,4,4,1,40,35,40,529,517,528,48,45,48,26,32,30,8,9,12,5,7,7,660,649,666
LOOMIS BASIN CHARTER,California,062256012246,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,8th Grade,8th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,397,353,310,8,–,2,0,–,1,8,34,3,40,40,40,357,313,270,–,†,†,†,†,†,40,40,40,213,181,150,184,172,160,0,1,1,31,28,23,32,31,29,2,4,3,311,277,245,0,0,0,21,12,9,397,353,310
LOOMIS ELEMENTARY,California,062256002772,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,455,481,477,84,–,85,32,–,51,116,190,136,29,53,50,426,428,427,–,†,†,†,†,†,29,53,50,237,262,265,218,219,212,6,8,5,12,19,17,38,34,40,10,10,11,383,403,395,0,0,1,6,7,8,455,481,477
LOPEZ CONTINUATION HIGH,California,062308003523,3-High,3-High,3-High,9th Grade,9th Grade,10th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,163,143,164,88,140,96,15,–,13,103,140,109,†,†,†,†,†,†,163,143,164,†,†,†,†,†,†,99,82,99,64,61,65,2,2,1,1,1,3,74,62,70,2,1,1,81,75,87,0,0,0,3,2,2,163,143,164
LOPEZ ELEMENTARY,California,063132011671,1-Primary,1-Primary,2-Middle,Prekindergarten,Prekindergarten,4th Grade,6th Grade,6th Grade,6th Grade,1-Yes,1-Yes,2-No,1-Yes,1-Yes,2-No,701,685,264,628,–,242,44,–,15,672,194,257,107,111,†,589,572,264,–,†,†,–,–,†,107,111,†,340,325,138,356,360,126,1,1,1,6,4,3,675,666,255,4,7,3,9,7,2,0,0,0,1,0,0,696,685,264
LORBEER MIDDLE,California,063132004851,2-Middle,2-Middle,2-Middle,7th Grade,7th Grade,7th Grade,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,681,728,728,231,–,190,78,–,74,309,384,264,†,†,†,671,716,711,–,†,†,†,†,†,†,†,†,338,389,402,333,339,326,2,0,1,103,112,123,390,430,383,66,64,77,96,106,117,1,2,2,13,14,25,671,728,728
LOREN MILLER ELEMENTARY,California,062271003186,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,863,1068,1106,619,–,634,23,–,6,642,345,640,145,184,166,718,884,940,–,†,†,†,†,†,145,184,166,428,514,542,435,554,564,3,3,2,1,0,0,694,866,880,162,193,215,2,3,2,1,2,3,0,1,4,863,1068,1106
LORENA FALASCO ELEMENTARY,California,062274010962,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,890,897,860,693,–,324,74,–,83,767,527,407,124,124,123,766,773,737,–,†,†,†,†,†,124,124,123,449,443,422,441,454,438,3,3,5,6,8,11,771,765,720,16,18,15,81,88,91,3,6,9,10,9,9,890,897,860
LORENA STREET ELEMENTARY,California,062271003147,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,692,757,757,317,–,287,3,–,1,320,–,288,106,150,126,586,607,631,–,†,†,†,†,†,106,150,126,374,403,388,318,354,369,0,4,1,2,3,2,689,748,750,1,1,1,0,0,0,0,0,0,0,1,3,692,757,757
LORENZO MANOR ELEMENTARY,California,063471005855,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,678,646,654,440,442,361,56,0,31,496,442,392,139,102,112,539,544,542,–,†,†,†,†,†,139,102,112,329,311,331,349,335,323,6,6,5,74,61,64,468,453,451,71,64,69,39,40,48,11,11,10,9,11,7,678,646,654
LORETO STREET ELEMENTARY,California,062271003148,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,378,386,420,197,–,197,5,–,2,202,–,199,65,69,67,313,317,353,–,†,†,†,†,†,65,69,67,194,201,215,184,185,205,0,0,0,15,10,11,359,372,402,1,2,4,2,2,3,1,0,0,0,0,0,378,386,420
LORETTA LAMPTON ELEMENTARY,California,062769004174,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,638,634,611,439,–,379,70,–,70,509,362,449,92,101,119,546,533,492,–,†,†,†,†,†,92,101,119,331,318,311,307,316,300,1,1,2,35,40,42,533,522,494,13,12,16,40,43,42,2,4,5,14,12,10,638,634,611
LORIN A. EDEN ELEMENTARY,California,061674002121,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,7th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,487,498,516,224,–,227,42,–,51,266,–,278,65,68,71,422,430,445,–,†,†,†,†,†,65,68,71,256,272,290,231,226,226,2,3,4,178,182,200,172,188,186,78,76,74,18,22,23,24,23,26,15,4,3,487,498,516
LORIN GRISET ACADEMY,California,063531006001,3-High,3-High,3-High,9th Grade,9th Grade,10th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,340,351,331,254,–,204,18,–,25,272,130,229,†,†,†,†,†,†,340,351,331,†,†,†,†,†,†,204,185,182,136,166,149,0,2,0,0,2,1,333,347,327,1,0,0,5,0,3,1,0,0,0,0,0,340,351,331
LORNE STREET ELEMENTARY,California,062271003150,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,617,667,671,296,–,323,63,–,72,359,414,395,80,89,83,537,578,588,–,†,†,†,†,†,80,89,83,304,327,338,313,340,333,9,9,9,72,85,92,381,393,386,33,36,29,117,133,138,5,10,9,0,1,8,617,667,671
LOS ALAMITOS ELEMENTARY,California,063459005727,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,703,720,723,57,–,57,7,–,11,64,210,68,113,98,106,590,622,617,–,†,†,†,†,†,113,98,106,363,380,383,340,340,340,3,3,2,146,137,148,81,88,98,14,13,9,402,425,408,2,5,6,55,49,52,703,720,723
LOS ALAMITOS ELEMENTARY,California,062259007303,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,701,635,648,145,0,111,54,3,50,199,3,161,142,116,96,559,519,552,–,†,†,†,†,†,142,116,96,368,320,332,333,315,316,4,4,4,120,115,126,253,229,213,33,29,32,252,236,259,8,6,5,31,16,9,701,635,648
LOS ALAMITOS HIGH,California,062259007304,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,3203,3125,3245,272,–,201,99,–,58,371,1089,259,†,†,†,1,1,†,3202,3124,3245,†,†,†,†,†,†,1582,1563,1602,1621,1562,1643,13,13,14,422,434,461,619,574,560,114,95,109,1878,1901,1995,22,17,20,135,91,86,3203,3125,3245
