School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,School Level Code [Public School] 2012-13,School Level Code [Public School] 2011-12,School Level Code [Public School] 2010-11,Lowest Grade Offered [Public School] 2012-13,Lowest Grade Offered [Public School] 2011-12,Lowest Grade Offered [Public School] 2010-11,Highest Grade Offered [Public School] 2012-13,Highest Grade Offered [Public School] 2011-12,Highest Grade Offered [Public School] 2010-11,Prekindergarten offered [Public School] 2012-13,Prekindergarten offered [Public School] 2011-12,Prekindergarten offered [Public School] 2010-11,Kindergarten offered [Public School] 2012-13,Kindergarten offered [Public School] 2011-12,Kindergarten offered [Public School] 2010-11,Total Students All Grades (Excludes AE) [Public School] 2012-13,Total Students All Grades (Excludes AE) [Public School] 2011-12,Total Students All Grades (Excludes AE) [Public School] 2010-11,Free Lunch Eligible [Public School] 2012-13,Free Lunch Eligible [Public School] 2011-12,Free Lunch Eligible [Public School] 2010-11,Reduced-price Lunch Eligible Students [Public School] 2012-13,Reduced-price Lunch Eligible Students [Public School] 2011-12,Reduced-price Lunch Eligible Students [Public School] 2010-11,Free and Reduced Lunch Students [Public School] 2012-13,Free and Reduced Lunch Students [Public School] 2011-12,Free and Reduced Lunch Students [Public School] 2010-11,Prekindergarten and Kindergarten Students [Public School] 2012-13,Prekindergarten and Kindergarten Students [Public School] 2011-12,Prekindergarten and Kindergarten Students [Public School] 2010-11,Grades 1-8 Students [Public School] 2012-13,Grades 1-8 Students [Public School] 2011-12,Grades 1-8 Students [Public School] 2010-11,Grades 9-12 Students [Public School] 2012-13,Grades 9-12 Students [Public School] 2011-12,Grades 9-12 Students [Public School] 2010-11,Prekindergarten Students [Public School] 2012-13,Prekindergarten Students [Public School] 2011-12,Prekindergarten Students [Public School] 2010-11,Kindergarten Students [Public School] 2012-13,Kindergarten Students [Public School] 2011-12,Kindergarten Students [Public School] 2010-11,Male Students [Public School] 2012-13,Male Students [Public School] 2011-12,Male Students [Public School] 2010-11,Female Students [Public School] 2012-13,Female Students [Public School] 2011-12,Female Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2012-13,American Indian/Alaska Native Students [Public School] 2011-12,American Indian/Alaska Native Students [Public School] 2010-11,Asian or Asian/Pacific Islander Students [Public School] 2012-13,Asian or Asian/Pacific Islander Students [Public School] 2011-12,Asian or Asian/Pacific Islander Students [Public School] 2010-11,Hispanic Students [Public School] 2012-13,Hispanic Students [Public School] 2011-12,Hispanic Students [Public School] 2010-11,Black Students [Public School] 2012-13,Black Students [Public School] 2011-12,Black Students [Public School] 2010-11,White Students [Public School] 2012-13,White Students [Public School] 2011-12,White Students [Public School] 2010-11,Hawaiian Nat./Pacific Isl. Students [Public School] 2012-13,Hawaiian Nat./Pacific Isl. Students [Public School] 2011-12,Hawaiian Nat./Pacific Isl. Students [Public School] 2010-11,Two or More Races Students [Public School] 2012-13,Two or More Races Students [Public School] 2011-12,Two or More Races Students [Public School] 2010-11,Total Race/Ethnicity [Public School] 2012-13,Total Race/Ethnicity [Public School] 2011-12,Total Race/Ethnicity [Public School] 2010-11
ENTERPRISE SECONDARY,California,069101709021,4-Other,4-Other,3-High,6th Grade,6th Grade,7th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,62,60,90,59,†,78,0,†,4,59,†,82,†,†,†,12,11,24,50,49,66,†,†,†,†,†,†,55,52,73,7,8,17,0,1,1,0,0,0,55,51,77,2,4,4,4,3,5,0,0,0,1,1,3,62,60,90
ENVIRONMENTAL ACAD OF RESEARCH TECH AND EARTH SCIS,California,060964012393,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,533,538,535,91,†,112,23,†,25,114,†,137,88,89,88,445,449,447,–,†,†,†,†,†,88,89,88,283,284,294,250,254,241,0,0,0,77,74,61,135,148,169,3,5,5,290,284,275,3,3,4,25,24,21,533,538,535
ENVIRONMENTAL CHARTER HIGH,California,062121008718,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,537,484,487,337,†,300,74,†,81,411,†,381,†,†,†,†,†,†,537,484,487,†,†,†,†,†,†,253,230,232,284,254,255,0,0,0,33,29,29,406,368,366,61,62,60,16,23,28,2,2,2,19,0,2,537,484,487
ENVIRONMENTAL CHARTER MIDDLE,California,069107812673,2-Middle,2-Middle,2-Middle,6th Grade,6th Grade,6th Grade,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,323,212,100,249,209,66,29,–,18,278,209,84,†,†,†,323,212,100,–,†,†,†,†,†,†,†,†,153,100,56,170,112,44,3,2,0,8,6,2,211,149,54,79,45,6,15,8,3,1,1,0,6,1,35,323,212,100
ENVIRONMENTAL CHARTER MIDDLE - INGLEWOOD,California,069107813591,†,†,†,†,†,†,†,†,†,2-No,†,†,2-No,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ENVISION ACADEMY FOR ARTS & TECHNOLOGY,California,069105110947,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,331,333,297,224,–,90,23,–,26,247,–,116,†,†,†,†,†,†,331,333,297,†,†,†,†,†,†,135,142,134,196,191,163,4,12,4,6,9,7,124,110,77,156,173,190,16,17,12,3,2,1,22,10,6,331,333,297
EPIPHANY PREP CHARTER,California,063432013053,1-Primary,†,†,Kindergarten,†,†,6th Grade,†,†,2-No,†,†,1-Yes,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,†,†,†,–,†,†,†,†,†,†,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†
EQUITAS ACADEMY CHARTER,California,062271012479,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,2nd Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,454,240,166,393,–,145,40,–,15,433,235,160,144,66,30,310,174,136,–,†,†,†,†,†,144,66,30,228,107,75,226,133,91,1,0,0,11,0,0,430,0,2,11,0,0,0,0,0,1,0,0,0,240,164,454,240,166
EQUITAS ACADEMY CHARTER #2,California,062271013145,2-Middle,†,†,5th Grade,†,†,8th Grade,†,†,2-No,†,†,2-No,†,†,–,†,†,–,†,†,–,†,†,–,†,†,†,†,†,–,†,†,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†
ERIC WHITE ELEMENTARY,California,063627006182,1-Primary,1-Primary,1-Primary,2nd Grade,2nd Grade,2nd Grade,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,2-No,2-No,2-No,530,489,486,463,†,424,28,†,24,491,†,448,34,†,†,496,489,486,–,†,†,†,†,†,34,†,†,271,246,232,259,243,254,0,0,2,18,17,12,502,463,459,2,4,2,8,5,10,0,0,0,0,0,1,530,489,486
ERICSON ELEMENTARY,California,063432005453,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,774,776,748,232,–,295,84,–,94,316,559,389,120,146,135,654,630,613,–,†,†,†,†,†,120,146,135,420,429,412,354,347,336,2,1,0,344,368,376,134,119,117,36,22,19,151,162,154,10,8,8,97,96,74,774,776,748
ERICSON ELEMENTARY,California,061455001724,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,624,608,654,621,†,470,0,†,91,621,†,561,102,95,119,522,513,535,–,†,†,†,†,†,102,95,119,327,310,326,297,298,328,2,5,2,101,83,89,404,403,434,69,73,82,39,39,42,3,1,1,6,4,4,624,608,654
ERLE STANLEY GARDNER MIDDLE,California,060002811187,2-Middle,2-Middle,2-Middle,6th Grade,6th Grade,6th Grade,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1121,1056,1029,139,–,95,54,–,46,193,207,141,†,†,†,1121,1056,1029,–,†,†,†,†,†,†,†,†,577,526,515,544,530,514,29,29,35,154,146,141,334,316,297,42,46,48,458,432,416,5,6,10,99,81,82,1121,1056,1029
ERMA B. REESE ELEMENTARY,California,062223002646,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,637,628,633,228,†,162,59,†,76,287,†,238,88,85,78,549,543,555,–,†,†,†,†,†,88,85,78,309,292,301,328,336,332,6,8,7,25,25,31,187,166,151,4,6,10,389,397,415,3,2,3,23,24,16,637,628,633
ERMA DUNCAN POLYTECHNICAL HIGH,California,061455008841,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,985,963,1005,982,†,778,0,†,111,982,†,889,†,†,†,†,†,†,985,963,1005,†,†,†,†,†,†,499,451,475,486,512,530,3,5,2,332,356,399,563,505,505,29,30,24,50,63,72,2,2,3,6,2,0,985,963,1005
ERNEST GARCIA ELEMENTARY,California,063237003848,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,705,746,719,419,†,488,83,†,68,502,†,556,95,126,129,610,620,590,–,†,†,†,†,†,95,126,129,364,385,384,341,361,335,1,0,0,29,33,28,601,625,604,43,57,53,26,25,25,2,3,6,3,3,3,705,746,719
ERNEST LAWRENCE MIDDLE,California,062271003128,2-Middle,2-Middle,2-Middle,6th Grade,6th Grade,4th Grade,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1567,1649,1713,736,†,870,180,†,144,916,†,1014,†,†,†,1567,1649,1713,–,†,†,†,†,†,†,†,†,775,811,835,792,838,878,4,9,14,361,379,392,819,840,866,102,121,119,276,293,313,4,7,9,1,0,0,1567,1649,1713
ERNEST O. LAWRENCE ELEMENTARY,California,061488001857,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,627,642,604,419,†,399,54,†,85,473,†,484,91,104,80,536,538,524,–,†,†,†,†,†,91,104,80,321,322,297,306,320,307,4,3,3,186,198,204,368,363,332,12,8,11,45,61,49,7,5,5,5,4,0,627,642,604
ERNEST P. WILLENBERG SPECIAL EDUCATION CENTER,California,062271007766,4-Other,4-Other,4-Other,Kindergarten,Kindergarten,Kindergarten,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,231,216,237,117,–,84,23,–,6,140,176,90,10,8,8,99,92,87,122,116,142,†,†,†,10,8,8,151,141,150,80,75,87,3,2,2,23,27,29,124,112,122,42,37,43,33,34,34,3,3,6,3,1,1,231,216,237
ERNEST R. GEDDES ELEMENTARY,California,060369000331,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,705,708,703,572,–,527,73,–,85,645,255,612,116,125,119,589,583,584,–,†,†,†,†,†,116,125,119,352,367,368,353,341,335,0,0,0,26,29,42,660,650,643,2,3,3,17,26,15,0,0,0,0,0,0,705,708,703
ERNEST RIGHETTI HIGH,California,063567006083,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2176,2195,2283,603,–,579,189,–,144,792,535,723,†,†,†,†,1,†,2176,2194,2283,†,†,†,†,†,†,1118,1111,1148,1058,1084,1135,13,15,13,69,80,95,1228,1133,1155,29,36,38,727,797,856,2,3,6,108,131,120,2176,2195,2283
ERNEST S. MCBRIDE SR. HIGH,California,062250013105,3-High,†,†,9th Grade,†,†,12th Grade,†,†,2-No,†,†,2-No,†,†,–,†,†,–,†,†,–,†,†,–,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†
ERNESTO GALARZA ELEMENTARY,California,063459010411,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,508,512,523,348,509,381,58,–,47,406,509,428,108,108,106,400,404,417,–,†,†,†,†,†,108,108,106,272,254,248,236,258,275,4,3,4,21,26,23,410,411,426,20,29,29,34,27,23,4,4,0,15,12,18,508,512,523
ERNIE PYLE ELEMENTARY,California,060444000403,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,559,560,576,303,459,338,115,0,131,418,459,469,66,88,66,493,472,510,–,†,†,†,†,†,66,88,66,274,271,283,285,289,293,5,4,2,45,43,41,390,404,409,91,82,92,21,19,17,6,6,12,1,2,3,559,560,576
ERWIN ELEMENTARY,California,062271002991,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,782,816,826,392,†,678,16,†,53,408,†,731,136,151,134,646,665,692,–,†,†,†,†,†,136,151,134,419,430,443,363,386,383,3,3,2,29,34,29,515,539,550,33,35,41,200,198,199,2,7,2,0,0,3,782,816,826
ESCALON CHARTER ACADEMY,California,061284013059,1-Primary,†,†,Kindergarten,†,†,8th Grade,†,†,2-No,†,†,1-Yes,†,†,37,†,†,20,†,†,5,†,†,25,†,†,10,†,†,27,†,†,–,†,†,†,†,†,10,†,†,19,†,†,18,†,†,0,†,†,0,†,†,14,†,†,1,†,†,22,†,†,0,†,†,0,†,†,37,†,†
ESCALON HIGH,California,061284001448,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,863,925,923,288,–,353,48,–,65,336,5,418,†,†,†,†,†,†,863,925,923,†,†,†,†,†,†,435,475,481,428,450,442,6,3,5,23,26,21,368,377,376,9,13,7,441,494,507,6,2,3,10,10,4,863,925,923
ESCALONA ELEMENTARY,California,062769004163,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,537,536,522,173,–,132,45,–,36,218,312,168,85,86,79,452,450,443,–,†,†,†,†,†,85,86,79,257,266,264,280,270,258,4,4,5,47,50,39,311,293,279,8,9,8,130,143,155,2,3,3,35,34,33,537,536,522
ESCHOLAR ACADEMY,California,062502010699,4-Other,4-Other,4-Other,Kindergarten,Kindergarten,Kindergarten,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,121,141,124,72,–,83,15,–,4,87,56,87,0,0,0,31,30,35,90,111,89,†,†,†,0,0,0,58,64,56,63,77,68,0,0,0,0,0,1,20,16,20,1,2,1,96,117,100,0,0,0,4,6,2,121,141,124
ESCONDIDO CHARTER HIGH,California,061291006493,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,872,878,856,90,147,0,94,0,0,184,147,0,†,†,†,1,1,†,871,877,856,†,†,†,†,†,†,401,423,432,471,455,424,4,9,5,56,36,36,231,212,170,26,23,23,514,576,591,4,5,4,37,17,27,872,878,856
ESCONDIDO COMMUNITY DAY,California,061291012789,3-High,3-High,†,9th Grade,9th Grade,†,12th Grade,12th Grade,†,2-No,2-No,2-No,2-No,2-No,2-No,33,20,†,24,13,†,2,0,†,26,13,†,†,†,†,†,†,†,33,20,†,†,†,†,†,†,†,23,15,†,10,5,†,0,0,†,0,0,†,27,14,†,1,2,†,5,4,†,0,0,†,0,0,†,33,20,†
ESCONDIDO ELEMENTARY,California,062961004584,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,573,576,573,60,–,55,15,–,21,75,112,76,96,99,107,477,477,466,–,†,†,†,†,†,96,99,107,306,286,285,267,290,288,5,2,2,108,114,114,129,142,122,24,23,24,253,252,267,1,1,0,53,42,44,573,576,573
ESCONDIDO HIGH,California,061291001465,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2645,2725,2744,1431,1598,1168,240,0,219,1671,1598,1387,†,†,†,†,†,†,2599,2685,2698,†,†,†,†,†,†,1292,1373,1391,1307,1352,1353,4,6,12,140,166,185,1785,1802,1731,87,84,93,560,646,705,12,13,13,11,8,5,2599,2725,2744
ESCUELA POPULAR ACCELERATED FAMILY LEARNING,California,061182010666,4-Other,4-Other,4-Other,Kindergarten,Kindergarten,Kindergarten,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,317,329,363,232,218,275,29,0,50,261,218,325,47,40,52,199,193,208,71,96,103,†,†,†,47,40,52,158,173,193,159,156,170,0,2,1,1,1,2,289,319,353,1,2,1,0,1,2,0,1,1,26,3,3,317,329,363
ESCUELA POPULAR/CENTER FOR TRAINING AND CAREERS F,California,061182011449,3-High,3-High,3-High,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,907,–,0,328,–,0,0,–,0,328,–,0,†,†,†,†,†,†,907,–,0,†,†,†,†,†,†,343,–,0,564,–,0,0,–,0,1,–,0,874,–,0,0,–,0,1,–,0,0,–,0,31,–,0,907,–,0
ESHELMAN AVENUE ELEMENTARY,California,062271002992,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,628,660,660,423,–,382,66,–,51,489,251,433,112,124,104,516,536,556,–,†,†,†,†,†,112,124,104,333,345,338,295,315,322,6,12,17,33,28,27,431,440,427,90,100,101,60,75,66,7,5,15,1,0,7,628,660,660
ESPARTO HIGH,California,061293001470,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,272,295,334,118,–,122,31,–,36,149,159,158,†,†,†,†,†,†,272,295,334,†,†,†,†,†,†,133,140,171,139,155,163,1,0,1,7,6,7,158,167,176,8,9,16,92,107,130,1,0,0,5,6,4,272,295,334
ESPARTO K-8,California,061293001469,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,690,712,720,426,709,401,79,–,100,505,709,501,73,76,89,617,636,631,–,†,†,†,†,†,73,76,89,368,370,360,322,342,360,5,3,5,9,10,12,514,505,494,6,8,9,151,179,194,0,0,0,5,7,6,690,712,720
ESPERANZA,California,063386005297,3-High,3-High,3-High,7th Grade,7th Grade,7th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,106,113,103,21,–,39,4,–,8,25,81,47,†,†,†,4,11,13,102,102,90,†,†,†,†,†,†,64,68,62,42,45,41,2,1,2,8,8,10,25,23,20,4,5,5,66,75,65,0,0,0,1,1,1,106,113,103
ESPERANZA ELEMENTARY,California,062805004317,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,321,329,341,318,296,313,0,10,11,318,306,324,58,52,60,263,277,281,–,†,†,†,†,†,58,52,60,159,176,174,162,153,167,0,0,0,1,1,1,315,322,333,5,6,6,0,0,0,0,0,0,0,0,1,321,329,341
ESPERANZA ELEMENTARY,California,062271000451,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,773,835,830,621,–,508,7,–,1,628,487,509,155,137,137,618,698,693,–,†,†,†,†,†,155,137,137,406,427,422,367,408,408,3,0,1,3,0,1,733,794,800,27,30,17,5,8,6,2,1,3,0,2,2,773,835,830
ESPERANZA ELEMENTARY,California,064212011319,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1028,1076,1103,274,293,278,93,0,95,367,293,373,145,142,130,883,934,973,–,†,†,†,†,†,145,142,130,549,568,590,479,508,513,4,3,6,76,88,102,395,402,388,134,129,164,374,411,418,4,4,4,41,39,21,1028,1076,1103
ESPERANZA HIGH,California,063066004758,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1883,1903,2177,225,–,124,83,–,83,308,70,207,†,†,†,†,†,†,1883,1903,2177,†,†,†,†,†,†,989,1010,1124,894,893,1053,7,5,7,254,271,262,445,439,385,36,36,43,1121,1139,1455,2,3,8,18,10,17,1883,1903,2177
ESPERANZA HIGH,California,061035009776,4-Other,4-Other,3-High,Kindergarten,Kindergarten,8th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,1-Yes,1-Yes,2-No,68,57,66,65,†,63,0,†,0,65,†,63,0,0,†,2,1,3,66,56,63,†,†,†,0,0,†,49,34,43,19,23,23,0,0,0,2,0,1,62,53,58,0,0,0,4,3,7,0,0,0,0,1,0,68,57,66
ESPERANZA HIGH (CONTINUATION),California,060005102015,3-High,3-High,3-High,9th Grade,9th Grade,10th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,28,30,36,24,†,30,0,†,3,24,†,33,†,†,†,†,†,†,28,30,36,†,†,†,†,†,†,16,23,32,12,7,4,0,1,0,0,0,0,10,14,21,0,0,2,12,14,12,0,0,0,6,1,1,28,30,36
ESPLANADE ELEMENTARY,California,062865004427,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,455,481,487,396,–,371,29,–,31,425,356,402,58,51,53,397,430,434,–,†,†,†,†,†,58,51,53,212,223,228,243,258,259,0,2,0,19,22,26,430,448,447,1,1,0,5,7,13,0,1,1,0,0,0,455,481,487
ESTANCIA HIGH,California,062724004114,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1279,1311,1310,762,–,764,90,–,91,852,1002,855,†,†,†,†,†,†,1227,1256,1257,†,†,†,†,†,†,660,729,742,567,582,568,2,0,0,34,34,38,887,942,921,29,27,27,254,290,313,15,14,11,6,4,0,1227,1311,1310
ESTHER L. WALTER ELEMENTARY,California,062343003565,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,570,572,569,567,†,460,0,†,65,567,†,525,83,90,80,487,482,489,–,†,†,†,†,†,83,90,80,290,289,290,280,283,279,1,1,0,49,47,45,454,462,478,15,9,4,20,24,14,19,15,10,12,14,18,570,572,569
ESTHER LINDSTROM ELEMENTARY,California,060444000400,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,862,826,834,247,376,263,101,0,118,348,376,381,113,115,113,749,711,721,–,†,†,†,†,†,113,115,113,443,417,428,419,409,406,0,0,0,139,123,124,362,328,333,87,93,77,203,208,223,15,15,15,56,59,62,862,826,834
ESTRELLA ELEMENTARY,California,062271012674,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,527,494,491,280,491,436,2,–,17,282,491,453,106,89,79,421,405,412,–,†,†,†,†,†,106,89,79,270,250,255,257,244,236,1,1,1,0,0,0,490,462,460,33,27,30,3,2,0,0,0,0,0,2,0,527,494,491
ESTRELLITA CONTINUATION HIGH,California,061482001820,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,142,154,185,104,76,115,7,0,10,111,76,125,†,†,†,†,†,†,142,154,185,†,†,†,†,†,†,95,96,117,47,58,68,1,1,1,2,1,1,86,94,105,1,1,2,46,49,74,1,4,2,5,4,0,142,154,185
ESTUDILLO ELEMENTARY,California,063444011032,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,570,617,615,363,†,360,65,†,51,428,†,411,93,97,95,477,520,520,–,†,†,†,†,†,93,97,95,297,331,330,273,286,285,60,67,67,14,9,14,346,376,364,45,36,42,93,122,118,3,2,2,9,5,8,570,617,615
ETHAN A CHASE MIDDLE,California,063339012127,2-Middle,2-Middle,2-Middle,6th Grade,6th Grade,6th Grade,8th Grade,8th Grade,9th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1010,934,898,631,†,525,154,†,127,785,†,652,†,†,†,1010,934,898,–,†,0,†,†,†,†,†,†,544,513,477,466,421,421,7,3,3,22,20,22,722,681,642,54,45,48,190,171,170,7,9,9,8,5,4,1010,934,898
ETHAN B. ALLEN ELEMENTARY,California,061488001823,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,821,814,730,241,–,154,58,–,72,299,112,226,53,65,51,768,749,679,–,†,†,†,†,†,53,65,51,424,418,385,397,396,345,0,0,0,664,653,584,73,78,78,2,1,0,64,71,67,2,2,1,16,9,0,821,814,730
ETHEL DWYER MIDDLE,California,061803002215,2-Middle,2-Middle,2-Middle,6th Grade,6th Grade,5th Grade,8th Grade,8th Grade,9th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1265,1245,1268,247,†,230,65,†,55,312,†,285,†,†,†,1265,1239,1261,–,6,7,†,†,†,†,†,†,659,653,676,606,592,592,5,7,11,131,131,142,306,277,254,6,6,8,733,737,802,1,5,4,83,82,47,1265,1245,1268
ETHEL I. BAKER ELEMENTARY,California,063384005239,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,604,671,665,601,†,632,0,†,18,601,†,650,80,101,101,524,570,564,–,†,†,†,†,†,80,101,101,330,356,334,274,315,331,2,2,4,73,80,88,402,452,419,72,72,87,33,44,46,10,8,10,12,13,11,604,671,665
