CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3751-3752,3901-3902,4100,4200,4300,4400,4700,5100,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7281-7299,7438,7439,7630-7699,8011,8012,8019,"8091, 8097",8096,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9740,9750,9760,9780,9789,9790A,9790M,9791,"9793, 9795",9796,9797,LocalRevAO,StateRevAO,StateRevSE
01612590100065,766469.0,131217.0,160227.0,24000.0,0.0,0.0,0.0,79507.0,108247.0,59839.0,0.0,49561.0,307581.0,618.0,20125.0,0.0,0.0,0.0,1714.0,1296.0,114862.0,23070.0,157225.0,0.0,32653.0,7331.0,23762.0,37605.0,231062.0,341203.0,16557.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245579.0,357189.0,-67090.0,0.0,464452.0,3777.0,27539.0,145712.0,82087.0,0.0,0.0,0.0,0.0,464916.0,0.0,0.0,0.0,0.0,922384.0,0.0,0.0,57057.0,326000.0,223923.0,0.0,374988.0,426413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745033.0,0.0,705418.0,109102.0,76946.0,0.0,64783.0,308643.0,100519.0
01612590100123,325178.33,0.0,129519.58,0.0,109258.68,106190.0,0.0,32033.37,38100.0,0.0,0.0,52101.67,15115.63,8409.05,16644.71,0.0,0.0,0.0,710.14,10146.84,28057.41,2564.01,0.0,10266.81,2694.71,1080.57,14145.57,52812.51,295878.74,221685.12,5241.57,0.0,0.0,0.0,0.0,0.0,88933.96,0.0,0.0,0.0,0.0,0.0,124558.62,0.0,0.0,477599.0,125393.0,-13124.83,0.0,197707.0,28116.0,0.0,0.0,7903.0,0.0,0.0,0.0,0.0,15245.31,0.0,0.0,0.0,0.0,0.0,60008.75,0.0,0.0,31500.0,258852.07,0.0,60300.0,287890.56,405000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22403.59,0.0,538389.0,71931.0,0.0,46655.88,31766.37,294707.53,0.0
01612590106906,604270.03,0.0,159587.32,0.0,0.0,0.0,0.0,31187.0,0.0,56632.62,3040.84,17007.6,151334.31,12566.05,9861.84,0.0,0.0,18627.19,16876.26,16256.44,35714.43,0.0,5701.59,0.0,15976.86,14883.55,14619.72,93713.09,89166.5,337495.82,2521.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963357.0,264496.0,-2063.0,0.0,369651.0,0.0,0.0,0.0,63989.0,0.0,0.0,0.0,0.0,178018.53,0.0,0.0,0.0,0.0,404478.48,0.0,0.0,0.0,0.0,185573.2,0.0,13663.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401752.96,0.0,120656.67,6955.33,0.0,0.0,65250.09,256501.52,0.0
01612590108803,755446.11,133156.05,95486.94,0.0,47593.36,1850.71,0.0,97388.39,32619.61,81915.1,15878.47,28726.42,134781.68,5731.78,12504.12,0.0,0.0,13139.93,0.0,6274.53,66472.83,45541.28,122372.75,0.0,11978.79,0.0,11811.36,43081.86,168484.35,163680.81,9581.88,0.0,0.0,0.0,0.0,0.0,32338.36,0.0,0.0,0.0,0.0,446538.38,0.0,0.0,0.0,1014908.0,272955.0,-4872.0,0.0,429447.0,28433.57,31262.0,108005.78,91983.04,0.0,0.0,0.0,0.0,133417.5,0.0,0.0,0.0,0.0,538564.85,0.0,0.0,0.0,10000.0,212330.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255373.39,0.0,435700.96,-35458.96,0.0,236241.4,181596.82,374468.68,147560.75
01612590108944,670064.43,0.0,448469.64,0.0,5138.42,0.0,0.0,0.0,140702.7,0.0,0.0,18180.25,126861.94,8430.23,15045.38,50575.0,0.0,0.0,15225.13,0.0,162693.64,85362.55,127453.97,0.0,6398.99,6308.04,11393.15,37485.11,247636.04,420944.13,7377.65,0.0,0.0,0.0,0.0,0.0,2471.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046219.0,293007.0,0.0,0.0,382015.0,143601.05,26230.0,110847.2,65439.0,0.0,0.0,0.0,0.0,730702.2,0.0,0.0,0.0,0.0,736921.29,0.0,0.0,0.0,11229.0,166403.0,0.0,0.0,74500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1252780.03,0.0,871463.21,-15405.21,0.0,0.0,604856.09,238043.84,100682.0
01612590109819,1474632.34,105773.46,186951.22,0.0,174305.33,31702.14,0.0,122729.24,149323.08,151255.03,58945.94,69392.66,315894.39,11237.41,24846.69,0.0,0.0,30223.37,0.0,25180.63,121803.83,21816.21,212956.04,0.0,29601.43,844.2,23898.9,54136.29,174249.42,127243.53,14897.64,0.0,0.0,0.0,0.0,0.0,11938.27,0.0,0.0,0.0,0.0,486353.95,0.0,0.0,0.0,2106576.0,591476.0,-10882.0,0.0,921861.0,122486.59,67274.0,210963.68,176058.0,0.0,0.0,0.0,0.0,969568.05,0.0,0.0,0.0,0.0,962549.04,0.0,0.0,0.0,0.0,310292.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1540759.24,0.0,1013069.19,-8996.19,0.0,158445.94,143727.05,427226.26,150498.24
01612590109983,1307693.22,0.0,190100.08,0.0,0.0,192720.46,40788.0,57705.81,0.0,108993.19,35276.24,50312.99,303255.93,25027.18,38953.98,0.0,0.0,0.0,14062.19,12465.88,49375.63,48195.94,8019.74,0.0,4521.72,3249.57,2249.6,58124.41,163159.65,1291423.43,4538.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3392.0,0.0,0.0,2222016.0,495993.0,0.0,0.0,782855.0,34135.0,52662.0,0.0,202132.0,0.0,0.0,0.0,0.0,1531519.34,0.0,0.0,0.0,0.0,1041133.2,0.0,0.0,0.0,0.0,473107.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100772.73,0.0,1640531.0,41388.0,0.0,0.0,4538.0,301389.0,336739.0
01612590111476,477391.49,0.0,85268.04,0.0,0.0,70805.52,21012.0,7414.68,0.0,44885.78,10473.81,15785.57,118816.03,6710.81,14351.48,0.0,0.0,0.0,448.78,5104.6,20383.95,21217.02,4503.51,0.0,3996.19,1174.02,1065.6,26008.37,71792.91,610545.26,2763.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791143.0,217977.0,0.0,0.0,338938.0,12686.0,27485.0,0.0,97400.0,0.0,0.0,0.0,0.0,772471.45,0.0,0.0,0.0,0.0,341861.66,0.0,0.0,600.13,0.0,202213.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913350.64,0.0,675154.0,72880.0,0.0,0.0,0.0,178095.0,143512.0
01612590111856,326417.41,0.0,0.0,0.0,0.0,11400.0,59917.42,101512.1,0.0,0.0,11030.75,38238.45,36755.25,12111.59,13510.4,0.0,0.0,0.0,1221.46,5025.57,36040.71,32000.65,0.0,0.0,316.25,2826.67,7048.68,14204.81,313099.96,218007.53,15909.94,0.0,0.0,0.0,0.0,0.0,28450.0,0.0,0.0,0.0,128939.45,10558.0,0.0,0.0,0.0,618414.0,189840.0,1584.0,0.0,247508.0,0.0,0.0,0.0,67606.0,0.0,0.0,0.0,0.0,57772.11,0.0,0.0,0.0,0.0,598238.29,0.0,0.0,726.13,10000.0,62359.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581277.53,0.0,789838.79,69721.21,0.0,85657.55,225.0,106741.13,0.0
01612590114363,1147774.58,3000.0,0.0,0.0,300.0,489.4,63806.62,187489.1,0.0,0.0,25015.21,107780.63,116591.8,24935.7,13488.53,0.0,0.0,0.0,12760.58,5376.75,36286.98,14147.75,385.68,0.0,6586.36,666.66,34334.21,128079.4,366032.12,346553.66,28247.94,0.0,0.0,0.0,0.0,0.0,141094.81,0.0,0.0,0.0,427998.75,30456.0,106041.66,0.0,0.0,1691362.0,532642.0,-1119.0,0.0,821574.0,49159.0,0.0,0.0,181583.0,0.0,0.0,0.0,0.0,412642.91,0.0,0.0,0.0,0.0,741083.52,0.0,0.0,1956.12,18500.0,1483857.44,0.0,0.0,112037.49,5961979.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924580.06,0.0,1744273.66,131667.34,0.0,178039.1,25979.66,301218.38,0.0
