Id,Id2,Geography,Total:,Income in 1999 below poverty level:,Income in 1999 below poverty level: - Under 5 years,Income in 1999 below poverty level: - 5 years,Income in 1999 below poverty level: - 6 to 11 years,Income in 1999 below poverty level: - 12 to 17 years,Income in 1999 below poverty level: - 18 to 64 years,Income in 1999 below poverty level: - 65 to 74 years,Income in 1999 below poverty level: - 75 years and over,Income in 1999 at or above poverty level:,Income in 1999 at or above poverty level: - Under 5 years,Income in 1999 at or above poverty level: - 5 years,Income in 1999 at or above poverty level: - 6 to 11 years,Income in 1999 at or above poverty level: - 12 to 17 years,Income in 1999 at or above poverty level: - 18 to 64 years,Income in 1999 at or above poverty level: - 65 to 74 years,Income in 1999 at or above poverty level: - 75 years and over
8600000US90290,90290,ZCTA5 90290,5418,424,8,21,8,8,370,0,9,4994,351,34,464,323,3468,188,166
8600000US90291,90291,ZCTA5 90291,31101,4114,273,32,227,284,3104,100,94,26987,1097,283,1209,1063,21250,1042,1043
8600000US90292,90292,ZCTA5 90292,17699,1377,45,15,32,21,1138,84,42,16322,475,54,301,245,12725,1417,1105
8600000US90293,90293,ZCTA5 90293,11206,731,27,0,8,17,586,38,55,10475,436,110,308,266,8171,619,565
8600000US902HH,902HH,ZCTA5 902HH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US90301,90301,ZCTA5 90301,36775,8309,1163,238,1370,851,4318,205,164,28466,2276,512,2898,2633,18193,1073,881
8600000US90302,90302,ZCTA5 90302,30539,7031,927,196,1077,778,3872,127,54,23508,1912,395,2428,1989,15434,794,556
8600000US90303,90303,ZCTA5 90303,27576,7317,876,218,1334,974,3759,102,54,20259,1668,324,2376,2093,12512,936,350
8600000US90304,90304,ZCTA5 90304,28122,8556,1151,286,1490,1107,4330,145,47,19566,1733,387,2355,2195,11891,652,353
8600000US90305,90305,ZCTA5 90305,13669,1705,144,20,223,165,968,104,81,11964,671,148,1002,827,7400,1251,665
8600000US90401,90401,ZCTA5 90401,5027,983,10,0,40,84,754,22,73,4044,69,7,83,77,3184,251,373
8600000US90402,90402,ZCTA5 90402,11195,400,0,5,23,20,235,56,61,10795,640,73,897,689,6539,929,1028
8600000US90403,90403,ZCTA5 90403,23513,2216,57,0,122,70,1538,166,263,21297,766,156,834,715,15534,1504,1788
8600000US90404,90404,ZCTA5 90404,19208,2808,136,31,206,203,1965,130,137,16400,604,107,812,983,12058,833,1003
8600000US90405,90405,ZCTA5 90405,26017,2333,63,27,90,113,1783,102,155,23684,1098,253,1217,846,17558,1350,1362
