cdscode,zip_5,Id,Id2,Geography,Estimate; Total:,total_below_poverty,under_5_below_poverty,age_5_below_poverty,age_6_to_11_below_poverty,age_12_to_17_below_poverty,age_18_65_below_poverty,total_above_poverty,under_5_above_poverty,age_5_above_poverty,age_6_to_11_above_poverty,age_12_to_17_above_poverty,age_18_65_above_poverty,year
43104390102905,94612,8600000US94612,94612,ZCTA5 94612,12872,3885,194,22,63,90,2663,8987,321,81,225,289,6557,2012
43104390102905,94612,8600000US94612,94612,ZCTA5 94612,12321,3319,162,32,82,71,2216,9002,308,136,218,240,6311,2011
43104390102905,94612,8600000US94612,94612,ZCTA5 94612,11872,3723,251,17,330,233,2362,8149,308,64,316,261,5468,2000
44698076120976,94612,8600000US94612,94612,ZCTA5 94612,14579,4424,83,26,76,85,3130,10155,362,0,257,269,7684,2015
44698076120976,94612,8600000US94612,94612,ZCTA5 94612,14308,4531,116,25,63,53,3182,9777,257,0,244,252,7514,2014
44698076120976,94612,8600000US94612,94612,ZCTA5 94612,13604,4428,144,19,69,40,3206,9176,279,20,212,256,6856,2013
44698076120976,94612,8600000US94612,94612,ZCTA5 94612,12872,3885,194,22,63,90,2663,8987,321,81,225,289,6557,2012
44698076120976,94612,8600000US94612,94612,ZCTA5 94612,12321,3319,162,32,82,71,2216,9002,308,136,218,240,6311,2011
44698076120976,94612,8600000US94612,94612,ZCTA5 94612,11872,3723,251,17,330,233,2362,8149,308,64,316,261,5468,2000
1100170118489,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
1100170118489,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
1100170118489,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
1100170118489,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
1100170118489,94606,8600000US94606,94606,ZCTA5 94606,35503,8927,739,225,766,992,5444,26576,1306,217,1141,1725,19079,2011
1100170118489,94606,8600000US94606,94606,ZCTA5 94606,41576,9841,794,222,1530,1142,5657,31735,1827,378,2375,2070,21843,2000
1100170123968,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
1100170123968,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
1100170123968,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
1100170123968,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
1100170123968,94606,8600000US94606,94606,ZCTA5 94606,35503,8927,739,225,766,992,5444,26576,1306,217,1141,1725,19079,2011
1100170123968,94606,8600000US94606,94606,ZCTA5 94606,41576,9841,794,222,1530,1142,5657,31735,1827,378,2375,2070,21843,2000
1612590108803,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
1612590108803,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
1612590108803,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
1612590108803,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
1612590108803,94606,8600000US94606,94606,ZCTA5 94606,35503,8927,739,225,766,992,5444,26576,1306,217,1141,1725,19079,2011
1612590108803,94606,8600000US94606,94606,ZCTA5 94606,41576,9841,794,222,1530,1142,5657,31735,1827,378,2375,2070,21843,2000
1612590108852,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
1612590108852,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
1612590108852,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
1612590108852,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
1612590108852,94606,8600000US94606,94606,ZCTA5 94606,35503,8927,739,225,766,992,5444,26576,1306,217,1141,1725,19079,2011
1612590108852,94606,8600000US94606,94606,ZCTA5 94606,41576,9841,794,222,1530,1142,5657,31735,1827,378,2375,2070,21843,2000
1612590109819,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
1612590109819,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
1612590109819,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
1612590109819,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
1612590109819,94606,8600000US94606,94606,ZCTA5 94606,35503,8927,739,225,766,992,5444,26576,1306,217,1141,1725,19079,2011
1612590109819,94606,8600000US94606,94606,ZCTA5 94606,41576,9841,794,222,1530,1142,5657,31735,1827,378,2375,2070,21843,2000
1612590118224,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
1612590118224,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
1612590118224,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
1612590118224,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
1612590118224,94606,8600000US94606,94606,ZCTA5 94606,35503,8927,739,225,766,992,5444,26576,1306,217,1141,1725,19079,2011
1612590118224,94606,8600000US94606,94606,ZCTA5 94606,41576,9841,794,222,1530,1142,5657,31735,1827,378,2375,2070,21843,2000
1612590120188,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
1612590120188,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
1612590120188,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
1612590120188,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
1612590120188,94606,8600000US94606,94606,ZCTA5 94606,35503,8927,739,225,766,992,5444,26576,1306,217,1141,1725,19079,2011
1612590120188,94606,8600000US94606,94606,ZCTA5 94606,41576,9841,794,222,1530,1142,5657,31735,1827,378,2375,2070,21843,2000
1612590128413,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
1612590128413,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
1612590128413,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
1612590128413,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
1612590128413,94606,8600000US94606,94606,ZCTA5 94606,35503,8927,739,225,766,992,5444,26576,1306,217,1141,1725,19079,2011
1612590128413,94606,8600000US94606,94606,ZCTA5 94606,41576,9841,794,222,1530,1142,5657,31735,1827,378,2375,2070,21843,2000
1612590129635,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
1612590129635,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
1612590129635,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
1612590129635,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
1612590129635,94606,8600000US94606,94606,ZCTA5 94606,35503,8927,739,225,766,992,5444,26576,1306,217,1141,1725,19079,2011
1612590129635,94606,8600000US94606,94606,ZCTA5 94606,41576,9841,794,222,1530,1142,5657,31735,1827,378,2375,2070,21843,2000
1612590130666,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
1612590130666,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
1612590130666,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
1612590130666,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
1612590130666,94606,8600000US94606,94606,ZCTA5 94606,35503,8927,739,225,766,992,5444,26576,1306,217,1141,1725,19079,2011
1612590130666,94606,8600000US94606,94606,ZCTA5 94606,41576,9841,794,222,1530,1142,5657,31735,1827,378,2375,2070,21843,2000
1612590130732,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
1612590130732,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
1612590130732,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
1612590130732,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
1612590130732,94606,8600000US94606,94606,ZCTA5 94606,35503,8927,739,225,766,992,5444,26576,1306,217,1141,1725,19079,2011
1612590130732,94606,8600000US94606,94606,ZCTA5 94606,41576,9841,794,222,1530,1142,5657,31735,1827,378,2375,2070,21843,2000
1612596117568,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
1612596117568,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
1612596117568,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
1612596117568,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
