Id,Id2,Geography,Estimate; Total:,total_below_poverty,under_5_below_poverty,age_5_below_poverty,age_6_to_11_below_poverty,age_12_to_17_below_poverty,age_18_65_below_poverty,total_above_poverty,under_5_above_poverty,age_5_above_poverty,age_6_to_11_above_poverty,age_12_to_17_above_poverty,age_18_65_above_poverty
8600000US95076,95076,ZCTA5 95076,80929,14765,1991,262,1917,1752,8046,66164,4843,862,5231,6082,41502
8600000US95110,95110,ZCTA5 95110,16965,3339,257,7,562,308,2077,13626,960,106,1038,887,9690
8600000US95111,95111,ZCTA5 95111,56975,10153,1296,281,1321,1006,5594,46822,3747,624,3927,4202,30539
8600000US95112,95112,ZCTA5 95112,49439,12228,776,109,747,1178,8746,37211,1849,559,2089,1995,27226
8600000US95113,95113,ZCTA5 95113,702,204,0,0,0,0,95,498,0,0,11,0,355
8600000US95116,95116,ZCTA5 95116,49201,11891,1680,229,1243,1399,6226,37310,2647,532,3064,2931,24719
8600000US95117,95117,ZCTA5 95117,30736,4870,632,101,579,161,3145,25866,2082,555,1939,1547,17453
8600000US95118,95118,ZCTA5 95118,31249,2201,206,83,187,89,1330,29048,1942,723,2360,2187,18316
8600000US95119,95119,ZCTA5 95119,9415,621,35,7,32,78,416,8794,674,139,649,564,5904
8600000US95120,95120,ZCTA5 95120,38318,1037,6,0,81,121,590,37281,1471,420,3573,4169,22135
8600000US95121,95121,ZCTA5 95121,36887,4169,445,84,362,588,2376,32718,1939,505,2674,2806,21607
8600000US95122,95122,ZCTA5 95122,54544,9112,1073,219,999,1049,5194,45432,3542,648,3740,3856,29596
8600000US95123,95123,ZCTA5 95123,63208,5108,434,77,554,496,3145,58100,4251,738,5066,3984,38458
8600000US95124,95124,ZCTA5 95124,47636,2914,98,11,235,270,2009,44722,3345,998,3616,3294,27951
8600000US95125,95125,ZCTA5 95125,52434,3494,423,12,215,133,2234,48940,4256,619,3495,2560,31714
8600000US95126,95126,ZCTA5 95126,31862,4953,421,38,312,471,3326,26909,2098,479,1227,1408,19493
8600000US95127,95127,ZCTA5 95127,64005,7592,508,190,722,903,4839,56413,4098,739,4587,4923,35888
8600000US95128,95128,ZCTA5 95128,35219,5640,520,124,534,591,3497,29579,2072,273,1615,1541,21118
8600000US95129,95129,ZCTA5 95129,39261,2290,49,0,215,253,1517,36971,2179,579,3249,3430,23427
8600000US95130,95130,ZCTA5 95130,14526,1198,88,0,141,155,683,13328,1047,289,935,970,8728
8600000US95131,95131,ZCTA5 95131,28897,1892,135,13,147,224,1088,27005,1918,357,1987,1457,19352
8600000US95132,95132,ZCTA5 95132,40700,4165,226,90,418,741,2231,36535,2171,670,3013,2720,23687
8600000US95133,95133,ZCTA5 95133,26021,4376,440,112,307,383,2640,21645,1139,296,1438,1624,14554
8600000US95134,95134,ZCTA5 95134,15053,915,74,14,42,48,693,14138,1399,278,658,378,10908
8600000US95135,95135,ZCTA5 95135,21124,779,66,0,48,88,264,20345,1273,515,2140,1411,10733
8600000US95136,95136,ZCTA5 95136,42386,3587,379,131,467,569,1842,38799,2725,561,2244,2527,26538
8600000US95138,95138,ZCTA5 95138,19056,642,81,0,104,46,310,18414,1566,366,1945,1360,11858
8600000US95139,95139,ZCTA5 95139,6679,351,12,0,73,55,112,6328,581,79,406,677,3903
8600000US95140,95140,ZCTA5 95140,321,0,0,0,0,0,0,321,0,0,39,13,210
8600000US95148,95148,ZCTA5 95148,45613,3632,318,25,380,799,1815,41981,2475,654,3334,4072,27196
8600000US95202,95202,ZCTA5 95202,5734,2953,425,40,271,195,1677,2781,170,45,89,92,1901
8600000US95203,95203,ZCTA5 95203,15189,4746,505,114,393,443,3028,10443,659,205,722,712,6838
8600000US95204,95204,ZCTA5 95204,28743,5494,742,117,808,349,3189,23249,1496,238,1809,1907,14387
8600000US95205,95205,ZCTA5 95205,36084,12800,1758,452,1778,1494,6733,23284,1878,437,2225,2090,14160
8600000US95206,95206,ZCTA5 95206,63104,16175,2140,512,2861,2259,7727,46929,3486,712,4446,5513,28770
8600000US95207,95207,ZCTA5 95207,46660,12706,1365,281,1534,1587,7248,33954,2376,514,2198,2572,20864
8600000US95209,95209,ZCTA5 95209,40546,4165,472,107,518,549,2221,36381,2285,614,3041,3765,22329
8600000US95210,95210,ZCTA5 95210,40006,11142,1584,237,1631,1603,5531,28864,2017,313,2451,2517,18532
8600000US95211,95211,ZCTA5 95211,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US95212,95212,ZCTA5 95212,25109,3040,491,28,442,206,1730,22069,1616,439,2117,2965,12634
8600000US95215,95215,ZCTA5 95215,23022,4749,602,111,686,512,2629,18273,1277,258,1486,1338,11564
8600000US95219,95219,ZCTA5 95219,27868,3033,164,25,263,431,1901,24835,1962,292,2305,2037,15500
8600000US95220,95220,ZCTA5 95220,6794,666,23,0,31,106,425,6128,279,31,344,674,3589
8600000US95222,95222,ZCTA5 95222,5003,505,23,20,0,0,401,4498,299,42,196,226,2412
8600000US95223,95223,ZCTA5 95223,3156,273,15,0,0,24,219,2883,19,0,104,31,1702
8600000US95224,95224,ZCTA5 95224,291,35,15,0,0,0,20,256,0,0,0,0,93
8600000US95225,95225,ZCTA5 95225,506,91,0,0,0,0,91,415,0,27,13,54,167
8600000US95226,95226,ZCTA5 95226,274,0,0,0,0,0,0,274,65,0,0,112,97
8600000US95227,95227,ZCTA5 95227,892,0,0,0,0,0,0,892,0,0,60,70,553
8600000US95228,95228,ZCTA5 95228,4365,230,15,39,0,0,176,4135,309,89,349,369,2338
8600000US95230,95230,ZCTA5 95230,833,84,0,0,10,10,64,749,47,10,0,50,507
8600000US95231,95231,ZCTA5 95231,3366,921,0,26,34,67,726,2445,108,16,278,233,1483
8600000US95232,95232,ZCTA5 95232,396,40,0,0,0,0,40,356,20,0,35,20,233
8600000US95233,95233,ZCTA5 95233,419,123,0,0,0,0,56,296,0,0,0,31,178
8600000US95234,95234,ZCTA5 95234,146,95,0,0,0,0,71,51,0,0,0,0,47
8600000US95236,95236,ZCTA5 95236,3752,569,93,0,116,47,216,3183,248,76,211,321,1899
8600000US95237,95237,ZCTA5 95237,3431,658,103,29,32,46,400,2773,141,0,249,139,1732
8600000US95240,95240,ZCTA5 95240,46202,10625,1440,185,1350,1272,5862,35577,2332,412,3195,2962,21763
8600000US95242,95242,ZCTA5 95242,25288,1636,81,16,153,101,925,23652,1040,337,1747,2539,14024
8600000US95245,95245,ZCTA5 95245,2203,236,16,0,29,0,147,1967,0,18,49,172,1301
8600000US95246,95246,ZCTA5 95246,1119,45,0,0,0,0,45,1074,36,0,38,92,627
8600000US95247,95247,ZCTA5 95247,4428,374,0,0,0,69,281,4054,176,38,202,233,2199
8600000US95248,95248,ZCTA5 95248,205,37,0,0,0,0,17,168,0,0,0,23,92
8600000US95249,95249,ZCTA5 95249,3437,844,70,0,72,75,413,2593,92,0,255,95,1687
8600000US95250,95250,ZCTA5 95250,33,0,0,0,0,0,0,33,0,0,0,0,33
8600000US95251,95251,ZCTA5 95251,819,93,0,0,0,0,71,726,70,29,0,97,399
8600000US95252,95252,ZCTA5 95252,14851,1156,139,0,30,22,797,13695,313,190,1076,1451,8335
8600000US95254,95254,ZCTA5 95254,511,0,0,0,0,0,0,511,0,0,0,0,411
8600000US95255,95255,ZCTA5 95255,2355,531,0,0,102,65,313,1824,112,15,78,127,1051
8600000US95257,95257,ZCTA5 95257,425,62,0,0,0,0,41,363,21,15,64,0,162
8600000US95258,95258,ZCTA5 95258,3791,705,0,65,121,58,431,3086,75,0,358,157,1995
8600000US95301,95301,ZCTA5 95301,34952,8268,909,149,1445,1167,4209,26684,1819,316,2326,2378,16185
8600000US95303,95303,ZCTA5 95303,949,132,0,0,20,11,90,817,85,9,78,98,460
8600000US95304,95304,ZCTA5 95304,13723,932,46,8,80,181,587,12791,913,248,1206,1245,7782
8600000US95305,95305,ZCTA5 95305,85,13,0,0,0,13,0,72,0,0,0,18,37
8600000US95306,95306,ZCTA5 95306,872,168,17,0,15,40,82,704,0,0,0,21,431
8600000US95307,95307,ZCTA5 95307,43253,9311,1310,155,1006,1196,5120,33942,2222,417,3379,3311,21390
8600000US95310,95310,ZCTA5 95310,1802,229,0,0,0,0,221,1573,0,15,33,150,883
8600000US95311,95311,ZCTA5 95311,2119,312,0,0,62,23,193,1807,37,0,94,174,913
8600000US95312,95312,ZCTA5 95312,357,5,0,0,0,0,5,352,5,5,21,24,246
8600000US95313,95313,ZCTA5 95313,1438,170,12,8,6,1,143,1268,80,0,75,168,789
8600000US95314,95314,ZCTA5 95314,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US95315,95315,ZCTA5 95315,12896,2414,195,99,448,344,1240,10482,1057,120,1171,1068,6361
8600000US95316,95316,ZCTA5 95316,6605,1009,111,0,112,196,536,5596,352,80,348,439,3628
8600000US95317,95317,ZCTA5 95317,942,178,29,0,15,40,84,764,39,17,79,127,447
8600000US95318,95318,ZCTA5 95318,471,149,14,12,79,0,44,322,0,0,12,6,262
8600000US95319,95319,ZCTA5 95319,1191,614,55,26,82,80,317,577,96,0,14,0,326
8600000US95320,95320,ZCTA5 95320,12934,1285,40,12,123,169,728,11649,809,58,801,1087,7547
8600000US95321,95321,ZCTA5 95321,3501,474,0,0,0,6,358,3027,83,0,159,137,1558
8600000US95322,95322,ZCTA5 95322,9646,2230,293,61,484,97,1249,7416,645,121,650,673,4461
8600000US95323,95323,ZCTA5 95323,1131,237,14,0,37,50,122,894,40,14,100,95,518
8600000US95324,95324,ZCTA5 95324,6886,855,111,0,47,118,540,6031,386,42,388,492,3638
8600000US95325,95325,ZCTA5 95325,61,0,0,0,0,0,0,61,0,0,24,0,28
8600000US95326,95326,ZCTA5 95326,8740,1596,175,33,230,284,833,7144,591,98,516,526,4176
8600000US95327,95327,ZCTA5 95327,6426,1422,121,44,93,140,910,5004,170,26,330,279,2914
8600000US95328,95328,ZCTA5 95328,4284,1136,217,15,133,165,547,3148,232,82,365,368,1932
8600000US95329,95329,ZCTA5 95329,2735,237,14,0,57,13,147,2498,147,54,149,177,1607
8600000US95330,95330,ZCTA5 95330,16191,1194,130,29,66,142,701,14997,1278,217,1691,1431,9296
8600000US95333,95333,ZCTA5 95333,2889,611,67,18,63,65,356,2278,113,47,203,249,1277
8600000US95334,95334,ZCTA5 95334,15616,3063,465,59,506,336,1390,12553,983,121,1217,1312,7786
8600000US95335,95335,ZCTA5 95335,705,126,46,0,0,7,73,579,0,0,0,0,384
8600000US95336,95336,ZCTA5 95336,43311,4146,356,30,362,508,2637,39165,2454,393,3573,4278,23602
8600000US95337,95337,ZCTA5 95337,30822,3351,510,35,392,380,1920,27471,1973,315,2635,2992,17075
8600000US95338,95338,ZCTA5 95338,11704,1633,53,2,202,191,921,10071,515,1,471,669,6032
8600000US95340,95340,ZCTA5 95340,30719,6525,578,116,769,720,3907,24194,1577,260,1649,1858,15475
8600000US95341,95341,ZCTA5 95341,33122,11537,1448,372,1702,2068,5477,21585,2022,430,1998,2159,13105
